cause,age,month,dead
Multiple cause of death C00-C97,50,2004-08,2688
Multiple cause of death C00-C97,50,2004-09,2540
Multiple cause of death C00-C97,50,2004-10,2775
Multiple cause of death C00-C97,50,2004-11,2598
Multiple cause of death C00-C97,50,2004-12,2715
Multiple cause of death C00-C97,50,2005-01,2706
Multiple cause of death C00-C97,50,2005-02,2399
Multiple cause of death C00-C97,50,2005-03,2673
Multiple cause of death C00-C97,50,2005-04,2641
Multiple cause of death C00-C97,50,2005-05,2673
Multiple cause of death C00-C97,50,2005-06,2584
Multiple cause of death C00-C97,50,2005-07,2771
Multiple cause of death C00-C97,50,2005-08,2798
Multiple cause of death C00-C97,50,2005-09,2588
Multiple cause of death C00-C97,50,2005-10,2809
Multiple cause of death C00-C97,50,2005-11,2746
Multiple cause of death C00-C97,50,2005-12,2772
Multiple cause of death C00-C97,50,2006-01,2685
Multiple cause of death C00-C97,50,2006-02,2576
Multiple cause of death C00-C97,50,2006-03,2842
Multiple cause of death C00-C97,50,2006-04,2613
Multiple cause of death C00-C97,50,2006-05,2730
Multiple cause of death C00-C97,50,2006-06,2600
Multiple cause of death C00-C97,50,2006-07,2787
Multiple cause of death C00-C97,50,2006-08,2669
Multiple cause of death C00-C97,50,2006-09,2655
Multiple cause of death C00-C97,50,2006-10,2817
Multiple cause of death C00-C97,50,2006-11,2665
Multiple cause of death C00-C97,50,2006-12,2817
Multiple cause of death C00-C97,50,2007-01,2723
Multiple cause of death C00-C97,50,2007-02,2549
Multiple cause of death C00-C97,50,2007-03,2755
Multiple cause of death C00-C97,50,2007-04,2616
Multiple cause of death C00-C97,50,2007-05,2670
Multiple cause of death C00-C97,50,2007-06,2658
Multiple cause of death C00-C97,50,2007-07,2883
Multiple cause of death C00-C97,50,2007-08,2810
Multiple cause of death C00-C97,50,2007-09,2663
Multiple cause of death C00-C97,50,2007-10,2855
Multiple cause of death C00-C97,50,2007-11,2698
Multiple cause of death C00-C97,50,2007-12,2779
Multiple cause of death C00-C97,50,2008-01,2849
Multiple cause of death C00-C97,50,2008-02,2722
Multiple cause of death C00-C97,50,2008-03,2689
Multiple cause of death C00-C97,50,2008-04,2718
Multiple cause of death C00-C97,50,2008-05,2731
Multiple cause of death C00-C97,50,2008-06,2738
Multiple cause of death C00-C97,50,2008-07,2816
Multiple cause of death C00-C97,50,2008-08,2780
Multiple cause of death C00-C97,50,2008-09,2697
Multiple cause of death C00-C97,50,2008-10,2741
Multiple cause of death C00-C97,50,2008-11,2804
Multiple cause of death C00-C97,50,2008-12,2823
Multiple cause of death C00-C97,50,2009-01,2865
Multiple cause of death C00-C97,50,2009-02,2602
Multiple cause of death C00-C97,50,2009-03,2862
Multiple cause of death C00-C97,50,2009-04,2785
Multiple cause of death C00-C97,50,2009-05,2837
Multiple cause of death C00-C97,50,2009-06,2744
Multiple cause of death C00-C97,50,2009-07,2877
Multiple cause of death C00-C97,50,2009-08,2867
Multiple cause of death C00-C97,50,2009-09,2771
Multiple cause of death C00-C97,50,2009-10,2941
Multiple cause of death C00-C97,50,2009-11,2780
Multiple cause of death C00-C97,50,2009-12,2891
Multiple cause of death C00-C97,50,2010-01,2895
Multiple cause of death C00-C97,50,2010-02,2616
Multiple cause of death C00-C97,50,2010-03,2906
Multiple cause of death C00-C97,50,2010-04,2737
Multiple cause of death C00-C97,50,2010-05,2847
Multiple cause of death C00-C97,50,2010-06,2734
Multiple cause of death C00-C97,50,2010-07,2860
Multiple cause of death C00-C97,50,2010-08,2914
Multiple cause of death C00-C97,50,2010-09,2806
Multiple cause of death C00-C97,50,2010-10,2944
Multiple cause of death C00-C97,50,2010-11,2745
Multiple cause of death C00-C97,50,2010-12,2964
Multiple cause of death C00-C97,50,2011-01,2945
Multiple cause of death C00-C97,50,2011-02,2677
Multiple cause of death C00-C97,50,2011-03,2933
Multiple cause of death C00-C97,50,2011-04,2690
Multiple cause of death C00-C97,50,2011-05,2771
Multiple cause of death C00-C97,50,2011-06,2689
Multiple cause of death C00-C97,50,2011-07,2945
Multiple cause of death C00-C97,50,2011-08,2898
Multiple cause of death C00-C97,50,2011-09,2709
Multiple cause of death C00-C97,50,2011-10,2855
Multiple cause of death C00-C97,50,2011-11,2679
Multiple cause of death C00-C97,50,2011-12,2863
Multiple cause of death C00-C97,50,2012-01,3036
Multiple cause of death C00-C97,50,2012-02,2695
Multiple cause of death C00-C97,50,2012-03,2809
Multiple cause of death C00-C97,50,2012-04,2673
Multiple cause of death C00-C97,50,2012-05,2787
Multiple cause of death C00-C97,50,2012-06,2667
Multiple cause of death C00-C97,50,2012-07,2805
Multiple cause of death C00-C97,50,2012-08,2842
Multiple cause of death C00-C97,50,2012-09,2710
Multiple cause of death C00-C97,50,2012-10,2837
Multiple cause of death C00-C97,50,2012-11,2764
Multiple cause of death C00-C97,50,2012-12,2792
Multiple cause of death C00-C97,50,2013-01,2793
Multiple cause of death C00-C97,50,2013-02,2555
Multiple cause of death C00-C97,50,2013-03,2817
Multiple cause of death C00-C97,50,2013-04,2582
Multiple cause of death C00-C97,50,2013-05,2652
Multiple cause of death C00-C97,50,2013-06,2606
Multiple cause of death C00-C97,50,2013-07,2780
Multiple cause of death C00-C97,50,2013-08,2802
Multiple cause of death C00-C97,50,2013-09,2577
Multiple cause of death C00-C97,50,2013-10,2747
Multiple cause of death C00-C97,50,2013-11,2628
Multiple cause of death C00-C97,50,2013-12,2734
Multiple cause of death C00-C97,50,2014-01,2775
Multiple cause of death C00-C97,50,2014-02,2514
Multiple cause of death C00-C97,50,2014-03,2706
Multiple cause of death C00-C97,50,2014-04,2639
Multiple cause of death C00-C97,50,2014-05,2605
Multiple cause of death C00-C97,50,2014-06,2612
Multiple cause of death C00-C97,50,2014-07,2633
Multiple cause of death C00-C97,50,2014-08,2690
Multiple cause of death C00-C97,50,2014-09,2531
Multiple cause of death C00-C97,50,2014-10,2714
Multiple cause of death C00-C97,50,2014-11,2627
Multiple cause of death C00-C97,50,2014-12,2648
Multiple cause of death C00-C97,50,2015-01,2768
Multiple cause of death C00-C97,50,2015-02,2466
Multiple cause of death C00-C97,50,2015-03,2717
Multiple cause of death C00-C97,50,2015-04,2539
Multiple cause of death C00-C97,50,2015-05,2614
Multiple cause of death C00-C97,50,2015-06,2460
Multiple cause of death C00-C97,50,2015-07,2528
Multiple cause of death C00-C97,50,2015-08,2546
Multiple cause of death C00-C97,50,2015-09,2566
Multiple cause of death C00-C97,50,2015-10,2559
Multiple cause of death C00-C97,50,2015-11,2444
Multiple cause of death C00-C97,50,2015-12,2466
Multiple cause of death C00-C97,50,2016-01,2542
Multiple cause of death C00-C97,50,2016-02,2388
Multiple cause of death C00-C97,50,2016-03,2549
Multiple cause of death C00-C97,50,2016-04,2357
Multiple cause of death C00-C97,50,2016-05,2389
Multiple cause of death C00-C97,50,2016-06,2354
Multiple cause of death C00-C97,50,2016-07,2464
Multiple cause of death C00-C97,50,2016-08,2442
Multiple cause of death C00-C97,50,2016-09,2349
Multiple cause of death C00-C97,50,2016-10,2476
Multiple cause of death C00-C97,50,2016-11,2275
Multiple cause of death C00-C97,50,2016-12,2335
Multiple cause of death C00-C97,50,2017-01,2446
Multiple cause of death C00-C97,50,2017-02,2113
Multiple cause of death C00-C97,50,2017-03,2406
Multiple cause of death C00-C97,50,2017-04,2241
Multiple cause of death C00-C97,50,2017-05,2306
Multiple cause of death C00-C97,50,2017-06,2214
Multiple cause of death C00-C97,50,2017-07,2297
Multiple cause of death C00-C97,50,2017-08,2328
Multiple cause of death C00-C97,50,2017-09,2250
Multiple cause of death C00-C97,50,2017-10,2283
Multiple cause of death C00-C97,50,2017-11,2259
Multiple cause of death C00-C97,50,2017-12,2343
Multiple cause of death C00-C97,50,2018-01,2313
Multiple cause of death C00-C97,50,2018-02,1975
Multiple cause of death C00-C97,50,2018-03,2152
Multiple cause of death C00-C97,50,2018-04,2106
Multiple cause of death C00-C97,50,2018-05,2100
Multiple cause of death C00-C97,50,2018-06,2080
Multiple cause of death C00-C97,50,2018-07,2158
Multiple cause of death C00-C97,50,2018-08,2179
Multiple cause of death C00-C97,50,2018-09,2100
Multiple cause of death C00-C97,50,2018-10,2167
Multiple cause of death C00-C97,50,2018-11,2122
Multiple cause of death C00-C97,50,2018-12,2214
Multiple cause of death C00-C97,50,2019-01,2134
Multiple cause of death C00-C97,50,2019-02,1859
Multiple cause of death C00-C97,50,2019-03,2107
Multiple cause of death C00-C97,50,2019-04,1958
Multiple cause of death C00-C97,50,2019-05,2089
Multiple cause of death C00-C97,50,2019-06,2019
Multiple cause of death C00-C97,50,2019-07,2075
Multiple cause of death C00-C97,50,2019-08,1965
Multiple cause of death C00-C97,50,2019-09,1972
Multiple cause of death C00-C97,50,2019-10,2019
Multiple cause of death C00-C97,50,2019-11,1994
Multiple cause of death C00-C97,50,2019-12,2014
Multiple cause of death C00-C97,50,2020-01,2061
Multiple cause of death C00-C97,50,2020-02,1953
Multiple cause of death C00-C97,50,2020-03,2015
Multiple cause of death C00-C97,50,2020-04,2073
Multiple cause of death C00-C97,50,2020-05,1950
Multiple cause of death C00-C97,50,2020-06,1983
Multiple cause of death C00-C97,50,2020-07,2043
Multiple cause of death C00-C97,50,2020-08,2013
Multiple cause of death C00-C97,50,2020-09,1943
Multiple cause of death C00-C97,50,2020-10,1978
Multiple cause of death C00-C97,50,2020-11,1937
Multiple cause of death C00-C97,50,2020-12,2052
Multiple cause of death C00-C97,50,2021-01,2112
Multiple cause of death C00-C97,50,2021-02,1827
Multiple cause of death C00-C97,50,2021-03,1986
Multiple cause of death C00-C97,50,2021-04,1928
Multiple cause of death C00-C97,50,2021-05,1978
Multiple cause of death C00-C97,50,2021-06,1917
Multiple cause of death C00-C97,50,2021-07,1947
Multiple cause of death C00-C97,50,2021-08,2001
Multiple cause of death C00-C97,50,2021-09,1963
Multiple cause of death C00-C97,50,2021-10,2010
Multiple cause of death C00-C97,50,2021-11,1815
Multiple cause of death C00-C97,50,2021-12,2124
Multiple cause of death C00-C97,50,2022-01,2144
Multiple cause of death C00-C97,50,2022-02,1829
Multiple cause of death C00-C97,50,2022-03,1947
Multiple cause of death C00-C97,50,2022-04,1875
Multiple cause of death C00-C97,50,2022-05,1976
Multiple cause of death C00-C97,50,2022-06,1894
Multiple cause of death C00-C97,50,2022-07,2000
Multiple cause of death C00-C97,50,2022-08,1880
Multiple cause of death C00-C97,50,2022-09,2008
Multiple cause of death C00-C97,50,2022-10,1998
Multiple cause of death C00-C97,50,2022-11,2049
Multiple cause of death C00-C97,50,2022-12,1975
Multiple cause of death C00-C97,50,2023-01,1983
Multiple cause of death C00-C97,50,2023-02,1784
Multiple cause of death C00-C97,50,2023-03,1941
Multiple cause of death C00-C97,50,2023-04,1902
Multiple cause of death C00-C97,50,2023-05,1845
Multiple cause of death C00-C97,50,2023-06,1883
Multiple cause of death C00-C97,50,2023-07,1916
Multiple cause of death C00-C97,50,2023-08,1945
Multiple cause of death C00-C97,50,2023-09,1834
Multiple cause of death C00-C97,50,2023-10,1948
Multiple cause of death C00-C97,50,2023-11,1854
Multiple cause of death C00-C97,50,2023-12,1943
Multiple cause of death C00-C97,50,2024-01,1970
Multiple cause of death C00-C97,50,2024-02,1853
Multiple cause of death C00-C97,50,2024-03,1932
Multiple cause of death C00-C97,50,2024-04,1799
Multiple cause of death C00-C97,50,2024-05,1768
Multiple cause of death C00-C97,50,2024-06,1744
Multiple cause of death C00-C97,50,2024-07,1683
Multiple cause of death C00-C97,50,2024-08,1694
Multiple cause of death C00-C97,50,2024-09,267
Multiple cause of death C00-C97,55,1999-01,3451
Multiple cause of death C00-C97,55,1999-02,3179
Multiple cause of death C00-C97,55,1999-03,3445
Multiple cause of death C00-C97,55,1999-04,3287
Multiple cause of death C00-C97,55,1999-05,3467
Multiple cause of death C00-C97,55,1999-06,3313
Multiple cause of death C00-C97,55,1999-07,3398
Multiple cause of death C00-C97,55,1999-08,3406
Multiple cause of death C00-C97,55,1999-09,3298
Multiple cause of death C00-C97,55,1999-10,3485
Multiple cause of death C00-C97,55,1999-11,3322
Multiple cause of death C00-C97,55,1999-12,3596
Multiple cause of death C00-C97,55,2000-01,3577
Multiple cause of death C00-C97,55,2000-02,3170
Multiple cause of death C00-C97,55,2000-03,3421
Multiple cause of death C00-C97,55,2000-04,3260
Multiple cause of death C00-C97,55,2000-05,3412
Multiple cause of death C00-C97,55,2000-06,3350
Multiple cause of death C00-C97,55,2000-07,3381
Multiple cause of death C00-C97,55,2000-08,3389
Multiple cause of death C00-C97,55,2000-09,3279
Multiple cause of death C00-C97,55,2000-10,3492
Multiple cause of death C00-C97,55,2000-11,3420
Multiple cause of death C00-C97,55,2000-12,3522
Multiple cause of death C00-C97,55,2001-01,3672
Multiple cause of death C00-C97,55,2001-02,3297
Multiple cause of death C00-C97,55,2001-03,3432
Multiple cause of death C00-C97,55,2001-04,3523
Multiple cause of death C00-C97,55,2001-05,3513
Multiple cause of death C00-C97,55,2001-06,3380
Multiple cause of death C00-C97,55,2001-07,3481
Multiple cause of death C00-C97,55,2001-08,3478
Multiple cause of death C00-C97,55,2001-09,3419
Multiple cause of death C00-C97,55,2001-10,3513
Multiple cause of death C00-C97,55,2001-11,3419
Multiple cause of death C00-C97,55,2001-12,3642
Multiple cause of death C00-C97,55,2002-01,3704
Multiple cause of death C00-C97,55,2002-02,3277
Multiple cause of death C00-C97,55,2002-03,3790
Multiple cause of death C00-C97,55,2002-04,3583
Multiple cause of death C00-C97,55,2002-05,3764
Multiple cause of death C00-C97,55,2002-06,3464
Multiple cause of death C00-C97,55,2002-07,3658
Multiple cause of death C00-C97,55,2002-08,3658
Multiple cause of death C00-C97,55,2002-09,3557
Multiple cause of death C00-C97,55,2002-10,3659
Multiple cause of death C00-C97,55,2002-11,3584
Multiple cause of death C00-C97,55,2002-12,3771
Multiple cause of death C00-C97,55,2003-01,3801
Multiple cause of death C00-C97,55,2003-02,3387
Multiple cause of death C00-C97,55,2003-03,3756
Multiple cause of death C00-C97,55,2003-04,3634
Multiple cause of death C00-C97,55,2003-05,3702
Multiple cause of death C00-C97,55,2003-06,3646
Multiple cause of death C00-C97,55,2003-07,3746
Multiple cause of death C00-C97,55,2003-08,3682
Multiple cause of death C00-C97,55,2003-09,3639
Multiple cause of death C00-C97,55,2003-10,3788
Multiple cause of death C00-C97,55,2003-11,3643
Multiple cause of death C00-C97,55,2003-12,3856
Multiple cause of death C00-C97,55,2004-01,3829
Multiple cause of death C00-C97,55,2004-02,3564
Multiple cause of death C00-C97,55,2004-03,3829
Multiple cause of death C00-C97,55,2004-04,3728
Multiple cause of death C00-C97,55,2004-05,3739
Multiple cause of death C00-C97,55,2004-06,3674
Multiple cause of death C00-C97,55,2004-07,3780
Multiple cause of death C00-C97,55,2004-08,3852
Multiple cause of death C00-C97,55,2004-09,3748
Multiple cause of death C00-C97,55,2004-10,3761
Multiple cause of death C00-C97,55,2004-11,3722
Multiple cause of death C00-C97,55,2004-12,3918
Multiple cause of death C00-C97,55,2005-01,3886
Multiple cause of death C00-C97,55,2005-02,3631
Multiple cause of death C00-C97,55,2005-03,3991
Multiple cause of death C00-C97,55,2005-04,3725
Multiple cause of death C00-C97,55,2005-05,3848
Multiple cause of death C00-C97,55,2005-06,3743
Multiple cause of death C00-C97,55,2005-07,3857
Multiple cause of death C00-C97,55,2005-08,3937
Multiple cause of death C00-C97,55,2005-09,3916
Multiple cause of death C00-C97,55,2005-10,3935
Multiple cause of death C00-C97,55,2005-11,3827
Multiple cause of death C00-C97,55,2005-12,4081
Multiple cause of death C00-C97,55,2006-01,4134
Multiple cause of death C00-C97,55,2006-02,3721
Multiple cause of death C00-C97,55,2006-03,4115
Multiple cause of death C00-C97,55,2006-04,3905
Multiple cause of death C00-C97,55,2006-05,4080
Multiple cause of death C00-C97,55,2006-06,3813
Multiple cause of death C00-C97,55,2006-07,4211
Multiple cause of death C00-C97,55,2006-08,4078
Multiple cause of death C00-C97,55,2006-09,4012
Multiple cause of death C00-C97,55,2006-10,4144
Multiple cause of death C00-C97,55,2006-11,3929
Multiple cause of death C00-C97,55,2006-12,4122
Multiple cause of death C00-C97,55,2007-01,4085
Multiple cause of death C00-C97,55,2007-02,3879
Multiple cause of death C00-C97,55,2007-03,4062
Multiple cause of death C00-C97,55,2007-04,3827
Multiple cause of death C00-C97,55,2007-05,3955
Multiple cause of death C00-C97,55,2007-06,3879
Multiple cause of death C00-C97,55,2007-07,3935
Multiple cause of death C00-C97,55,2007-08,4035
Multiple cause of death C00-C97,55,2007-09,3922
Multiple cause of death C00-C97,55,2007-10,4004
Multiple cause of death C00-C97,55,2007-11,3971
Multiple cause of death C00-C97,55,2007-12,4038
Multiple cause of death C00-C97,55,2008-01,4099
Multiple cause of death C00-C97,55,2008-02,3863
Multiple cause of death C00-C97,55,2008-03,4033
Multiple cause of death C00-C97,55,2008-04,3879
Multiple cause of death C00-C97,55,2008-05,3987
Multiple cause of death C00-C97,55,2008-06,3886
Multiple cause of death C00-C97,55,2008-07,3955
Multiple cause of death C00-C97,55,2008-08,4033
Multiple cause of death C00-C97,55,2008-09,3813
Multiple cause of death C00-C97,55,2008-10,4073
Multiple cause of death C00-C97,55,2008-11,3870
Multiple cause of death C00-C97,55,2008-12,4057
Multiple cause of death C00-C97,55,2009-01,4320
Multiple cause of death C00-C97,55,2009-02,3846
Multiple cause of death C00-C97,55,2009-03,4034
Multiple cause of death C00-C97,55,2009-04,3976
Multiple cause of death C00-C97,55,2009-05,3924
Multiple cause of death C00-C97,55,2009-06,3924
Multiple cause of death C00-C97,55,2009-07,3976
Multiple cause of death C00-C97,55,2009-08,4031
Multiple cause of death C00-C97,55,2009-09,3992
Multiple cause of death C00-C97,55,2009-10,4083
Multiple cause of death C00-C97,55,2009-11,4037
Multiple cause of death C00-C97,55,2009-12,4270
Multiple cause of death C00-C97,55,2010-01,4205
Multiple cause of death C00-C97,55,2010-02,3834
Multiple cause of death C00-C97,55,2010-03,4133
Multiple cause of death C00-C97,55,2010-04,4012
Multiple cause of death C00-C97,55,2010-05,4039
Multiple cause of death C00-C97,55,2010-06,3936
Multiple cause of death C00-C97,55,2010-07,4172
Multiple cause of death C00-C97,55,2010-08,4057
Multiple cause of death C00-C97,55,2010-09,4031
Multiple cause of death C00-C97,55,2010-10,4218
Multiple cause of death C00-C97,55,2010-11,4073
Multiple cause of death C00-C97,55,2010-12,4384
Multiple cause of death C00-C97,55,2011-01,4336
Multiple cause of death C00-C97,55,2011-02,4008
Multiple cause of death C00-C97,55,2011-03,4344
Multiple cause of death C00-C97,55,2011-04,4017
Multiple cause of death C00-C97,55,2011-05,4246
Multiple cause of death C00-C97,55,2011-06,4096
Multiple cause of death C00-C97,55,2011-07,4141
Multiple cause of death C00-C97,55,2011-08,4118
Multiple cause of death C00-C97,55,2011-09,4185
Multiple cause of death C00-C97,55,2011-10,4206
Multiple cause of death C00-C97,55,2011-11,4154
Multiple cause of death C00-C97,55,2011-12,4351
Multiple cause of death C00-C97,55,2012-01,4387
Multiple cause of death C00-C97,55,2012-02,4081
Multiple cause of death C00-C97,55,2012-03,4297
Multiple cause of death C00-C97,55,2012-04,4085
Multiple cause of death C00-C97,55,2012-05,4310
Multiple cause of death C00-C97,55,2012-06,4198
Multiple cause of death C00-C97,55,2012-07,4213
Multiple cause of death C00-C97,55,2012-08,4436
Multiple cause of death C00-C97,55,2012-09,4285
Multiple cause of death C00-C97,55,2012-10,4358
Multiple cause of death C00-C97,55,2012-11,4248
Multiple cause of death C00-C97,55,2012-12,4457
Multiple cause of death C00-C97,55,2013-01,4462
Multiple cause of death C00-C97,55,2013-02,4081
Multiple cause of death C00-C97,55,2013-03,4374
Multiple cause of death C00-C97,55,2013-04,4237
Multiple cause of death C00-C97,55,2013-05,4312
Multiple cause of death C00-C97,55,2013-06,4179
Multiple cause of death C00-C97,55,2013-07,4337
Multiple cause of death C00-C97,55,2013-08,4465
Multiple cause of death C00-C97,55,2013-09,4126
Multiple cause of death C00-C97,55,2013-10,4417
Multiple cause of death C00-C97,55,2013-11,4195
Multiple cause of death C00-C97,55,2013-12,4348
Multiple cause of death C00-C97,55,2014-01,4675
Multiple cause of death C00-C97,55,2014-02,4114
Multiple cause of death C00-C97,55,2014-03,4440
Multiple cause of death C00-C97,55,2014-04,4276
Multiple cause of death C00-C97,55,2014-05,4425
Multiple cause of death C00-C97,55,2014-06,4267
Multiple cause of death C00-C97,55,2014-07,4423
Multiple cause of death C00-C97,55,2014-08,4355
Multiple cause of death C00-C97,55,2014-09,4226
Multiple cause of death C00-C97,55,2014-10,4520
Multiple cause of death C00-C97,55,2014-11,4354
Multiple cause of death C00-C97,55,2014-12,4447
Multiple cause of death C00-C97,55,2015-01,4576
Multiple cause of death C00-C97,55,2015-02,4107
Multiple cause of death C00-C97,55,2015-03,4506
Multiple cause of death C00-C97,55,2015-04,4289
Multiple cause of death C00-C97,55,2015-05,4482
Multiple cause of death C00-C97,55,2015-06,4285
Multiple cause of death C00-C97,55,2015-07,4425
Multiple cause of death C00-C97,55,2015-08,4391
Multiple cause of death C00-C97,55,2015-09,4334
Multiple cause of death C00-C97,55,2015-10,4499
Multiple cause of death C00-C97,55,2015-11,4284
Multiple cause of death C00-C97,55,2015-12,4509
Multiple cause of death C00-C97,55,2016-01,4592
Multiple cause of death C00-C97,55,2016-02,4276
Multiple cause of death C00-C97,55,2016-03,4517
Multiple cause of death C00-C97,55,2016-04,4157
Multiple cause of death C00-C97,55,2016-05,4409
Multiple cause of death C00-C97,55,2016-06,4070
Multiple cause of death C00-C97,55,2016-07,4355
Multiple cause of death C00-C97,55,2016-08,4283
Multiple cause of death C00-C97,55,2016-09,4167
Multiple cause of death C00-C97,55,2016-10,4416
Multiple cause of death C00-C97,55,2016-11,4226
Multiple cause of death C00-C97,55,2016-12,4425
Multiple cause of death C00-C97,55,2017-01,4426
Multiple cause of death C00-C97,55,2017-02,4016
Multiple cause of death C00-C97,55,2017-03,4211
Multiple cause of death C00-C97,55,2017-04,4122
Multiple cause of death C00-C97,55,2017-05,4329
Multiple cause of death C00-C97,55,2017-06,4243
Multiple cause of death C00-C97,55,2017-07,4174
Multiple cause of death C00-C97,55,2017-08,4317
Multiple cause of death C00-C97,55,2017-09,4090
Multiple cause of death C00-C97,55,2017-10,4124
Multiple cause of death C00-C97,55,2017-11,4074
Multiple cause of death C00-C97,55,2017-12,4278
Multiple cause of death C00-C97,55,2018-01,4372
Multiple cause of death C00-C97,55,2018-02,3983
Multiple cause of death C00-C97,55,2018-03,4192
Multiple cause of death C00-C97,55,2018-04,4069
Multiple cause of death C00-C97,55,2018-05,4070
Multiple cause of death C00-C97,55,2018-06,4000
Multiple cause of death C00-C97,55,2018-07,4073
Multiple cause of death C00-C97,55,2018-08,4193
Multiple cause of death C00-C97,55,2018-09,3987
Multiple cause of death C00-C97,55,2018-10,4163
Multiple cause of death C00-C97,55,2018-11,3949
Multiple cause of death C00-C97,55,2018-12,4295
Multiple cause of death C00-C97,55,2019-01,4149
Multiple cause of death C00-C97,55,2019-02,3688
Multiple cause of death C00-C97,55,2019-03,4027
Multiple cause of death C00-C97,55,2019-04,3820
Multiple cause of death C00-C97,55,2019-05,4032
Multiple cause of death C00-C97,55,2019-06,3895
Multiple cause of death C00-C97,55,2019-07,4070
Multiple cause of death C00-C97,55,2019-08,3960
Multiple cause of death C00-C97,55,2019-09,3793
Multiple cause of death C00-C97,55,2019-10,3934
Multiple cause of death C00-C97,55,2019-11,3798
Multiple cause of death C00-C97,55,2019-12,3912
Multiple cause of death C00-C97,55,2020-01,4080
Multiple cause of death C00-C97,55,2020-02,3655
Multiple cause of death C00-C97,55,2020-03,3908
Multiple cause of death C00-C97,55,2020-04,3859
Multiple cause of death C00-C97,55,2020-05,3718
Multiple cause of death C00-C97,55,2020-06,3714
Multiple cause of death C00-C97,55,2020-07,3964
Multiple cause of death C00-C97,55,2020-08,3936
Multiple cause of death C00-C97,55,2020-09,3734
Multiple cause of death C00-C97,55,2020-10,3927
Multiple cause of death C00-C97,55,2020-11,3762
Multiple cause of death C00-C97,55,2020-12,4006
Multiple cause of death C00-C97,55,2021-01,3970
Multiple cause of death C00-C97,55,2021-02,3468
Multiple cause of death C00-C97,55,2021-03,3768
Multiple cause of death C00-C97,55,2021-04,3748
Multiple cause of death C00-C97,55,2021-05,3839
Multiple cause of death C00-C97,55,2021-06,3580
Multiple cause of death C00-C97,55,2021-07,3739
Multiple cause of death C00-C97,55,2021-08,3915
Multiple cause of death C00-C97,55,2021-09,3634
Multiple cause of death C00-C97,55,2021-10,3824
Multiple cause of death C00-C97,55,2021-11,3641
Multiple cause of death C00-C97,55,2021-12,3706
Multiple cause of death C00-C97,55,2022-01,4053
Multiple cause of death C00-C97,55,2022-02,3415
Multiple cause of death C00-C97,55,2022-03,3687
Multiple cause of death C00-C97,55,2022-04,3377
Multiple cause of death C00-C97,55,2022-05,3503
Multiple cause of death C00-C97,55,2022-06,3378
Multiple cause of death C00-C97,55,2022-07,3546
Multiple cause of death C00-C97,55,2022-08,3538
Multiple cause of death C00-C97,55,2022-09,3558
Multiple cause of death C00-C97,55,2022-10,3507
Multiple cause of death C00-C97,55,2022-11,3407
Multiple cause of death C00-C97,55,2022-12,3662
Multiple cause of death C00-C97,55,2023-01,3604
Multiple cause of death C00-C97,55,2023-02,3199
Multiple cause of death C00-C97,55,2023-03,3375
Multiple cause of death C00-C97,55,2023-04,3316
Multiple cause of death C00-C97,55,2023-05,3344
Multiple cause of death C00-C97,55,2023-06,3247
Multiple cause of death C00-C97,55,2023-07,3417
Multiple cause of death C00-C97,55,2023-08,3336
Multiple cause of death C00-C97,55,2023-09,3247
Multiple cause of death C00-C97,55,2023-10,3274
Multiple cause of death C00-C97,55,2023-11,3177
Multiple cause of death C00-C97,55,2023-12,3471
Multiple cause of death C00-C97,55,2024-01,3400
Multiple cause of death C00-C97,55,2024-02,3170
Multiple cause of death C00-C97,55,2024-03,3298
Multiple cause of death C00-C97,55,2024-04,2971
Multiple cause of death C00-C97,55,2024-05,3198
Multiple cause of death C00-C97,55,2024-06,3056
Multiple cause of death C00-C97,55,2024-07,3015
Multiple cause of death C00-C97,55,2024-08,3031
Multiple cause of death C00-C97,55,2024-09,468
Multiple cause of death C00-C97,60,1999-01,4701
Multiple cause of death C00-C97,60,1999-02,4222
Multiple cause of death C00-C97,60,1999-03,4648
Multiple cause of death C00-C97,60,1999-04,4262
Multiple cause of death C00-C97,60,1999-05,4516
Multiple cause of death C00-C97,60,1999-06,4308
Multiple cause of death C00-C97,60,1999-07,4481
Multiple cause of death C00-C97,60,1999-08,4470
Multiple cause of death C00-C97,60,1999-09,4205
Multiple cause of death C00-C97,60,1999-10,4577
Multiple cause of death C00-C97,60,1999-11,4365
Multiple cause of death C00-C97,60,1999-12,4574
Multiple cause of death C00-C97,60,2000-01,4633
Multiple cause of death C00-C97,60,2000-02,4085
Multiple cause of death C00-C97,60,2000-03,4362
Multiple cause of death C00-C97,60,2000-04,4289
Multiple cause of death C00-C97,60,2000-05,4524
Multiple cause of death C00-C97,60,2000-06,4250
Multiple cause of death C00-C97,60,2000-07,4513
Multiple cause of death C00-C97,60,2000-08,4487
Multiple cause of death C00-C97,60,2000-09,4291
Multiple cause of death C00-C97,60,2000-10,4619
Multiple cause of death C00-C97,60,2000-11,4356
Multiple cause of death C00-C97,60,2000-12,4626
Multiple cause of death C00-C97,60,2001-01,4690
Multiple cause of death C00-C97,60,2001-02,4115
Multiple cause of death C00-C97,60,2001-03,4464
Multiple cause of death C00-C97,60,2001-04,4400
Multiple cause of death C00-C97,60,2001-05,4467
Multiple cause of death C00-C97,60,2001-06,4309
Multiple cause of death C00-C97,60,2001-07,4399
Multiple cause of death C00-C97,60,2001-08,4541
