date,cause,code,dead
2022-07,Pyoderma gangrenosum,L88,12
2022-07,Stage II decubitus ulcer,L89.1,14
2022-07,Stage III decubitus ulcer,L89.2,32
2022-07,Stage IV decubitus ulcer,L89.3,143
2022-07,"Decubitus ulcer and pressure area, unspecified",L89.9,900
2022-07,"Granulomatous disorder of skin and subcutaneous tissue, unspecified",L92.9,14
2022-07,Discoid lupus erythematosus,L93.0,202
2022-07,"Ulcer of lower limb, not elsewhere classified",L97,121
2022-07,"Chronic ulcer of skin, not elsewhere classified",L98.4,260
2022-07,Other specified disorders of skin and subcutaneous tissue,L98.8,102
2022-07,"Disorder of skin and subcutaneous tissue, unspecified",L98.9,71
2022-08,"Cutaneous abscess, furuncle and carbuncle of neck",L02.1,10
2022-08,"Cutaneous abscess, furuncle and carbuncle of trunk",L02.2,35
2022-08,"Cutaneous abscess, furuncle and carbuncle of buttock",L02.3,17
2022-08,"Cutaneous abscess, furuncle and carbuncle of limb",L02.4,30
2022-08,"Cutaneous abscess, furuncle and carbuncle, unspecified",L02.9,81
2022-08,Cellulitis of other parts of limb,L03.1,280
2022-08,Cellulitis of trunk,L03.3,18
2022-08,"Cellulitis, unspecified",L03.9,301
2022-08,"Local infection of skin and subcutaneous tissue, unspecified",L08.9,287
2022-08,Bullous pemphigoid,L12.0,31
2022-08,"Dermatitis, unspecified",L30.9,11
2022-08,Arthropathic psoriasis,L40.5,27
2022-08,"Psoriasis, unspecified",L40.9,31
2022-08,Bullous erythema multiforme,L51.1,18
2022-08,"Eccrine sweat disorder, unspecified",L74.9,10
2022-08,Pyoderma gangrenosum,L88,16
2022-08,Stage II decubitus ulcer,L89.1,17
2022-08,Stage III decubitus ulcer,L89.2,22
2022-08,Stage IV decubitus ulcer,L89.3,175
2022-08,"Decubitus ulcer and pressure area, unspecified",L89.9,887
2022-08,Scar conditions and fibrosis of skin,L90.5,14
2022-08,"Granulomatous disorder of skin and subcutaneous tissue, unspecified",L92.9,24
2022-08,Discoid lupus erythematosus,L93.0,180
2022-08,"Ulcer of lower limb, not elsewhere classified",L97,103
2022-08,"Chronic ulcer of skin, not elsewhere classified",L98.4,266
2022-08,Other specified disorders of skin and subcutaneous tissue,L98.8,94
2022-08,"Disorder of skin and subcutaneous tissue, unspecified",L98.9,83
2022-09,"Cutaneous abscess, furuncle and carbuncle of neck",L02.1,13
2022-09,"Cutaneous abscess, furuncle and carbuncle of trunk",L02.2,30
2022-09,"Cutaneous abscess, furuncle and carbuncle of buttock",L02.3,13
2022-09,"Cutaneous abscess, furuncle and carbuncle of limb",L02.4,36
2022-09,"Cutaneous abscess, furuncle and carbuncle, unspecified",L02.9,98
2022-09,Cellulitis of other parts of limb,L03.1,270
2022-09,Cellulitis of trunk,L03.3,34
2022-09,Cellulitis of other sites,L03.8,11
2022-09,"Cellulitis, unspecified",L03.9,299
2022-09,"Local infection of skin and subcutaneous tissue, unspecified",L08.9,292
2022-09,Bullous pemphigoid,L12.0,47
2022-09,Arthropathic psoriasis,L40.5,22
2022-09,"Psoriasis, unspecified",L40.9,28
2022-09,"Erythematous condition, unspecified",L53.9,10
2022-09,Pyoderma gangrenosum,L88,10
2022-09,Stage II decubitus ulcer,L89.1,16
2022-09,Stage III decubitus ulcer,L89.2,29
2022-09,Stage IV decubitus ulcer,L89.3,164
2022-09,"Decubitus ulcer and pressure area, unspecified",L89.9,892
2022-09,"Granulomatous disorder of skin and subcutaneous tissue, unspecified",L92.9,20
2022-09,Discoid lupus erythematosus,L93.0,172
2022-09,"Ulcer of lower limb, not elsewhere classified",L97,107
2022-09,"Chronic ulcer of skin, not elsewhere classified",L98.4,234
2022-09,Other specified disorders of skin and subcutaneous tissue,L98.8,111
2022-09,"Disorder of skin and subcutaneous tissue, unspecified",L98.9,86
2022-10,"Cutaneous abscess, furuncle and carbuncle of neck",L02.1,13
2022-10,"Cutaneous abscess, furuncle and carbuncle of trunk",L02.2,28
2022-10,"Cutaneous abscess, furuncle and carbuncle of limb",L02.4,36
2022-10,"Cutaneous abscess, furuncle and carbuncle, unspecified",L02.9,86
2022-10,Cellulitis of other parts of limb,L03.1,290
2022-10,Cellulitis of trunk,L03.3,31
2022-10,"Cellulitis, unspecified",L03.9,300
2022-10,"Local infection of skin and subcutaneous tissue, unspecified",L08.9,289
2022-10,Bullous pemphigoid,L12.0,34
2022-10,Arthropathic psoriasis,L40.5,33
2022-10,"Psoriasis, unspecified",L40.9,28
2022-10,Bullous erythema multiforme,L51.1,17
2022-10,Toxic epidermal necrolysis [Lyell],L51.2,12
2022-10,"Erythematous condition, unspecified",L53.9,13
2022-10,Pyoderma gangrenosum,L88,12
2022-10,Stage II decubitus ulcer,L89.1,15
2022-10,Stage III decubitus ulcer,L89.2,26
2022-10,Stage IV decubitus ulcer,L89.3,154
2022-10,"Decubitus ulcer and pressure area, unspecified",L89.9,904
2022-10,"Granulomatous disorder of skin and subcutaneous tissue, unspecified",L92.9,26
2022-10,Discoid lupus erythematosus,L93.0,178
2022-10,"Ulcer of lower limb, not elsewhere classified",L97,126
2022-10,"Chronic ulcer of skin, not elsewhere classified",L98.4,280
2022-10,Other specified disorders of skin and subcutaneous tissue,L98.8,84
2022-10,"Disorder of skin and subcutaneous tissue, unspecified",L98.9,85
2022-11,"Cutaneous abscess, furuncle and carbuncle of neck",L02.1,10
2022-11,"Cutaneous abscess, furuncle and carbuncle of trunk",L02.2,24
2022-11,"Cutaneous abscess, furuncle and carbuncle of buttock",L02.3,10
2022-11,"Cutaneous abscess, furuncle and carbuncle of limb",L02.4,32
2022-11,"Cutaneous abscess, furuncle and carbuncle, unspecified",L02.9,67
2022-11,Cellulitis of other parts of limb,L03.1,281
2022-11,Cellulitis of trunk,L03.3,20
2022-11,"Cellulitis, unspecified",L03.9,317
2022-11,"Local infection of skin and subcutaneous tissue, unspecified",L08.9,329
2022-11,Bullous pemphigoid,L12.0,42
2022-11,"Dermatitis, unspecified",L30.9,12
2022-11,Arthropathic psoriasis,L40.5,24
2022-11,"Psoriasis, unspecified",L40.9,35
2022-11,Bullous erythema multiforme,L51.1,11
2022-11,"Erythematous condition, unspecified",L53.9,15
2022-11,Pyoderma gangrenosum,L88,12
2022-11,Stage II decubitus ulcer,L89.1,14
2022-11,Stage III decubitus ulcer,L89.2,28
2022-11,Stage IV decubitus ulcer,L89.3,160
2022-11,"Decubitus ulcer and pressure area, unspecified",L89.9,890
2022-11,"Granulomatous disorder of skin and subcutaneous tissue, unspecified",L92.9,17
2022-11,Discoid lupus erythematosus,L93.0,190
2022-11,"Ulcer of lower limb, not elsewhere classified",L97,119
2022-11,"Chronic ulcer of skin, not elsewhere classified",L98.4,277
2022-11,Other specified disorders of skin and subcutaneous tissue,L98.8,110
2022-11,"Disorder of skin and subcutaneous tissue, unspecified",L98.9,89
2022-12,"Cutaneous abscess, furuncle and carbuncle of neck",L02.1,15
2022-12,"Cutaneous abscess, furuncle and carbuncle of trunk",L02.2,30
2022-12,"Cutaneous abscess, furuncle and carbuncle of limb",L02.4,33
2022-12,"Cutaneous abscess, furuncle and carbuncle, unspecified",L02.9,67
2022-12,Cellulitis of other parts of limb,L03.1,322
2022-12,Cellulitis of face,L03.2,11
2022-12,Cellulitis of trunk,L03.3,36
2022-12,"Cellulitis, unspecified",L03.9,351
2022-12,"Local infection of skin and subcutaneous tissue, unspecified",L08.9,350
2022-12,Bullous pemphigoid,L12.0,35
2022-12,Arthropathic psoriasis,L40.5,31
2022-12,"Psoriasis, unspecified",L40.9,33
2022-12,Bullous erythema multiforme,L51.1,13
2022-12,"Erythematous condition, unspecified",L53.9,10
2022-12,Hidradenitis suppurativa,L73.2,13
2022-12,Stage II decubitus ulcer,L89.1,22
2022-12,Stage III decubitus ulcer,L89.2,24
2022-12,Stage IV decubitus ulcer,L89.3,184
2022-12,"Decubitus ulcer and pressure area, unspecified",L89.9,902
2022-12,"Granulomatous disorder of skin and subcutaneous tissue, unspecified",L92.9,28
2022-12,Discoid lupus erythematosus,L93.0,209
2022-12,"Ulcer of lower limb, not elsewhere classified",L97,165
2022-12,"Chronic ulcer of skin, not elsewhere classified",L98.4,272
2022-12,Other specified disorders of skin and subcutaneous tissue,L98.8,95
2022-12,"Disorder of skin and subcutaneous tissue, unspecified",L98.9,73
2023-01,"Cutaneous abscess, furuncle and carbuncle of trunk",L02.2,53
2023-01,"Cutaneous abscess, furuncle and carbuncle of buttock",L02.3,16
2023-01,"Cutaneous abscess, furuncle and carbuncle of limb",L02.4,33
2023-01,"Cutaneous abscess, furuncle and carbuncle, unspecified",L02.9,87
2023-01,Cellulitis of other parts of limb,L03.1,332
2023-01,Cellulitis of face,L03.2,10
2023-01,Cellulitis of trunk,L03.3,41
2023-01,"Cellulitis, unspecified",L03.9,382
2023-01,"Local infection of skin and subcutaneous tissue, unspecified",L08.9,326
2023-01,Bullous pemphigoid,L12.0,51
2023-01,"Dermatitis, unspecified",L30.9,13
2023-01,Arthropathic psoriasis,L40.5,22
2023-01,"Psoriasis, unspecified",L40.9,43
2023-01,Pyoderma gangrenosum,L88,14
2023-01,Stage II decubitus ulcer,L89.1,19
2023-01,Stage III decubitus ulcer,L89.2,34
2023-01,Stage IV decubitus ulcer,L89.3,159
2023-01,"Decubitus ulcer and pressure area, unspecified",L89.9,952
2023-01,Scar conditions and fibrosis of skin,L90.5,11
2023-01,"Granulomatous disorder of skin and subcutaneous tissue, unspecified",L92.9,30
2023-01,Discoid lupus erythematosus,L93.0,192
2023-01,"Ulcer of lower limb, not elsewhere classified",L97,143
2023-01,"Chronic ulcer of skin, not elsewhere classified",L98.4,306
2023-01,Other specified disorders of skin and subcutaneous tissue,L98.8,77
2023-01,"Disorder of skin and subcutaneous tissue, unspecified",L98.9,119
2023-02,"Cutaneous abscess, furuncle and carbuncle of trunk",L02.2,29
2023-02,"Cutaneous abscess, furuncle and carbuncle of limb",L02.4,30
2023-02,"Cutaneous abscess, furuncle and carbuncle, unspecified",L02.9,73
2023-02,Cellulitis of other parts of limb,L03.1,309
2023-02,Cellulitis of face,L03.2,10
2023-02,Cellulitis of trunk,L03.3,27
2023-02,"Cellulitis, unspecified",L03.9,366
2023-02,"Local infection of skin and subcutaneous tissue, unspecified",L08.9,268
2023-02,Bullous pemphigoid,L12.0,22
2023-02,"Dermatitis, unspecified",L30.9,12
2023-02,Arthropathic psoriasis,L40.5,28
2023-02,"Psoriasis, unspecified",L40.9,29
2023-02,Bullous erythema multiforme,L51.1,11
2023-02,Toxic epidermal necrolysis [Lyell],L51.2,14
2023-02,"Erythematous condition, unspecified",L53.9,17
2023-02,Pyoderma gangrenosum,L88,10
2023-02,Stage II decubitus ulcer,L89.1,16
2023-02,Stage III decubitus ulcer,L89.2,31
2023-02,Stage IV decubitus ulcer,L89.3,140
2023-02,"Decubitus ulcer and pressure area, unspecified",L89.9,898
2023-02,"Granulomatous disorder of skin and subcutaneous tissue, unspecified",L92.9,16
2023-02,Discoid lupus erythematosus,L93.0,164
2023-02,"Ulcer of lower limb, not elsewhere classified",L97,125
2023-02,"Chronic ulcer of skin, not elsewhere classified",L98.4,300
2023-02,Other specified disorders of skin and subcutaneous tissue,L98.8,86
2023-02,"Disorder of skin and subcutaneous tissue, unspecified",L98.9,99
2023-03,"Cutaneous abscess, furuncle and carbuncle of neck",L02.1,10
2023-03,"Cutaneous abscess, furuncle and carbuncle of trunk",L02.2,32
2023-03,"Cutaneous abscess, furuncle and carbuncle of buttock",L02.3,11
2023-03,"Cutaneous abscess, furuncle and carbuncle of limb",L02.4,31
2023-03,"Cutaneous abscess, furuncle and carbuncle, unspecified",L02.9,65
2023-03,Cellulitis of other parts of limb,L03.1,309
2023-03,Cellulitis of trunk,L03.3,32
2023-03,"Cellulitis, unspecified",L03.9,357
2023-03,"Local infection of skin and subcutaneous tissue, unspecified",L08.9,322
2023-03,Bullous pemphigoid,L12.0,51
2023-03,"Dermatitis, unspecified",L30.9,15
2023-03,Arthropathic psoriasis,L40.5,27
2023-03,"Psoriasis, unspecified",L40.9,35
2023-03,Bullous erythema multiforme,L51.1,16
2023-03,"Erythematous condition, unspecified",L53.9,10
2023-03,Stage II decubitus ulcer,L89.1,24
2023-03,Stage III decubitus ulcer,L89.2,16
2023-03,Stage IV decubitus ulcer,L89.3,169
2023-03,"Decubitus ulcer and pressure area, unspecified",L89.9,968
2023-03,Scar conditions and fibrosis of skin,L90.5,10
2023-03,"Granulomatous disorder of skin and subcutaneous tissue, unspecified",L92.9,22
2023-03,Discoid lupus erythematosus,L93.0,165
2023-03,"Ulcer of lower limb, not elsewhere classified",L97,133
2023-03,"Chronic ulcer of skin, not elsewhere classified",L98.4,303
2023-03,Other specified disorders of skin and subcutaneous tissue,L98.8,91
2023-03,"Disorder of skin and subcutaneous tissue, unspecified",L98.9,116
2023-04,"Cutaneous abscess, furuncle and carbuncle of trunk",L02.2,29
2023-04,"Cutaneous abscess, furuncle and carbuncle of buttock",L02.3,18
2023-04,"Cutaneous abscess, furuncle and carbuncle of limb",L02.4,27
2023-04,"Cutaneous abscess, furuncle and carbuncle, unspecified",L02.9,88
2023-04,Cellulitis of other parts of limb,L03.1,283
2023-04,Cellulitis of face,L03.2,10
2023-04,Cellulitis of trunk,L03.3,27
2023-04,"Cellulitis, unspecified",L03.9,357
2023-04,"Local infection of skin and subcutaneous tissue, unspecified",L08.9,331
2023-04,Bullous pemphigoid,L12.0,34
2023-04,"Dermatitis, unspecified",L30.9,13
2023-04,Arthropathic psoriasis,L40.5,31
2023-04,"Psoriasis, unspecified",L40.9,32
2023-04,Bullous erythema multiforme,L51.1,12
2023-04,"Erythematous condition, unspecified",L53.9,11
2023-04,Hidradenitis suppurativa,L73.2,12
2023-04,Pyoderma gangrenosum,L88,13
2023-04,Stage II decubitus ulcer,L89.1,13
2023-04,Stage III decubitus ulcer,L89.2,12
2023-04,Stage IV decubitus ulcer,L89.3,130
2023-04,"Decubitus ulcer and pressure area, unspecified",L89.9,832
2023-04,Scar conditions and fibrosis of skin,L90.5,11
2023-04,"Granulomatous disorder of skin and subcutaneous tissue, unspecified",L92.9,17
2023-04,Discoid lupus erythematosus,L93.0,146
2023-04,"Ulcer of lower limb, not elsewhere classified",L97,127
2023-04,"Chronic ulcer of skin, not elsewhere classified",L98.4,282
2023-04,Other specified disorders of skin and subcutaneous tissue,L98.8,61
2023-04,"Disorder of skin and subcutaneous tissue, unspecified",L98.9,106
2023-05,"Cutaneous abscess, furuncle and carbuncle of trunk",L02.2,35
2023-05,"Cutaneous abscess, furuncle and carbuncle of limb",L02.4,33
2023-05,"Cutaneous abscess, furuncle and carbuncle, unspecified",L02.9,72
2023-05,Cellulitis of other parts of limb,L03.1,273
2023-05,Cellulitis of trunk,L03.3,27
2023-05,"Cellulitis, unspecified",L03.9,325
2023-05,"Local infection of skin and subcutaneous tissue, unspecified",L08.9,337
2023-05,Bullous pemphigoid,L12.0,32
2023-05,"Dermatitis, unspecified",L30.9,10
2023-05,Arthropathic psoriasis,L40.5,28
2023-05,"Psoriasis, unspecified",L40.9,34
2023-05,Bullous erythema multiforme,L51.1,13
2023-05,"Erythematous condition, unspecified",L53.9,10
2023-05,Hidradenitis suppurativa,L73.2,10
2023-05,Stage II decubitus ulcer,L89.1,11
2023-05,Stage III decubitus ulcer,L89.2,17
2023-05,Stage IV decubitus ulcer,L89.3,151
2023-05,"Decubitus ulcer and pressure area, unspecified",L89.9,843
2023-05,Scar conditions and fibrosis of skin,L90.5,11
2023-05,"Granulomatous disorder of skin and subcutaneous tissue, unspecified",L92.9,26
2023-05,Discoid lupus erythematosus,L93.0,164
2023-05,"Ulcer of lower limb, not elsewhere classified",L97,119
2023-05,"Chronic ulcer of skin, not elsewhere classified",L98.4,244
2023-05,Other specified disorders of skin and subcutaneous tissue,L98.8,90
2023-05,"Disorder of skin and subcutaneous tissue, unspecified",L98.9,91
2023-06,"Cutaneous abscess, furuncle and carbuncle of trunk",L02.2,24
2023-06,"Cutaneous abscess, furuncle and carbuncle of buttock",L02.3,18
2023-06,"Cutaneous abscess, furuncle and carbuncle of limb",L02.4,37
2023-06,"Cutaneous abscess, furuncle and carbuncle, unspecified",L02.9,68
2023-06,Cellulitis of other parts of limb,L03.1,279
2023-06,Cellulitis of trunk,L03.3,20
2023-06,"Cellulitis, unspecified",L03.9,314
2023-06,"Local infection of skin and subcutaneous tissue, unspecified",L08.9,303
2023-06,Bullous pemphigoid,L12.0,32
2023-06,Arthropathic psoriasis,L40.5,30
2023-06,"Psoriasis, unspecified",L40.9,25
2023-06,Bullous erythema multiforme,L51.1,21
2023-06,"Erythematous condition, unspecified",L53.9,14
2023-06,Stage II decubitus ulcer,L89.1,18
2023-06,Stage III decubitus ulcer,L89.2,20
2023-06,Stage IV decubitus ulcer,L89.3,126
2023-06,"Decubitus ulcer and pressure area, unspecified",L89.9,797
2023-06,"Granulomatous disorder of skin and subcutaneous tissue, unspecified",L92.9,25
2023-06,Discoid lupus erythematosus,L93.0,174
2023-06,"Ulcer of lower limb, not elsewhere classified",L97,130
2023-06,"Chronic ulcer of skin, not elsewhere classified",L98.4,243
2023-06,Other specified disorders of skin and subcutaneous tissue,L98.8,80
2023-06,"Disorder of skin and subcutaneous tissue, unspecified",L98.9,97
2023-07,"Cutaneous abscess, furuncle and carbuncle of trunk",L02.2,33
2023-07,"Cutaneous abscess, furuncle and carbuncle of buttock",L02.3,20
2023-07,"Cutaneous abscess, furuncle and carbuncle of limb",L02.4,30
2023-07,"Cutaneous abscess, furuncle and carbuncle, unspecified",L02.9,72
2023-07,Cellulitis of other parts of limb,L03.1,280
2023-07,Cellulitis of trunk,L03.3,22
2023-07,"Cellulitis, unspecified",L03.9,340
2023-07,"Local infection of skin and subcutaneous tissue, unspecified",L08.9,266
2023-07,Bullous pemphigoid,L12.0,42
2023-07,Arthropathic psoriasis,L40.5,31
2023-07,"Psoriasis, unspecified",L40.9,24
2023-07,Bullous erythema multiforme,L51.1,15
2023-07,"Erythematous condition, unspecified",L53.9,12
2023-07,Pyoderma gangrenosum,L88,10
2023-07,Stage II decubitus ulcer,L89.1,22
2023-07,Stage III decubitus ulcer,L89.2,20
2023-07,Stage IV decubitus ulcer,L89.3,127
2023-07,"Decubitus ulcer and pressure area, unspecified",L89.9,801
2023-07,"Granulomatous disorder of skin and subcutaneous tissue, unspecified",L92.9,17
2023-07,Discoid lupus erythematosus,L93.0,165
2023-07,"Ulcer of lower limb, not elsewhere classified",L97,139
2023-07,"Chronic ulcer of skin, not elsewhere classified",L98.4,232
2023-07,Other specified disorders of skin and subcutaneous tissue,L98.8,100
2023-07,"Disorder of skin and subcutaneous tissue, unspecified",L98.9,78
2023-08,"Cutaneous abscess, furuncle and carbuncle of neck",L02.1,14
2023-08,"Cutaneous abscess, furuncle and carbuncle of trunk",L02.2,35
2023-08,"Cutaneous abscess, furuncle and carbuncle of buttock",L02.3,11
2023-08,"Cutaneous abscess, furuncle and carbuncle of limb",L02.4,31
2023-08,"Cutaneous abscess, furuncle and carbuncle, unspecified",L02.9,67
2023-08,Cellulitis of other parts of limb,L03.1,262
2023-08,Cellulitis of trunk,L03.3,23
2023-08,"Cellulitis, unspecified",L03.9,311
2023-08,"Local infection of skin and subcutaneous tissue, unspecified",L08.9,309
2023-08,Bullous pemphigoid,L12.0,33
2023-08,Arthropathic psoriasis,L40.5,28
2023-08,"Psoriasis, unspecified",L40.9,33
2023-08,"Erythematous condition, unspecified",L53.9,14
2023-08,Pyoderma gangrenosum,L88,13
2023-08,Stage II decubitus ulcer,L89.1,14
2023-08,Stage III decubitus ulcer,L89.2,17
2023-08,Stage IV decubitus ulcer,L89.3,140
2023-08,"Decubitus ulcer and pressure area, unspecified",L89.9,895
2023-08,"Granulomatous disorder of skin and subcutaneous tissue, unspecified",L92.9,20
2023-08,Discoid lupus erythematosus,L93.0,185
2023-08,"Ulcer of lower limb, not elsewhere classified",L97,124
2023-08,"Chronic ulcer of skin, not elsewhere classified",L98.4,248
2023-08,Other specified disorders of skin and subcutaneous tissue,L98.8,115
2023-08,"Disorder of skin and subcutaneous tissue, unspecified",L98.9,95
2023-09,"Cutaneous abscess, furuncle and carbuncle of neck",L02.1,12
2023-09,"Cutaneous abscess, furuncle and carbuncle of trunk",L02.2,39
2023-09,"Cutaneous abscess, furuncle and carbuncle of limb",L02.4,25
2023-09,"Cutaneous abscess, furuncle and carbuncle, unspecified",L02.9,67
2023-09,Cellulitis of other parts of limb,L03.1,251
2023-09,Cellulitis of trunk,L03.3,24
2023-09,"Cellulitis, unspecified",L03.9,282
2023-09,"Local infection of skin and subcutaneous tissue, unspecified",L08.9,314
2023-09,Bullous pemphigoid,L12.0,36
2023-09,"Dermatitis, unspecified",L30.9,12
2023-09,Arthropathic psoriasis,L40.5,15
2023-09,"Psoriasis, unspecified",L40.9,27
2023-09,Bullous erythema multiforme,L51.1,11
2023-09,Stage II decubitus ulcer,L89.1,19
2023-09,Stage III decubitus ulcer,L89.2,22
2023-09,Stage IV decubitus ulcer,L89.3,139
2023-09,"Decubitus ulcer and pressure area, unspecified",L89.9,819
2023-09,"Granulomatous disorder of skin and subcutaneous tissue, unspecified",L92.9,14
2023-09,Discoid lupus erythematosus,L93.0,147
2023-09,"Ulcer of lower limb, not elsewhere classified",L97,148
2023-09,"Chronic ulcer of skin, not elsewhere classified",L98.4,253
2023-09,Other specified disorders of skin and subcutaneous tissue,L98.8,102
2023-09,"Disorder of skin and subcutaneous tissue, unspecified",L98.9,92
2023-10,"Cutaneous abscess, furuncle and carbuncle of trunk",L02.2,32
2023-10,"Cutaneous abscess, furuncle and carbuncle of buttock",L02.3,19
2023-10,"Cutaneous abscess, furuncle and carbuncle of limb",L02.4,35
2023-10,"Cutaneous abscess, furuncle and carbuncle of other sites",L02.8,10
2023-10,"Cutaneous abscess, furuncle and carbuncle, unspecified",L02.9,76
2023-10,Cellulitis of other parts of limb,L03.1,275
2023-10,Cellulitis of trunk,L03.3,27
2023-10,"Cellulitis, unspecified",L03.9,291
2023-10,"Local infection of skin and subcutaneous tissue, unspecified",L08.9,306
2023-10,Bullous pemphigoid,L12.0,33
2023-10,Arthropathic psoriasis,L40.5,25
2023-10,"Psoriasis, unspecified",L40.9,33
2023-10,"Erythematous condition, unspecified",L53.9,10
2023-10,Pyoderma gangrenosum,L88,10
2023-10,Stage II decubitus ulcer,L89.1,12
2023-10,Stage III decubitus ulcer,L89.2,31
2023-10,Stage IV decubitus ulcer,L89.3,139
2023-10,"Decubitus ulcer and pressure area, unspecified",L89.9,823
2023-10,Scar conditions and fibrosis of skin,L90.5,13
2023-10,"Granulomatous disorder of skin and subcutaneous tissue, unspecified",L92.9,32
2023-10,Discoid lupus erythematosus,L93.0,180
2023-10,"Ulcer of lower limb, not elsewhere classified",L97,124
2023-10,"Chronic ulcer of skin, not elsewhere classified",L98.4,294
2023-10,Other specified disorders of skin and subcutaneous tissue,L98.8,103
2023-10,"Disorder of skin and subcutaneous tissue, unspecified",L98.9,90
2023-11,"Cutaneous abscess, furuncle and carbuncle of neck",L02.1,12
2023-11,"Cutaneous abscess, furuncle and carbuncle of trunk",L02.2,33
2023-11,"Cutaneous abscess, furuncle and carbuncle of buttock",L02.3,12
2023-11,"Cutaneous abscess, furuncle and carbuncle of limb",L02.4,36
2023-11,"Cutaneous abscess, furuncle and carbuncle, unspecified",L02.9,77
2023-11,Cellulitis of other parts of limb,L03.1,277
2023-11,Cellulitis of trunk,L03.3,22
2023-11,"Cellulitis, unspecified",L03.9,314
2023-11,"Local infection of skin and subcutaneous tissue, unspecified",L08.9,268
2023-11,Bullous pemphigoid,L12.0,30
2023-11,Arthropathic psoriasis,L40.5,23
2023-11,"Psoriasis, unspecified",L40.9,26
2023-11,Bullous erythema multiforme,L51.1,11
2023-11,"Erythematous condition, unspecified",L53.9,10
2023-11,Stage II decubitus ulcer,L89.1,18
2023-11,Stage III decubitus ulcer,L89.2,20
2023-11,Stage IV decubitus ulcer,L89.3,134
2023-11,"Decubitus ulcer and pressure area, unspecified",L89.9,832
2023-11,Scar conditions and fibrosis of skin,L90.5,11
2023-11,"Granulomatous disorder of skin and subcutaneous tissue, unspecified",L92.9,18
2023-11,Discoid lupus erythematosus,L93.0,157
2023-11,"Ulcer of lower limb, not elsewhere classified",L97,140
2023-11,"Chronic ulcer of skin, not elsewhere classified",L98.4,260
2023-11,Other specified disorders of skin and subcutaneous tissue,L98.8,99
2023-11,"Disorder of skin and subcutaneous tissue, unspecified",L98.9,100
2023-12,"Cutaneous abscess, furuncle and carbuncle of trunk",L02.2,35
2023-12,"Cutaneous abscess, furuncle and carbuncle of buttock",L02.3,17
2023-12,"Cutaneous abscess, furuncle and carbuncle of limb",L02.4,38
2023-12,"Cutaneous abscess, furuncle and carbuncle, unspecified",L02.9,70
2023-12,Cellulitis of other parts of limb,L03.1,304
2023-12,Cellulitis of trunk,L03.3,22
2023-12,"Cellulitis, unspecified",L03.9,356
2023-12,"Local infection of skin and subcutaneous tissue, unspecified",L08.9,298
2023-12,Bullous pemphigoid,L12.0,48
2023-12,"Dermatitis, unspecified",L30.9,12
2023-12,Arthropathic psoriasis,L40.5,34
2023-12,"Psoriasis, unspecified",L40.9,41
2023-12,Bullous erythema multiforme,L51.1,12
2023-12,"Erythematous condition, unspecified",L53.9,15
2023-12,Hidradenitis suppurativa,L73.2,10
2023-12,Stage II decubitus ulcer,L89.1,24
2023-12,Stage III decubitus ulcer,L89.2,29
2023-12,Stage IV decubitus ulcer,L89.3,145
2023-12,"Decubitus ulcer and pressure area, unspecified",L89.9,860
2023-12,Scar conditions and fibrosis of skin,L90.5,15
2023-12,"Granulomatous disorder of skin and subcutaneous tissue, unspecified",L92.9,26
2023-12,Discoid lupus erythematosus,L93.0,189
2023-12,"Ulcer of lower limb, not elsewhere classified",L97,136
2023-12,"Chronic ulcer of skin, not elsewhere classified",L98.4,273
2023-12,Other specified disorders of skin and subcutaneous tissue,L98.8,128
2023-12,"Disorder of skin and subcutaneous tissue, unspecified",L98.9,107
2024-01,"Cutaneous abscess, furuncle and carbuncle of trunk",L02.2,41
2024-01,"Cutaneous abscess, furuncle and carbuncle of buttock",L02.3,21
2024-01,"Cutaneous abscess, furuncle and carbuncle of limb",L02.4,35
2024-01,"Cutaneous abscess, furuncle and carbuncle, unspecified",L02.9,79
2024-01,Cellulitis of other parts of limb,L03.1,339
2024-01,Cellulitis of trunk,L03.3,23
2024-01,"Cellulitis, unspecified",L03.9,375
2024-01,"Local infection of skin and subcutaneous tissue, unspecified",L08.9,287
2024-01,Bullous pemphigoid,L12.0,38
2024-01,"Dermatitis, unspecified",L30.9,11
2024-01,Arthropathic psoriasis,L40.5,27
2024-01,"Psoriasis, unspecified",L40.9,39
2024-01,Bullous erythema multiforme,L51.1,17
2024-01,Hidradenitis suppurativa,L73.2,11
2024-01,Pyoderma gangrenosum,L88,12
2024-01,Stage II decubitus ulcer,L89.1,18
2024-01,Stage III decubitus ulcer,L89.2,30
2024-01,Stage IV decubitus ulcer,L89.3,171
2024-01,"Decubitus ulcer and pressure area, unspecified",L89.9,930
2024-01,"Granulomatous disorder of skin and subcutaneous tissue, unspecified",L92.9,28
2024-01,Discoid lupus erythematosus,L93.0,197
2024-01,"Ulcer of lower limb, not elsewhere classified",L97,156
2024-01,"Chronic ulcer of skin, not elsewhere classified",L98.4,289
2024-01,Other specified disorders of skin and subcutaneous tissue,L98.8,95
2024-01,"Disorder of skin and subcutaneous tissue, unspecified",L98.9,118
2024-02,"Cutaneous abscess, furuncle and carbuncle of trunk",L02.2,26
2024-02,"Cutaneous abscess, furuncle and carbuncle of limb",L02.4,36
2024-02,"Cutaneous abscess, furuncle and carbuncle, unspecified",L02.9,70
2024-02,Cellulitis of other parts of limb,L03.1,298
