cause,type,date,dead
X44 drug deaths included,MCD COVID not subtracted,2010-03,6726
X44 drug deaths included,MCD COVID not subtracted,2010-04,6325
X44 drug deaths included,MCD COVID not subtracted,2010-05,6442
X44 drug deaths included,MCD COVID not subtracted,2010-06,6112
X44 drug deaths included,MCD COVID not subtracted,2010-07,6412
X44 drug deaths included,MCD COVID not subtracted,2010-08,6195
X44 drug deaths included,MCD COVID not subtracted,2010-09,6198
X44 drug deaths included,MCD COVID not subtracted,2010-10,6469
X44 drug deaths included,MCD COVID not subtracted,2010-11,6360
X44 drug deaths included,MCD COVID not subtracted,2010-12,6836
X44 drug deaths included,MCD COVID not subtracted,2011-01,6896
X44 drug deaths included,MCD COVID not subtracted,2011-02,6606
X44 drug deaths included,MCD COVID not subtracted,2011-03,7079
X44 drug deaths included,MCD COVID not subtracted,2011-04,6463
X44 drug deaths included,MCD COVID not subtracted,2011-05,6623
X44 drug deaths included,MCD COVID not subtracted,2011-06,6163
X44 drug deaths included,MCD COVID not subtracted,2011-07,6597
X44 drug deaths included,MCD COVID not subtracted,2011-08,6328
X44 drug deaths included,MCD COVID not subtracted,2011-09,6348
X44 drug deaths included,MCD COVID not subtracted,2011-10,6516
X44 drug deaths included,MCD COVID not subtracted,2011-11,6305
X44 drug deaths included,MCD COVID not subtracted,2011-12,6784
X44 drug deaths included,MCD COVID not subtracted,2012-01,6638
X44 drug deaths included,MCD COVID not subtracted,2012-02,6282
X44 drug deaths included,MCD COVID not subtracted,2012-03,6546
X44 drug deaths included,MCD COVID not subtracted,2012-04,6282
X44 drug deaths included,MCD COVID not subtracted,2012-05,6418
X44 drug deaths included,MCD COVID not subtracted,2012-06,6249
X44 drug deaths included,MCD COVID not subtracted,2012-07,6395
X44 drug deaths included,MCD COVID not subtracted,2012-08,6236
X44 drug deaths included,MCD COVID not subtracted,2012-09,6213
X44 drug deaths included,MCD COVID not subtracted,2012-10,6481
X44 drug deaths included,MCD COVID not subtracted,2012-11,6516
X44 drug deaths included,MCD COVID not subtracted,2012-12,7175
X44 drug deaths included,MCD COVID not subtracted,2013-01,7256
X44 drug deaths included,MCD COVID not subtracted,2013-02,6481
X44 drug deaths included,MCD COVID not subtracted,2013-03,6952
X44 drug deaths included,MCD COVID not subtracted,2013-04,6478
X44 drug deaths included,MCD COVID not subtracted,2013-05,6591
X44 drug deaths included,MCD COVID not subtracted,2013-06,6203
X44 drug deaths included,MCD COVID not subtracted,2013-07,6607
X44 drug deaths included,MCD COVID not subtracted,2013-08,6526
X44 drug deaths included,MCD COVID not subtracted,2013-09,6146
X44 drug deaths included,MCD COVID not subtracted,2013-10,6493
X44 drug deaths included,MCD COVID not subtracted,2013-11,6544
X44 drug deaths included,MCD COVID not subtracted,2013-12,7272
X44 drug deaths included,MCD COVID not subtracted,2014-01,7678
X44 drug deaths included,MCD COVID not subtracted,2014-02,6552
X44 drug deaths included,MCD COVID not subtracted,2014-03,6948
X44 drug deaths included,MCD COVID not subtracted,2014-04,6442
X44 drug deaths included,MCD COVID not subtracted,2014-05,6282
X44 drug deaths included,MCD COVID not subtracted,2014-06,6337
X44 drug deaths included,MCD COVID not subtracted,2014-07,6510
X44 drug deaths included,MCD COVID not subtracted,2014-08,6349
X44 drug deaths included,MCD COVID not subtracted,2014-09,6221
X44 drug deaths included,MCD COVID not subtracted,2014-10,6539
X44 drug deaths included,MCD COVID not subtracted,2014-11,6803
X44 drug deaths included,MCD COVID not subtracted,2014-12,7355
X44 drug deaths included,MCD COVID not subtracted,2015-01,7478
X44 drug deaths included,MCD COVID not subtracted,2015-02,6575
X44 drug deaths included,MCD COVID not subtracted,2015-03,7124
X44 drug deaths included,MCD COVID not subtracted,2015-04,6730
X44 drug deaths included,MCD COVID not subtracted,2015-05,6817
X44 drug deaths included,MCD COVID not subtracted,2015-06,6636
X44 drug deaths included,MCD COVID not subtracted,2015-07,6735
X44 drug deaths included,MCD COVID not subtracted,2015-08,6704
X44 drug deaths included,MCD COVID not subtracted,2015-09,6638
X44 drug deaths included,MCD COVID not subtracted,2015-10,6876
X44 drug deaths included,MCD COVID not subtracted,2015-11,6775
X44 drug deaths included,MCD COVID not subtracted,2015-12,7279
X44 drug deaths included,MCD COVID not subtracted,2016-01,7077
X44 drug deaths included,MCD COVID not subtracted,2016-02,6944
X44 drug deaths included,MCD COVID not subtracted,2016-03,7524
X44 drug deaths included,MCD COVID not subtracted,2016-04,6951
X44 drug deaths included,MCD COVID not subtracted,2016-05,6828
X44 drug deaths included,MCD COVID not subtracted,2016-06,6902
X44 drug deaths included,MCD COVID not subtracted,2016-07,7154
X44 drug deaths included,MCD COVID not subtracted,2016-08,7103
X44 drug deaths included,MCD COVID not subtracted,2016-09,6819
X44 drug deaths included,MCD COVID not subtracted,2016-10,7398
X44 drug deaths included,MCD COVID not subtracted,2016-11,7151
X44 drug deaths included,MCD COVID not subtracted,2016-12,8004
X44 drug deaths included,MCD COVID not subtracted,2017-01,7736
X44 drug deaths included,MCD COVID not subtracted,2017-02,6974
X44 drug deaths included,MCD COVID not subtracted,2017-03,7606
X44 drug deaths included,MCD COVID not subtracted,2017-04,7184
X44 drug deaths included,MCD COVID not subtracted,2017-05,7338
X44 drug deaths included,MCD COVID not subtracted,2017-06,7024
X44 drug deaths included,MCD COVID not subtracted,2017-07,7128
X44 drug deaths included,MCD COVID not subtracted,2017-08,7109
X44 drug deaths included,MCD COVID not subtracted,2017-09,7164
X44 drug deaths included,MCD COVID not subtracted,2017-10,7158
X44 drug deaths included,MCD COVID not subtracted,2017-11,7142
X44 drug deaths included,MCD COVID not subtracted,2017-12,8085
X44 drug deaths not included,MCD COVID not subtracted,1999-01,5967
X44 drug deaths not included,MCD COVID not subtracted,1999-02,5382
X44 drug deaths not included,MCD COVID not subtracted,1999-03,5862
X44 drug deaths not included,MCD COVID not subtracted,1999-04,5366
X44 drug deaths not included,MCD COVID not subtracted,1999-05,5545
X44 drug deaths not included,MCD COVID not subtracted,1999-06,5444
X44 drug deaths not included,MCD COVID not subtracted,1999-07,5671
X44 drug deaths not included,MCD COVID not subtracted,1999-08,5471
X44 drug deaths not included,MCD COVID not subtracted,1999-09,5265
X44 drug deaths not included,MCD COVID not subtracted,1999-10,5493
X44 drug deaths not included,MCD COVID not subtracted,1999-11,5372
X44 drug deaths not included,MCD COVID not subtracted,1999-12,6088
X44 drug deaths not included,MCD COVID not subtracted,2000-01,6070
X44 drug deaths not included,MCD COVID not subtracted,2000-02,5446
X44 drug deaths not included,MCD COVID not subtracted,2000-03,5369
X44 drug deaths not included,MCD COVID not subtracted,2000-04,5102
X44 drug deaths not included,MCD COVID not subtracted,2000-05,5380
X44 drug deaths not included,MCD COVID not subtracted,2000-06,5282
X44 drug deaths not included,MCD COVID not subtracted,2000-07,5598
X44 drug deaths not included,MCD COVID not subtracted,2000-08,5602
X44 drug deaths not included,MCD COVID not subtracted,2000-09,5566
X44 drug deaths not included,MCD COVID not subtracted,2000-10,5765
X44 drug deaths not included,MCD COVID not subtracted,2000-11,5806
X44 drug deaths not included,MCD COVID not subtracted,2000-12,6232
X44 drug deaths not included,MCD COVID not subtracted,2001-01,6284
X44 drug deaths not included,MCD COVID not subtracted,2001-02,5686
X44 drug deaths not included,MCD COVID not subtracted,2001-03,6101
X44 drug deaths not included,MCD COVID not subtracted,2001-04,5601
X44 drug deaths not included,MCD COVID not subtracted,2001-05,5699
X44 drug deaths not included,MCD COVID not subtracted,2001-06,5426
X44 drug deaths not included,MCD COVID not subtracted,2001-07,5416
X44 drug deaths not included,MCD COVID not subtracted,2001-08,5508
X44 drug deaths not included,MCD COVID not subtracted,2001-09,5369
X44 drug deaths not included,MCD COVID not subtracted,2001-10,5819
X44 drug deaths not included,MCD COVID not subtracted,2001-11,5680
X44 drug deaths not included,MCD COVID not subtracted,2001-12,6138
X44 drug deaths not included,MCD COVID not subtracted,2002-01,5982
X44 drug deaths not included,MCD COVID not subtracted,2002-02,5474
X44 drug deaths not included,MCD COVID not subtracted,2002-03,5875
X44 drug deaths not included,MCD COVID not subtracted,2002-04,5385
X44 drug deaths not included,MCD COVID not subtracted,2002-05,5619
X44 drug deaths not included,MCD COVID not subtracted,2002-06,5284
X44 drug deaths not included,MCD COVID not subtracted,2002-07,5745
X44 drug deaths not included,MCD COVID not subtracted,2002-08,5492
X44 drug deaths not included,MCD COVID not subtracted,2002-09,5367
X44 drug deaths not included,MCD COVID not subtracted,2002-10,5563
X44 drug deaths not included,MCD COVID not subtracted,2002-11,5747
X44 drug deaths not included,MCD COVID not subtracted,2002-12,6338
X44 drug deaths not included,MCD COVID not subtracted,2003-01,5740
X44 drug deaths not included,MCD COVID not subtracted,2003-02,5268
X44 drug deaths not included,MCD COVID not subtracted,2003-03,5703
X44 drug deaths not included,MCD COVID not subtracted,2003-04,5482
X44 drug deaths not included,MCD COVID not subtracted,2003-05,5487
X44 drug deaths not included,MCD COVID not subtracted,2003-06,5400
X44 drug deaths not included,MCD COVID not subtracted,2003-07,5607
X44 drug deaths not included,MCD COVID not subtracted,2003-08,5604
X44 drug deaths not included,MCD COVID not subtracted,2003-09,5397
X44 drug deaths not included,MCD COVID not subtracted,2003-10,5592
X44 drug deaths not included,MCD COVID not subtracted,2003-11,5849
X44 drug deaths not included,MCD COVID not subtracted,2003-12,6591
X44 drug deaths not included,MCD COVID not subtracted,2004-01,6271
X44 drug deaths not included,MCD COVID not subtracted,2004-02,5616
X44 drug deaths not included,MCD COVID not subtracted,2004-03,5753
X44 drug deaths not included,MCD COVID not subtracted,2004-04,5438
X44 drug deaths not included,MCD COVID not subtracted,2004-05,5455
X44 drug deaths not included,MCD COVID not subtracted,2004-06,5242
X44 drug deaths not included,MCD COVID not subtracted,2004-07,5664
X44 drug deaths not included,MCD COVID not subtracted,2004-08,5549
X44 drug deaths not included,MCD COVID not subtracted,2004-09,5191
X44 drug deaths not included,MCD COVID not subtracted,2004-10,5711
X44 drug deaths not included,MCD COVID not subtracted,2004-11,5587
X44 drug deaths not included,MCD COVID not subtracted,2004-12,6185
X44 drug deaths not included,MCD COVID not subtracted,2005-01,6112
X44 drug deaths not included,MCD COVID not subtracted,2005-02,5594
X44 drug deaths not included,MCD COVID not subtracted,2005-03,6167
X44 drug deaths not included,MCD COVID not subtracted,2005-04,5678
X44 drug deaths not included,MCD COVID not subtracted,2005-05,5720
X44 drug deaths not included,MCD COVID not subtracted,2005-06,5554
X44 drug deaths not included,MCD COVID not subtracted,2005-07,6041
X44 drug deaths not included,MCD COVID not subtracted,2005-08,5746
X44 drug deaths not included,MCD COVID not subtracted,2005-09,5330
X44 drug deaths not included,MCD COVID not subtracted,2005-10,5899
X44 drug deaths not included,MCD COVID not subtracted,2005-11,5813
X44 drug deaths not included,MCD COVID not subtracted,2005-12,6420
X44 drug deaths not included,MCD COVID not subtracted,2006-01,6097
X44 drug deaths not included,MCD COVID not subtracted,2006-02,5579
X44 drug deaths not included,MCD COVID not subtracted,2006-03,5888
X44 drug deaths not included,MCD COVID not subtracted,2006-04,5633
X44 drug deaths not included,MCD COVID not subtracted,2006-05,5524
X44 drug deaths not included,MCD COVID not subtracted,2006-06,5661
X44 drug deaths not included,MCD COVID not subtracted,2006-07,5830
X44 drug deaths not included,MCD COVID not subtracted,2006-08,5692
X44 drug deaths not included,MCD COVID not subtracted,2006-09,5278
X44 drug deaths not included,MCD COVID not subtracted,2006-10,5570
X44 drug deaths not included,MCD COVID not subtracted,2006-11,5654
X44 drug deaths not included,MCD COVID not subtracted,2006-12,6101
X44 drug deaths not included,MCD COVID not subtracted,2007-01,5876
X44 drug deaths not included,MCD COVID not subtracted,2007-02,5499
X44 drug deaths not included,MCD COVID not subtracted,2007-03,5771
X44 drug deaths not included,MCD COVID not subtracted,2007-04,5629
X44 drug deaths not included,MCD COVID not subtracted,2007-05,5510
X44 drug deaths not included,MCD COVID not subtracted,2007-06,5353
X44 drug deaths not included,MCD COVID not subtracted,2007-07,5416
X44 drug deaths not included,MCD COVID not subtracted,2007-08,5517
X44 drug deaths not included,MCD COVID not subtracted,2007-09,5320
X44 drug deaths not included,MCD COVID not subtracted,2007-10,5552
X44 drug deaths not included,MCD COVID not subtracted,2007-11,5518
X44 drug deaths not included,MCD COVID not subtracted,2007-12,5924
X44 drug deaths not included,MCD COVID not subtracted,2008-01,6004
X44 drug deaths not included,MCD COVID not subtracted,2008-02,5909
X44 drug deaths not included,MCD COVID not subtracted,2008-03,6051
X44 drug deaths not included,MCD COVID not subtracted,2008-04,5616
X44 drug deaths not included,MCD COVID not subtracted,2008-05,5520
X44 drug deaths not included,MCD COVID not subtracted,2008-06,5428
X44 drug deaths not included,MCD COVID not subtracted,2008-07,5537
X44 drug deaths not included,MCD COVID not subtracted,2008-08,5424
X44 drug deaths not included,MCD COVID not subtracted,2008-09,5245
X44 drug deaths not included,MCD COVID not subtracted,2008-10,5536
X44 drug deaths not included,MCD COVID not subtracted,2008-11,5645
X44 drug deaths not included,MCD COVID not subtracted,2008-12,6170
X44 drug deaths not included,MCD COVID not subtracted,2009-01,6475
X44 drug deaths not included,MCD COVID not subtracted,2009-02,5781
X44 drug deaths not included,MCD COVID not subtracted,2009-03,6048
X44 drug deaths not included,MCD COVID not subtracted,2009-04,5812
X44 drug deaths not included,MCD COVID not subtracted,2009-05,5673
X44 drug deaths not included,MCD COVID not subtracted,2009-06,5614
X44 drug deaths not included,MCD COVID not subtracted,2009-07,5773
X44 drug deaths not included,MCD COVID not subtracted,2009-08,5470
X44 drug deaths not included,MCD COVID not subtracted,2009-09,5273
X44 drug deaths not included,MCD COVID not subtracted,2009-10,5960
X44 drug deaths not included,MCD COVID not subtracted,2009-11,5840
X44 drug deaths not included,MCD COVID not subtracted,2009-12,5953
X44 drug deaths not included,MCD COVID not subtracted,2010-01,5977
X44 drug deaths not included,MCD COVID not subtracted,2010-02,5145
X44 drug deaths not included,MCD COVID not subtracted,2010-03,5612
X44 drug deaths not included,MCD COVID not subtracted,2010-04,5298
X44 drug deaths not included,MCD COVID not subtracted,2010-05,5386
X44 drug deaths not included,MCD COVID not subtracted,2010-06,5158
X44 drug deaths not included,MCD COVID not subtracted,2010-07,5443
X44 drug deaths not included,MCD COVID not subtracted,2010-08,5231
X44 drug deaths not included,MCD COVID not subtracted,2010-09,5216
X44 drug deaths not included,MCD COVID not subtracted,2010-10,5420
X44 drug deaths not included,MCD COVID not subtracted,2010-11,5361
X44 drug deaths not included,MCD COVID not subtracted,2010-12,5719
X44 drug deaths not included,MCD COVID not subtracted,2011-01,5723
X44 drug deaths not included,MCD COVID not subtracted,2011-02,5398
X44 drug deaths not included,MCD COVID not subtracted,2011-03,5841
X44 drug deaths not included,MCD COVID not subtracted,2011-04,5268
X44 drug deaths not included,MCD COVID not subtracted,2011-05,5416
X44 drug deaths not included,MCD COVID not subtracted,2011-06,5098
X44 drug deaths not included,MCD COVID not subtracted,2011-07,5440
X44 drug deaths not included,MCD COVID not subtracted,2011-08,5233
X44 drug deaths not included,MCD COVID not subtracted,2011-09,5212
X44 drug deaths not included,MCD COVID not subtracted,2011-10,5343
X44 drug deaths not included,MCD COVID not subtracted,2011-11,5151
X44 drug deaths not included,MCD COVID not subtracted,2011-12,5614
X44 drug deaths not included,MCD COVID not subtracted,2012-01,5512
X44 drug deaths not included,MCD COVID not subtracted,2012-02,5149
X44 drug deaths not included,MCD COVID not subtracted,2012-03,5389
X44 drug deaths not included,MCD COVID not subtracted,2012-04,5259
X44 drug deaths not included,MCD COVID not subtracted,2012-05,5385
X44 drug deaths not included,MCD COVID not subtracted,2012-06,5147
X44 drug deaths not included,MCD COVID not subtracted,2012-07,5333
X44 drug deaths not included,MCD COVID not subtracted,2012-08,5158
X44 drug deaths not included,MCD COVID not subtracted,2012-09,5178
X44 drug deaths not included,MCD COVID not subtracted,2012-10,5400
X44 drug deaths not included,MCD COVID not subtracted,2012-11,5522
X44 drug deaths not included,MCD COVID not subtracted,2012-12,6089
X44 drug deaths not included,MCD COVID not subtracted,2013-01,6115
X44 drug deaths not included,MCD COVID not subtracted,2013-02,5414
X44 drug deaths not included,MCD COVID not subtracted,2013-03,5779
X44 drug deaths not included,MCD COVID not subtracted,2013-04,5360
X44 drug deaths not included,MCD COVID not subtracted,2013-05,5465
X44 drug deaths not included,MCD COVID not subtracted,2013-06,5162
X44 drug deaths not included,MCD COVID not subtracted,2013-07,5576
X44 drug deaths not included,MCD COVID not subtracted,2013-08,5428
X44 drug deaths not included,MCD COVID not subtracted,2013-09,5077
X44 drug deaths not included,MCD COVID not subtracted,2013-10,5486
X44 drug deaths not included,MCD COVID not subtracted,2013-11,5480
X44 drug deaths not included,MCD COVID not subtracted,2013-12,6186
X44 drug deaths not included,MCD COVID not subtracted,2014-01,6536
X44 drug deaths not included,MCD COVID not subtracted,2014-02,5301
X44 drug deaths not included,MCD COVID not subtracted,2014-03,5717
X44 drug deaths not included,MCD COVID not subtracted,2014-04,5266
X44 drug deaths not included,MCD COVID not subtracted,2014-05,5139
X44 drug deaths not included,MCD COVID not subtracted,2014-06,5251
X44 drug deaths not included,MCD COVID not subtracted,2014-07,5371
X44 drug deaths not included,MCD COVID not subtracted,2014-08,5222
X44 drug deaths not included,MCD COVID not subtracted,2014-09,5119
X44 drug deaths not included,MCD COVID not subtracted,2014-10,5344
X44 drug deaths not included,MCD COVID not subtracted,2014-11,5633
X44 drug deaths not included,MCD COVID not subtracted,2014-12,6145
X44 drug deaths not included,MCD COVID not subtracted,2015-01,6245
X44 drug deaths not included,MCD COVID not subtracted,2015-02,5359
X44 drug deaths not included,MCD COVID not subtracted,2015-03,5797
X44 drug deaths not included,MCD COVID not subtracted,2015-04,5433
X44 drug deaths not included,MCD COVID not subtracted,2015-05,5544
X44 drug deaths not included,MCD COVID not subtracted,2015-06,5400
X44 drug deaths not included,MCD COVID not subtracted,2015-07,5483
X44 drug deaths not included,MCD COVID not subtracted,2015-08,5344
X44 drug deaths not included,MCD COVID not subtracted,2015-09,5364
X44 drug deaths not included,MCD COVID not subtracted,2015-10,5529
X44 drug deaths not included,MCD COVID not subtracted,2015-11,5507
X44 drug deaths not included,MCD COVID not subtracted,2015-12,6007
X44 drug deaths not included,MCD COVID not subtracted,2016-01,5736
X44 drug deaths not included,MCD COVID not subtracted,2016-02,5472
X44 drug deaths not included,MCD COVID not subtracted,2016-03,5932
X44 drug deaths not included,MCD COVID not subtracted,2016-04,5457
X44 drug deaths not included,MCD COVID not subtracted,2016-05,5392
X44 drug deaths not included,MCD COVID not subtracted,2016-06,5422
X44 drug deaths not included,MCD COVID not subtracted,2016-07,5579
X44 drug deaths not included,MCD COVID not subtracted,2016-08,5546
X44 drug deaths not included,MCD COVID not subtracted,2016-09,5346
X44 drug deaths not included,MCD COVID not subtracted,2016-10,5802
X44 drug deaths not included,MCD COVID not subtracted,2016-11,5635
X44 drug deaths not included,MCD COVID not subtracted,2016-12,6298
X44 drug deaths not included,MCD COVID not subtracted,2017-01,5938
X44 drug deaths not included,MCD COVID not subtracted,2017-02,5289
X44 drug deaths not included,MCD COVID not subtracted,2017-03,5751
X44 drug deaths not included,MCD COVID not subtracted,2017-04,5437
X44 drug deaths not included,MCD COVID not subtracted,2017-05,5606
X44 drug deaths not included,MCD COVID not subtracted,2017-06,5404
X44 drug deaths not included,MCD COVID not subtracted,2017-07,5510
X44 drug deaths not included,MCD COVID not subtracted,2017-08,5459
X44 drug deaths not included,MCD COVID not subtracted,2017-09,5530
X44 drug deaths not included,MCD COVID not subtracted,2017-10,5618
X44 drug deaths not included,MCD COVID not subtracted,2017-11,5536
X44 drug deaths not included,MCD COVID not subtracted,2017-12,6353
