cause,year,dead
Newborn affected by premature rupture of membranes (P01.1),2019,855
Newborn affected by premature rupture of membranes (P01.1),2020,803
Newborn affected by premature rupture of membranes (P01.1),2021,765
Newborn affected by premature rupture of membranes (P01.1),2022,832
Newborn affected by premature rupture of membranes (P01.1),2023,800
Newborn affected by premature rupture of membranes (P01.1),2024,849
Newborn affected by premature rupture of membranes (P01.1),2025,453
Newborn affected by multiple pregnancy (P01.5),2018,206
Newborn affected by multiple pregnancy (P01.5),2019,183
Newborn affected by multiple pregnancy (P01.5),2020,157
Newborn affected by multiple pregnancy (P01.5),2021,156
Newborn affected by multiple pregnancy (P01.5),2022,173
Newborn affected by multiple pregnancy (P01.5),2023,143
Newborn affected by multiple pregnancy (P01.5),2024,163
Newborn affected by multiple pregnancy (P01.5),2025,87
"Newborn affected by other maternal complications of pregnancy (P01.2-P01.4,P01.6-P01.9)",2018,326
"Newborn affected by other maternal complications of pregnancy (P01.2-P01.4,P01.6-P01.9)",2019,325
"Newborn affected by other maternal complications of pregnancy (P01.2-P01.4,P01.6-P01.9)",2020,301
"Newborn affected by other maternal complications of pregnancy (P01.2-P01.4,P01.6-P01.9)",2021,293
"Newborn affected by other maternal complications of pregnancy (P01.2-P01.4,P01.6-P01.9)",2022,371
"Newborn affected by other maternal complications of pregnancy (P01.2-P01.4,P01.6-P01.9)",2023,354
"Newborn affected by other maternal complications of pregnancy (P01.2-P01.4,P01.6-P01.9)",2024,348
"Newborn affected by other maternal complications of pregnancy (P01.2-P01.4,P01.6-P01.9)",2025,181
"Newborn affected by complications of placenta, cord and membranes (P02)",2018,1047
"Newborn affected by complications of placenta, cord and membranes (P02)",2019,1071
"Newborn affected by complications of placenta, cord and membranes (P02)",2020,1000
"Newborn affected by complications of placenta, cord and membranes (P02)",2021,975
"Newborn affected by complications of placenta, cord and membranes (P02)",2022,976
"Newborn affected by complications of placenta, cord and membranes (P02)",2023,878
"Newborn affected by complications of placenta, cord and membranes (P02)",2024,917
"Newborn affected by complications of placenta, cord and membranes (P02)",2025,517
Newborn affected by complications involving placenta (P02.0-P02.3),2018,588
Newborn affected by complications involving placenta (P02.0-P02.3),2019,588
Newborn affected by complications involving placenta (P02.0-P02.3),2020,589
Newborn affected by complications involving placenta (P02.0-P02.3),2021,587
Newborn affected by complications involving placenta (P02.0-P02.3),2022,582
Newborn affected by complications involving placenta (P02.0-P02.3),2023,513
Newborn affected by complications involving placenta (P02.0-P02.3),2024,555
Newborn affected by complications involving placenta (P02.0-P02.3),2025,290
Newborn affected by complications involving cord (P02.4-P02.6),2018,81
Newborn affected by complications involving cord (P02.4-P02.6),2019,64
Newborn affected by complications involving cord (P02.4-P02.6),2020,60
Newborn affected by complications involving cord (P02.4-P02.6),2021,66
Newborn affected by complications involving cord (P02.4-P02.6),2022,79
Newborn affected by complications involving cord (P02.4-P02.6),2023,81
Newborn affected by complications involving cord (P02.4-P02.6),2024,76
Newborn affected by complications involving cord (P02.4-P02.6),2025,57
Newborn affected by chorioamnionitis (P02.7),2018,407
Newborn affected by chorioamnionitis (P02.7),2019,451
Newborn affected by chorioamnionitis (P02.7),2020,390
Newborn affected by chorioamnionitis (P02.7),2021,354
Newborn affected by chorioamnionitis (P02.7),2022,354
Newborn affected by chorioamnionitis (P02.7),2023,321
Newborn affected by chorioamnionitis (P02.7),2024,322
Newborn affected by chorioamnionitis (P02.7),2025,182
Newborn affected by other complications of labor and delivery (P03),2018,160
Newborn affected by other complications of labor and delivery (P03),2019,146
Newborn affected by other complications of labor and delivery (P03),2020,177
Newborn affected by other complications of labor and delivery (P03),2021,161
Newborn affected by other complications of labor and delivery (P03),2022,298
Newborn affected by other complications of labor and delivery (P03),2023,238
Newborn affected by other complications of labor and delivery (P03),2024,289
Newborn affected by other complications of labor and delivery (P03),2025,154
Newborn affected by noxious influences transmitted via placenta or breast milk (P04),2018,169
Newborn affected by noxious influences transmitted via placenta or breast milk (P04),2019,131
Newborn affected by noxious influences transmitted via placenta or breast milk (P04),2020,140
Newborn affected by noxious influences transmitted via placenta or breast milk (P04),2021,158
Newborn affected by noxious influences transmitted via placenta or breast milk (P04),2022,102
Newborn affected by noxious influences transmitted via placenta or breast milk (P04),2023,78
Newborn affected by noxious influences transmitted via placenta or breast milk (P04),2024,96
Newborn affected by noxious influences transmitted via placenta or breast milk (P04),2025,28
Disorders related to length of gestation and fetal malnutrition (P05-P08),2018,4996
Disorders related to length of gestation and fetal malnutrition (P05-P08),2019,4746
Disorders related to length of gestation and fetal malnutrition (P05-P08),2020,4268
Disorders related to length of gestation and fetal malnutrition (P05-P08),2021,4200
Disorders related to length of gestation and fetal malnutrition (P05-P08),2022,3971
Disorders related to length of gestation and fetal malnutrition (P05-P08),2023,3998
Disorders related to length of gestation and fetal malnutrition (P05-P08),2024,4075
Disorders related to length of gestation and fetal malnutrition (P05-P08),2025,2114
Slow fetal growth and fetal malnutrition (P05),2018,319
Slow fetal growth and fetal malnutrition (P05),2019,295
Slow fetal growth and fetal malnutrition (P05),2020,268
Slow fetal growth and fetal malnutrition (P05),2021,314
Slow fetal growth and fetal malnutrition (P05),2022,308
Slow fetal growth and fetal malnutrition (P05),2023,276
Slow fetal growth and fetal malnutrition (P05),2024,295
Slow fetal growth and fetal malnutrition (P05),2025,158
"Disorders related to short gestation and low birth weight, not elsewhere classified (P07)",2018,4676
"Disorders related to short gestation and low birth weight, not elsewhere classified (P07)",2019,4451
"Disorders related to short gestation and low birth weight, not elsewhere classified (P07)",2020,4000
"Disorders related to short gestation and low birth weight, not elsewhere classified (P07)",2021,3885
"Disorders related to short gestation and low birth weight, not elsewhere classified (P07)",2022,3662
"Disorders related to short gestation and low birth weight, not elsewhere classified (P07)",2023,3722
"Disorders related to short gestation and low birth weight, not elsewhere classified (P07)",2024,3779
"Disorders related to short gestation and low birth weight, not elsewhere classified (P07)",2025,1955
"Extremely low birth weight or extreme immaturity (P07.0,P07.2)",2018,3366
"Extremely low birth weight or extreme immaturity (P07.0,P07.2)",2019,3175
"Extremely low birth weight or extreme immaturity (P07.0,P07.2)",2020,2825
"Extremely low birth weight or extreme immaturity (P07.0,P07.2)",2021,2710
"Extremely low birth weight or extreme immaturity (P07.0,P07.2)",2022,2571
"Extremely low birth weight or extreme immaturity (P07.0,P07.2)",2023,2563
"Extremely low birth weight or extreme immaturity (P07.0,P07.2)",2024,2591
"Extremely low birth weight or extreme immaturity (P07.0,P07.2)",2025,1402
"Other low birth weight or preterm (P07.1,P07.3)",2018,1317
"Other low birth weight or preterm (P07.1,P07.3)",2019,1294
"Other low birth weight or preterm (P07.1,P07.3)",2020,1192
"Other low birth weight or preterm (P07.1,P07.3)",2021,1183
"Other low birth weight or preterm (P07.1,P07.3)",2022,1105
"Other low birth weight or preterm (P07.1,P07.3)",2023,1176
"Other low birth weight or preterm (P07.1,P07.3)",2024,1209
"Other low birth weight or preterm (P07.1,P07.3)",2025,555
Birth trauma (P10-P15),2018,20
Birth trauma (P10-P15),2019,24
Birth trauma (P10-P15),2020,18
Birth trauma (P10-P15),2021,21
Birth trauma (P10-P15),2022,38
Birth trauma (P10-P15),2023,36
Birth trauma (P10-P15),2024,44
Birth trauma (P10-P15),2025,16
Intrauterine hypoxia and birth asphyxia (P20-P21),2018,981
Intrauterine hypoxia and birth asphyxia (P20-P21),2019,1102
Intrauterine hypoxia and birth asphyxia (P20-P21),2020,976
Intrauterine hypoxia and birth asphyxia (P20-P21),2021,1120
Intrauterine hypoxia and birth asphyxia (P20-P21),2022,1219
Intrauterine hypoxia and birth asphyxia (P20-P21),2023,1174
Intrauterine hypoxia and birth asphyxia (P20-P21),2024,1182
Intrauterine hypoxia and birth asphyxia (P20-P21),2025,714
Intrauterine hypoxia (P20),2018,647
Intrauterine hypoxia (P20),2019,747
Intrauterine hypoxia (P20),2020,642
Intrauterine hypoxia (P20),2021,738
Intrauterine hypoxia (P20),2022,845
Intrauterine hypoxia (P20),2023,794
Intrauterine hypoxia (P20),2024,811
Intrauterine hypoxia (P20),2025,477
Birth asphyxia (P21),2018,391
Birth asphyxia (P21),2019,416
Birth asphyxia (P21),2020,376
Birth asphyxia (P21),2021,460
Birth asphyxia (P21),2022,454
Birth asphyxia (P21),2023,456
Birth asphyxia (P21),2024,448
Birth asphyxia (P21),2025,285
Respiratory distress of newborn (P22),2018,787
Respiratory distress of newborn (P22),2019,789
Respiratory distress of newborn (P22),2020,748
Respiratory distress of newborn (P22),2021,791
Respiratory distress of newborn (P22),2022,861
Respiratory distress of newborn (P22),2023,850
Respiratory distress of newborn (P22),2024,841
Respiratory distress of newborn (P22),2025,478
Other respiratory conditions originating in the perinatal period (P23-P28),2018,3512
Other respiratory conditions originating in the perinatal period (P23-P28),2019,3365
Other respiratory conditions originating in the perinatal period (P23-P28),2020,3264
Other respiratory conditions originating in the perinatal period (P23-P28),2021,3383
Other respiratory conditions originating in the perinatal period (P23-P28),2022,3807
Other respiratory conditions originating in the perinatal period (P23-P28),2023,3809
Other respiratory conditions originating in the perinatal period (P23-P28),2024,3892
Other respiratory conditions originating in the perinatal period (P23-P28),2025,2162
Congenital pneumonia (P23),2018,98
Congenital pneumonia (P23),2019,113
Congenital pneumonia (P23),2020,86
Congenital pneumonia (P23),2021,88
Congenital pneumonia (P23),2022,116
Congenital pneumonia (P23),2023,110
Congenital pneumonia (P23),2024,112
Congenital pneumonia (P23),2025,51
Neonatal aspiration syndromes (P24),2018,85
Neonatal aspiration syndromes (P24),2019,77
Neonatal aspiration syndromes (P24),2020,81
Neonatal aspiration syndromes (P24),2021,75
Neonatal aspiration syndromes (P24),2022,99
Neonatal aspiration syndromes (P24),2023,114
Neonatal aspiration syndromes (P24),2024,97
Neonatal aspiration syndromes (P24),2025,45
Interstitial emphysema and related conditions originating in the perinatal period (P25),2018,236
Interstitial emphysema and related conditions originating in the perinatal period (P25),2019,263
Interstitial emphysema and related conditions originating in the perinatal period (P25),2020,247
Interstitial emphysema and related conditions originating in the perinatal period (P25),2021,248
Interstitial emphysema and related conditions originating in the perinatal period (P25),2022,248
Interstitial emphysema and related conditions originating in the perinatal period (P25),2023,269
Interstitial emphysema and related conditions originating in the perinatal period (P25),2024,250
Interstitial emphysema and related conditions originating in the perinatal period (P25),2025,151
Pulmonary hemorrhage originating in the perinatal period (P26),2018,398
Pulmonary hemorrhage originating in the perinatal period (P26),2019,373
Pulmonary hemorrhage originating in the perinatal period (P26),2020,364
Pulmonary hemorrhage originating in the perinatal period (P26),2021,388
Pulmonary hemorrhage originating in the perinatal period (P26),2022,393
Pulmonary hemorrhage originating in the perinatal period (P26),2023,477
Pulmonary hemorrhage originating in the perinatal period (P26),2024,427
Pulmonary hemorrhage originating in the perinatal period (P26),2025,206
Chronic respiratory disease originating in the perinatal period (P27),2018,213
Chronic respiratory disease originating in the perinatal period (P27),2019,228
Chronic respiratory disease originating in the perinatal period (P27),2020,186
Chronic respiratory disease originating in the perinatal period (P27),2021,185
Chronic respiratory disease originating in the perinatal period (P27),2022,240
Chronic respiratory disease originating in the perinatal period (P27),2023,197
Chronic respiratory disease originating in the perinatal period (P27),2024,210
Chronic respiratory disease originating in the perinatal period (P27),2025,130
Atelectasis (P28.0-P28.1),2018,443
Atelectasis (P28.0-P28.1),2019,476
Atelectasis (P28.0-P28.1),2020,466
Atelectasis (P28.0-P28.1),2021,463
Atelectasis (P28.0-P28.1),2022,796
Atelectasis (P28.0-P28.1),2023,814
Atelectasis (P28.0-P28.1),2024,836
Atelectasis (P28.0-P28.1),2025,442
All other respiratory conditions originating in the perinatal period (P28.2-P28.9),2018,2416
All other respiratory conditions originating in the perinatal period (P28.2-P28.9),2019,2239
All other respiratory conditions originating in the perinatal period (P28.2-P28.9),2020,2218
All other respiratory conditions originating in the perinatal period (P28.2-P28.9),2021,2348
All other respiratory conditions originating in the perinatal period (P28.2-P28.9),2022,2418
All other respiratory conditions originating in the perinatal period (P28.2-P28.9),2023,2417
All other respiratory conditions originating in the perinatal period (P28.2-P28.9),2024,2547
All other respiratory conditions originating in the perinatal period (P28.2-P28.9),2025,1423
Infections specific to the perinatal period (P35-P39),2018,1261
Infections specific to the perinatal period (P35-P39),2019,1307
Infections specific to the perinatal period (P35-P39),2020,1173
Infections specific to the perinatal period (P35-P39),2021,1213
Infections specific to the perinatal period (P35-P39),2022,1428
Infections specific to the perinatal period (P35-P39),2023,1380
Infections specific to the perinatal period (P35-P39),2024,1305
Infections specific to the perinatal period (P35-P39),2025,724
Bacterial sepsis of newborn (P36),2018,1082
Bacterial sepsis of newborn (P36),2019,1121
Bacterial sepsis of newborn (P36),2020,995
Bacterial sepsis of newborn (P36),2021,1028
Bacterial sepsis of newborn (P36),2022,1242
Bacterial sepsis of newborn (P36),2023,1155
Bacterial sepsis of newborn (P36),2024,1099
Bacterial sepsis of newborn (P36),2025,605
"All other infections specific to the perinatal period (P35,P37,P39)",2018,207
"All other infections specific to the perinatal period (P35,P37,P39)",2019,231
"All other infections specific to the perinatal period (P35,P37,P39)",2020,217
"All other infections specific to the perinatal period (P35,P37,P39)",2021,230
"All other infections specific to the perinatal period (P35,P37,P39)",2022,253
"All other infections specific to the perinatal period (P35,P37,P39)",2023,285
"All other infections specific to the perinatal period (P35,P37,P39)",2024,261
"All other infections specific to the perinatal period (P35,P37,P39)",2025,153
Hemorrhagic and hematological disorders of newborn (P50-P61),2018,1122
Hemorrhagic and hematological disorders of newborn (P50-P61),2019,1080
Hemorrhagic and hematological disorders of newborn (P50-P61),2020,1031
Hemorrhagic and hematological disorders of newborn (P50-P61),2021,1094
Hemorrhagic and hematological disorders of newborn (P50-P61),2022,1201
Hemorrhagic and hematological disorders of newborn (P50-P61),2023,1148
Hemorrhagic and hematological disorders of newborn (P50-P61),2024,1199
Hemorrhagic and hematological disorders of newborn (P50-P61),2025,668
"Neonatal hemorrhage (P50-P52,P54)",2018,845
"Neonatal hemorrhage (P50-P52,P54)",2019,788
"Neonatal hemorrhage (P50-P52,P54)",2020,743
"Neonatal hemorrhage (P50-P52,P54)",2021,808
"Neonatal hemorrhage (P50-P52,P54)",2022,868
"Neonatal hemorrhage (P50-P52,P54)",2023,813
"Neonatal hemorrhage (P50-P52,P54)",2024,858
"Neonatal hemorrhage (P50-P52,P54)",2025,458
Hemolytic disease of newborn due to isoimmunization and other perinatal jaundice (P55-P59),2018,29
Hemolytic disease of newborn due to isoimmunization and other perinatal jaundice (P55-P59),2019,38
Hemolytic disease of newborn due to isoimmunization and other perinatal jaundice (P55-P59),2020,18
Hemolytic disease of newborn due to isoimmunization and other perinatal jaundice (P55-P59),2021,29
Hemolytic disease of newborn due to isoimmunization and other perinatal jaundice (P55-P59),2022,32
Hemolytic disease of newborn due to isoimmunization and other perinatal jaundice (P55-P59),2023,34
Hemolytic disease of newborn due to isoimmunization and other perinatal jaundice (P55-P59),2024,31
Hemolytic disease of newborn due to isoimmunization and other perinatal jaundice (P55-P59),2025,17
Hematological disorders (P60-P61),2018,363
Hematological disorders (P60-P61),2019,373
Hematological disorders (P60-P61),2020,361
Hematological disorders (P60-P61),2021,369
Hematological disorders (P60-P61),2022,452
Hematological disorders (P60-P61),2023,434
Hematological disorders (P60-P61),2024,463
Hematological disorders (P60-P61),2025,261
Syndrome of infant of a diabetic mother and neonatal diabetes mellitus (P70.0-P70.2),2018,35
Syndrome of infant of a diabetic mother and neonatal diabetes mellitus (P70.0-P70.2),2019,39
Syndrome of infant of a diabetic mother and neonatal diabetes mellitus (P70.0-P70.2),2020,36
Syndrome of infant of a diabetic mother and neonatal diabetes mellitus (P70.0-P70.2),2021,42
Syndrome of infant of a diabetic mother and neonatal diabetes mellitus (P70.0-P70.2),2022,32
Syndrome of infant of a diabetic mother and neonatal diabetes mellitus (P70.0-P70.2),2023,38
Syndrome of infant of a diabetic mother and neonatal diabetes mellitus (P70.0-P70.2),2024,36
Syndrome of infant of a diabetic mother and neonatal diabetes mellitus (P70.0-P70.2),2025,25
Necrotizing enterocolitis of newborn (P77),2018,384
Necrotizing enterocolitis of newborn (P77),2019,438
Necrotizing enterocolitis of newborn (P77),2020,397
Necrotizing enterocolitis of newborn (P77),2021,389
Necrotizing enterocolitis of newborn (P77),2022,448
Necrotizing enterocolitis of newborn (P77),2023,417
Necrotizing enterocolitis of newborn (P77),2024,411
Necrotizing enterocolitis of newborn (P77),2025,223
Hydrops fetalis not due to hemolytic disease (P83.2),2018,310
Hydrops fetalis not due to hemolytic disease (P83.2),2019,293
Hydrops fetalis not due to hemolytic disease (P83.2),2020,309
Hydrops fetalis not due to hemolytic disease (P83.2),2021,296
Hydrops fetalis not due to hemolytic disease (P83.2),2022,302
Hydrops fetalis not due to hemolytic disease (P83.2),2023,318
Hydrops fetalis not due to hemolytic disease (P83.2),2024,309
Hydrops fetalis not due to hemolytic disease (P83.2),2025,181
"Other perinatal conditions (P29,P70.3-P70.9,P71-P76,P78-P81,P83.0-P83.1,P83.3-P83.9,P90-P96)",2018,3421
"Other perinatal conditions (P29,P70.3-P70.9,P71-P76,P78-P81,P83.0-P83.1,P83.3-P83.9,P90-P96)",2019,3356
"Other perinatal conditions (P29,P70.3-P70.9,P71-P76,P78-P81,P83.0-P83.1,P83.3-P83.9,P90-P96)",2020,3266
"Other perinatal conditions (P29,P70.3-P70.9,P71-P76,P78-P81,P83.0-P83.1,P83.3-P83.9,P90-P96)",2021,3292
"Other perinatal conditions (P29,P70.3-P70.9,P71-P76,P78-P81,P83.0-P83.1,P83.3-P83.9,P90-P96)",2022,3746
"Other perinatal conditions (P29,P70.3-P70.9,P71-P76,P78-P81,P83.0-P83.1,P83.3-P83.9,P90-P96)",2023,3664
"Other perinatal conditions (P29,P70.3-P70.9,P71-P76,P78-P81,P83.0-P83.1,P83.3-P83.9,P90-P96)",2024,3742
"Other perinatal conditions (P29,P70.3-P70.9,P71-P76,P78-P81,P83.0-P83.1,P83.3-P83.9,P90-P96)",2025,2104
"Congenital malformations, deformations and chromosomal abnormalities (Q00-Q99)",2018,5204
"Congenital malformations, deformations and chromosomal abnormalities (Q00-Q99)",2019,5023
"Congenital malformations, deformations and chromosomal abnormalities (Q00-Q99)",2020,4691
"Congenital malformations, deformations and chromosomal abnormalities (Q00-Q99)",2021,4689
"Congenital malformations, deformations and chromosomal abnormalities (Q00-Q99)",2022,4751
"Congenital malformations, deformations and chromosomal abnormalities (Q00-Q99)",2023,4717
"Congenital malformations, deformations and chromosomal abnormalities (Q00-Q99)",2024,4775
"Congenital malformations, deformations and chromosomal abnormalities (Q00-Q99)",2025,2565
Anencephaly and similar malformations (Q00),2018,277
Anencephaly and similar malformations (Q00),2019,289
Anencephaly and similar malformations (Q00),2020,279
Anencephaly and similar malformations (Q00),2021,239
Anencephaly and similar malformations (Q00),2022,282
Anencephaly and similar malformations (Q00),2023,280
Anencephaly and similar malformations (Q00),2024,288
Anencephaly and similar malformations (Q00),2025,150
Congenital hydrocephalus (Q03),2018,139
Congenital hydrocephalus (Q03),2019,128
Congenital hydrocephalus (Q03),2020,143
Congenital hydrocephalus (Q03),2021,141
Congenital hydrocephalus (Q03),2022,138
Congenital hydrocephalus (Q03),2023,115
Congenital hydrocephalus (Q03),2024,121
Congenital hydrocephalus (Q03),2025,83
Spina bifida (Q05),2018,35
Spina bifida (Q05),2019,24
Spina bifida (Q05),2020,31
Spina bifida (Q05),2021,40
Spina bifida (Q05),2022,32
Spina bifida (Q05),2023,35
Spina bifida (Q05),2024,25
Spina bifida (Q05),2025,15
"Other congenital malformations of nervous system (Q01-Q02,Q04,Q06-Q07)",2018,420
"Other congenital malformations of nervous system (Q01-Q02,Q04,Q06-Q07)",2019,401
"Other congenital malformations of nervous system (Q01-Q02,Q04,Q06-Q07)",2020,378
"Other congenital malformations of nervous system (Q01-Q02,Q04,Q06-Q07)",2021,399
"Other congenital malformations of nervous system (Q01-Q02,Q04,Q06-Q07)",2022,417
"Other congenital malformations of nervous system (Q01-Q02,Q04,Q06-Q07)",2023,382
"Other congenital malformations of nervous system (Q01-Q02,Q04,Q06-Q07)",2024,422
"Other congenital malformations of nervous system (Q01-Q02,Q04,Q06-Q07)",2025,217
Congenital malformations of heart (Q20-Q24),2018,1545
Congenital malformations of heart (Q20-Q24),2019,1514
Congenital malformations of heart (Q20-Q24),2020,1399
Congenital malformations of heart (Q20-Q24),2021,1434
Congenital malformations of heart (Q20-Q24),2022,1515
Congenital malformations of heart (Q20-Q24),2023,1512
Congenital malformations of heart (Q20-Q24),2024,1535
Congenital malformations of heart (Q20-Q24),2025,817
Other congenital malformations of circulatory system (Q25-Q28),2018,431
Other congenital malformations of circulatory system (Q25-Q28),2019,432
Other congenital malformations of circulatory system (Q25-Q28),2020,424
Other congenital malformations of circulatory system (Q25-Q28),2021,430
Other congenital malformations of circulatory system (Q25-Q28),2022,489
Other congenital malformations of circulatory system (Q25-Q28),2023,474
Other congenital malformations of circulatory system (Q25-Q28),2024,441
Other congenital malformations of circulatory system (Q25-Q28),2025,270
Congenital malformations of respiratory system (Q30-Q34),2018,891
Congenital malformations of respiratory system (Q30-Q34),2019,891
Congenital malformations of respiratory system (Q30-Q34),2020,857
Congenital malformations of respiratory system (Q30-Q34),2021,766
Congenital malformations of respiratory system (Q30-Q34),2022,468
Congenital malformations of respiratory system (Q30-Q34),2023,477
Congenital malformations of respiratory system (Q30-Q34),2024,467
Congenital malformations of respiratory system (Q30-Q34),2025,252
Congenital malformations of digestive system (Q35-Q45),2018,207
Congenital malformations of digestive system (Q35-Q45),2019,237
Congenital malformations of digestive system (Q35-Q45),2020,196
Congenital malformations of digestive system (Q35-Q45),2021,223
Congenital malformations of digestive system (Q35-Q45),2022,211
Congenital malformations of digestive system (Q35-Q45),2023,236
Congenital malformations of digestive system (Q35-Q45),2024,207
Congenital malformations of digestive system (Q35-Q45),2025,120
Congenital malformations of genitourinary system (Q50-Q64),2018,545
Congenital malformations of genitourinary system (Q50-Q64),2019,495
Congenital malformations of genitourinary system (Q50-Q64),2020,494
Congenital malformations of genitourinary system (Q50-Q64),2021,458
Congenital malformations of genitourinary system (Q50-Q64),2022,491
Congenital malformations of genitourinary system (Q50-Q64),2023,493
Congenital malformations of genitourinary system (Q50-Q64),2024,511
Congenital malformations of genitourinary system (Q50-Q64),2025,302
"Congenital malformations and deformations of musculoskeletal system, limbs and integument (Q65-Q85)",2018,764
"Congenital malformations and deformations of musculoskeletal system, limbs and integument (Q65-Q85)",2019,723
"Congenital malformations and deformations of musculoskeletal system, limbs and integument (Q65-Q85)",2020,687
"Congenital malformations and deformations of musculoskeletal system, limbs and integument (Q65-Q85)",2021,644
"Congenital malformations and deformations of musculoskeletal system, limbs and integument (Q65-Q85)",2022,655
"Congenital malformations and deformations of musculoskeletal system, limbs and integument (Q65-Q85)",2023,692
"Congenital malformations and deformations of musculoskeletal system, limbs and integument (Q65-Q85)",2024,688
"Congenital malformations and deformations of musculoskeletal system, limbs and integument (Q65-Q85)",2025,356
Down syndrome (Q90),2018,148
Down syndrome (Q90),2019,139
Down syndrome (Q90),2020,132
Down syndrome (Q90),2021,132
Down syndrome (Q90),2022,133
Down syndrome (Q90),2023,151
Down syndrome (Q90),2024,137
Down syndrome (Q90),2025,74
Edward syndrome (Q91.0-Q91.3),2018,492
Edward syndrome (Q91.0-Q91.3),2019,480
Edward syndrome (Q91.0-Q91.3),2020,468
Edward syndrome (Q91.0-Q91.3),2021,475
Edward syndrome (Q91.0-Q91.3),2022,488
Edward syndrome (Q91.0-Q91.3),2023,505
Edward syndrome (Q91.0-Q91.3),2024,499
Edward syndrome (Q91.0-Q91.3),2025,277
Patau syndrome (Q91.4-Q91.7),2018,249
Patau syndrome (Q91.4-Q91.7),2019,247
Patau syndrome (Q91.4-Q91.7),2020,225
Patau syndrome (Q91.4-Q91.7),2021,256
Patau syndrome (Q91.4-Q91.7),2022,205
Patau syndrome (Q91.4-Q91.7),2023,231
Patau syndrome (Q91.4-Q91.7),2024,242
Patau syndrome (Q91.4-Q91.7),2025,116
"Other congenital malformations and deformations (Q10-Q18,Q86-Q89)",2018,662
"Other congenital malformations and deformations (Q10-Q18,Q86-Q89)",2019,658
"Other congenital malformations and deformations (Q10-Q18,Q86-Q89)",2020,631
"Other congenital malformations and deformations (Q10-Q18,Q86-Q89)",2021,633
"Other congenital malformations and deformations (Q10-Q18,Q86-Q89)",2022,652
"Other congenital malformations and deformations (Q10-Q18,Q86-Q89)",2023,622
"Other congenital malformations and deformations (Q10-Q18,Q86-Q89)",2024,688
"Other congenital malformations and deformations (Q10-Q18,Q86-Q89)",2025,324
"Other chromosomal abnormalities, not elsewhere classified (Q92-Q99)",2018,231
"Other chromosomal abnormalities, not elsewhere classified (Q92-Q99)",2019,214
"Other chromosomal abnormalities, not elsewhere classified (Q92-Q99)",2020,181
"Other chromosomal abnormalities, not elsewhere classified (Q92-Q99)",2021,176
"Other chromosomal abnormalities, not elsewhere classified (Q92-Q99)",2022,189
"Other chromosomal abnormalities, not elsewhere classified (Q92-Q99)",2023,172
"Other chromosomal abnormalities, not elsewhere classified (Q92-Q99)",2024,171
"Other chromosomal abnormalities, not elsewhere classified (Q92-Q99)",2025,104
"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)",2018,4593
"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)",2019,4363
"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)",2020,4291
"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)",2021,4701
"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)",2022,4527
"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)",2023,4594
"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)",2024,4484
"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)",2025,2698
Sudden infant death syndrome (R95),2018,1358
Sudden infant death syndrome (R95),2019,1277
Sudden infant death syndrome (R95),2020,1418
Sudden infant death syndrome (R95),2021,1498
Sudden infant death syndrome (R95),2022,1581
Sudden infant death syndrome (R95),2023,1489
Sudden infant death syndrome (R95),2024,1412
Sudden infant death syndrome (R95),2025,166
"Other symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R53,R55-R94,R96-R99)",2018,3298
"Other symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R53,R55-R94,R96-R99)",2019,3146
"Other symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R53,R55-R94,R96-R99)",2020,2939
"Other symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R53,R55-R94,R96-R99)",2021,3268
"Other symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R53,R55-R94,R96-R99)",2022,2999
"Other symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R53,R55-R94,R96-R99)",2023,3153
"Other symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R53,R55-R94,R96-R99)",2024,3111
"Other symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R53,R55-R94,R96-R99)",2025,2535
"All other diseases (F00-F99,H00-H57,L00-M99)",2018,64
"All other diseases (F00-F99,H00-H57,L00-M99)",2019,71
"All other diseases (F00-F99,H00-H57,L00-M99)",2020,80
"All other diseases (F00-F99,H00-H57,L00-M99)",2021,82
"All other diseases (F00-F99,H00-H57,L00-M99)",2022,95
"All other diseases (F00-F99,H00-H57,L00-M99)",2023,76
"All other diseases (F00-F99,H00-H57,L00-M99)",2024,101
"All other diseases (F00-F99,H00-H57,L00-M99)",2025,43
"External causes of mortality (*U01,V01-Y84)",2018,1763
"External causes of mortality (*U01,V01-Y84)",2019,1884
