year,sex,race,dead,pop,type
2014,Male,Asian or Pacific Islander,605,145647,linked
2014,Male,Black or African American,3752,324821,linked
2014,Male,White,8337,1547425,linked
2015,Female,American Indian or Alaska Native,166,21593,linked
2015,Female,Asian or Pacific Islander,512,136397,linked
2015,Female,Black or African American,3146,314817,linked
2015,Female,White,6635,1469529,linked
2015,Male,American Indian or Alaska Native,200,22706,linked
2015,Male,Asian or Pacific Islander,667,144867,linked
2015,Male,Black or African American,3882,325262,linked
2015,Male,White,8250,1543326,linked
2016,Female,American Indian or Alaska Native,161,21441,linked
2016,Female,Asian or Pacific Islander,509,146269,linked
2016,Female,Black or African American,3152,322597,linked
2016,Female,White,6463,1437385,linked
2016,Male,American Indian or Alaska Native,214,22114,linked
2016,Male,Asian or Pacific Islander,691,156014,linked
2016,Male,Black or African American,3892,331470,linked
2016,Male,White,8074,1508585,linked
2003,Female,American Indian or Alaska Native,165,21035,linked
2003,Female,Asian or Pacific Islander,480,107039,linked
2003,Female,Black or African American,3536,294645,linked
2003,Female,White,7931,1573724,linked
2003,Male,American Indian or Alaska Native,211,22019,linked
2003,Male,Asian or Pacific Islander,588,114164,linked
2003,Male,Black or African American,4558,305215,linked
2003,Male,White,10526,1652166,linked
2004,Female,American Indian or Alaska Native,158,21634,linked
2004,Female,Asian or Pacific Islander,487,111348,linked
2004,Female,Black or African American,3581,302179,linked
2004,Female,White,7981,1572231,linked
2004,Male,American Indian or Alaska Native,212,22293,linked
2004,Male,Asian or Pacific Islander,583,117775,linked
2004,Male,Black or African American,4581,313897,linked
2004,Male,White,10277,1650698,linked
2005,Female,American Indian or Alaska Native,166,22141,linked
2005,Female,Asian or Pacific Islander,510,111872,linked
2005,Female,Black or African American,3692,311882,linked
2005,Female,White,8001,1573577,linked
2005,Male,American Indian or Alaska Native,195,22674,linked
2005,Male,Asian or Pacific Islander,620,119240,linked
2005,Male,Black or African American,4701,321270,linked
2005,Male,White,10500,1655917,linked
2006,Female,American Indian or Alaska Native,163,23412,linked
2006,Female,Asian or Pacific Islander,465,116826,linked
2006,Female,Black or African American,3869,326650,linked
2006,Female,White,8039,1614445,linked
2006,Male,American Indian or Alaska Native,232,24308,linked
2006,Male,Asian or Pacific Islander,632,124222,linked
2006,Male,Black or African American,4726,339844,linked
2006,Male,White,10384,1695886,linked
1999,Female,American Indian or Alaska Native,166,19800,linked
1999,Female,Black or African American,3790,298300,linked
1999,Female,Chinese,36,13906,linked
1999,Female,Filipino,77,14830,linked
1999,Female,Hawaiian,19,2976,linked
1999,Female,Japanese,19,4228,linked
1999,Female,Other Asian,263,51625,linked
1999,Female,White,7898,1526898,linked
1999,Male,American Indian or Alaska Native,208,20370,linked
1999,Male,Black or African American,4689,307670,linked
1999,Male,Chinese,48,14947,linked
1999,Male,Filipino,103,15847,linked
1999,Male,Hawaiian,23,3117,linked
1999,Male,Japanese,11,4494,linked
1999,Male,Other Asian,276,54806,linked
1999,Male,White,10238,1605603,linked
2000,Female,American Indian or Alaska Native,137,20475,linked
2000,Female,Black or African American,3708,306498,linked
2000,Female,Chinese,65,16499,linked
2000,Female,Filipino,74,15439,linked
2000,Female,Hawaiian,18,3209,linked
2000,Female,Japanese,14,4303,linked
2000,Female,Other Asian,257,57513,linked
2000,Female,White,8023,1557948,linked
2000,Male,American Indian or Alaska Native,210,21193,linked
2000,Male,Black or African American,4683,316123,linked
2000,Male,Chinese,56,17772,linked
2000,Male,Filipino,108,16669,linked
2000,Male,Hawaiian,41,3399,linked
2000,Male,Japanese,27,4666,linked
2000,Male,Other Asian,317,61075,linked
2000,Male,White,10223,1636101,linked
2001,Female,American Indian or Alaska Native,182,20689,linked
2001,Female,Black or African American,3541,298332,linked
2001,Female,Chinese,48,15012,linked
2001,Female,Filipino,83,15637,linked
2001,Female,Hawaiian,20,3206,linked
2001,Female,Japanese,14,4433,linked
2001,Female,Other Asian,245,58600,linked
2001,Female,White,7955,1552150,linked
2001,Male,American Indian or Alaska Native,222,21183,linked
2001,Male,Black or African American,4543,307851,linked
2001,Male,Chinese,51,16389,linked
2001,Male,Filipino,96,16833,linked
2001,Male,Hawaiian,26,3205,linked
2001,Male,Japanese,22,4615,linked
2001,Male,Other Asian,340,62353,linked
2001,Male,White,10132,1625548,linked
2002,Female,American Indian or Alaska Native,158,20944,linked
2002,Female,Black or African American,3734,292213,linked
2002,Female,Chinese,52,16267,linked
2002,Female,Filipino,83,15946,linked
2002,Female,Hawaiian,30,3264,linked
2002,Female,Japanese,24,4434,linked
2002,Female,Other Asian,261,62241,linked
2002,Female,White,7936,1548479,linked
2002,Male,American Indian or Alaska Native,208,21423,linked
2002,Male,Black or African American,4467,301530,linked
2002,Male,Chinese,50,17406,linked
2002,Male,Filipino,107,17070,linked
2002,Male,Hawaiian,35,3508,linked
2002,Male,Japanese,21,4830,linked
2002,Male,Other Asian,343,65942,linked
2002,Male,White,10459,1626328,linked
