cause,year,month,age,status,dead,pop,asmr,noted_as_unreliable,asmr_low,asmr_high
All causes,2022,October,60-69,"Third dose or booster, at least 21 days ago",2599,266312,1085.1,,1042.2,1128.1
All causes,2022,October,60-69,"Fourth dose or booster, less than 21 days ago",299,121519,239.7,,211.8,267.5
All causes,2022,October,60-69,"Fourth dose or booster, at least 21 days ago",998,69199,1476.8,,1377.5,1576.2
All causes,2022,October,70-79,Unvaccinated,307,10088,3099.1,,2751.4,3446.8
All causes,2022,October,70-79,"First dose, less than 21 days ago",<3,3,,,,
All causes,2022,October,70-79,"First dose, at least 21 days ago",72,1176,6200.8,,4847.7,7813.7
All causes,2022,October,70-79,"Second dose, less than 21 days ago",<3,6,,,,
All causes,2022,October,70-79,"Second dose, at least 21 days ago",448,9408,4929.4,,4469.3,5389.6
All causes,2022,October,70-79,"Third dose or booster, less than 21 days ago",<3,5,,,,
All causes,2022,October,70-79,"Third dose or booster, at least 21 days ago",3498,93265,4738.9,,4558.0,4919.8
All causes,2022,October,70-79,"Fourth dose or booster, less than 21 days ago",490,78715,1160.5,,1017.0,1304.0
All causes,2022,October,70-79,"Fourth dose or booster, at least 21 days ago",5077,212744,2212.5,,2140.2,2284.9
All causes,2022,October,80-89,Unvaccinated,367,4199,8697.5,,7807.5,9587.5
All causes,2022,October,80-89,"First dose, less than 21 days ago",<3,2,,,,
All causes,2022,October,80-89,"First dose, at least 21 days ago",69,499,13703.6,,10656.4,17349.6
All causes,2022,October,80-89,"Second dose, less than 21 days ago",<3,2,,,,
All causes,2022,October,80-89,"Second dose, at least 21 days ago",439,3729,11693.8,,10598.7,12788.8
All causes,2022,October,80-89,"Third dose or booster, less than 21 days ago",<3,2,,,,
All causes,2022,October,80-89,"Third dose or booster, at least 21 days ago",2787,17028,16192.6,,15590.8,16794.4
All causes,2022,October,80-89,"Fourth dose or booster, less than 21 days ago",358,5122,6840.6,,6130.0,7551.3
All causes,2022,October,80-89,"Fourth dose or booster, at least 21 days ago",10859,160454,6737.9,,6611.1,6864.6
All causes,2022,October,90+,Unvaccinated,218,1047,20822.6,,18149.9,23778.0
All causes,2022,October,90+,"First dose, less than 21 days ago",<3,0,,,,
All causes,2022,October,90+,"First dose, at least 21 days ago",55,142,38696.9,,29149.8,50370.6
All causes,2022,October,90+,"Second dose, less than 21 days ago",<3,1,,,,
All causes,2022,October,90+,"Second dose, at least 21 days ago",265,882,30046.6,,26537.4,33890.7
All causes,2022,October,90+,"Third dose or booster, less than 21 days ago",3,1,348964.7,u,70136.2,1019615.2
All causes,2022,October,90+,"Third dose or booster, at least 21 days ago",1401,3976,35232.5,,33411.5,37126.9
All causes,2022,October,90+,"Fourth dose or booster, less than 21 days ago",256,1279,20019.7,,17642.1,22628.4
All causes,2022,October,90+,"Fourth dose or booster, at least 21 days ago",7509,34000,22085.4,,21588.7,22590.7
All causes,2022,November,18-39,Unvaccinated,82,201521,43.1,,34.2,53.6
All causes,2022,November,18-39,"First dose, less than 21 days ago",<3,118,,,,
All causes,2022,November,18-39,"First dose, at least 21 days ago",27,42750,75.7,,48.8,111.6
All causes,2022,November,18-39,"Second dose, less than 21 days ago",<3,282,,,,
All causes,2022,November,18-39,"Second dose, at least 21 days ago",93,284832,34.7,,28.0,42.6
All causes,2022,November,18-39,"Third dose or booster, less than 21 days ago",<3,28,,,,
All causes,2022,November,18-39,"Third dose or booster, at least 21 days ago",139,533403,25.2,,21.0,29.5
All causes,2022,November,18-39,"Fourth dose or booster, less than 21 days ago",5,15868,29.7,u,9.4,69.8
All causes,2022,November,18-39,"Fourth dose or booster, at least 21 days ago",70,44185,152.1,,114.3,197.4
All causes,2022,November,40-49,Unvaccinated,94,57150,172.4,,139.0,211.3
All causes,2022,November,40-49,"First dose, less than 21 days ago",<3,17,,,,
All causes,2022,November,40-49,"First dose, at least 21 days ago",28,9258,318.3,,210.2,461.9
All causes,2022,November,40-49,"Second dose, less than 21 days ago",<3,43,,,,
All causes,2022,November,40-49,"Second dose, at least 21 days ago",153,86396,184.3,,154.9,213.8
All causes,2022,November,40-49,"Third dose or booster, less than 21 days ago",<3,8,,,,
All causes,2022,November,40-49,"Third dose or booster, at least 21 days ago",312,320893,97.5,,86.6,108.3
All causes,2022,November,40-49,"Fourth dose or booster, less than 21 days ago",21,15927,126.1,,77.5,193.5
All causes,2022,November,40-49,"Fourth dose or booster, at least 21 days ago",116,48260,235.7,,192.4,279.0
All causes,2022,November,50-59,Unvaccinated,180,37394,485.6,,414.5,556.6
All causes,2022,November,50-59,"First dose, less than 21 days ago",<3,11,,,,
All causes,2022,November,50-59,"First dose, at least 21 days ago",60,5755,1068.9,,814.8,1377.0
All causes,2022,November,50-59,"Second dose, less than 21 days ago",<3,25,,,,
All causes,2022,November,50-59,"Second dose, at least 21 days ago",285,55129,530.3,,468.5,592.1
All causes,2022,November,50-59,"Third dose or booster, less than 21 days ago",<3,9,,,,
All causes,2022,November,50-59,"Third dose or booster, at least 21 days ago",920,244007,379.6,,355.1,404.2
All causes,2022,November,50-59,"Fourth dose or booster, less than 21 days ago",102,100993,99.4,,79.9,118.8
All causes,2022,November,50-59,"Fourth dose or booster, at least 21 days ago",536,150566,344.6,,314.9,374.3
All causes,2022,November,60-69,Unvaccinated,251,20356,1280.0,,1119.6,1440.3
All causes,2022,November,60-69,"First dose, less than 21 days ago",<3,6,,,,
All causes,2022,November,60-69,"First dose, at least 21 days ago",68,2724,2606.7,,2012.6,3318.5
All causes,2022,November,60-69,"Second dose, less than 21 days ago",<3,11,,,,
All causes,2022,November,60-69,"Second dose, at least 21 days ago",377,25233,1591.7,,1427.1,1756.2
All causes,2022,November,60-69,"Third dose or booster, less than 21 days ago",<3,5,,,,
All causes,2022,November,60-69,"Third dose or booster, at least 21 days ago",1789,127732,1581.6,,1505.7,1657.5
All causes,2022,November,60-69,"Fourth dose or booster, less than 21 days ago",215,77719,325.0,,279.7,370.3
All causes,2022,November,60-69,"Fourth dose or booster, at least 21 days ago",1675,237415,682.3,,648.9,715.6
All causes,2022,November,70-79,Unvaccinated,307,9790,3208.9,,2849.0,3568.9
All causes,2022,November,70-79,"First dose, less than 21 days ago",<3,3,,,,
All causes,2022,November,70-79,"First dose, at least 21 days ago",64,1136,5830.3,,4486.3,7449.8
All causes,2022,November,70-79,"Second dose, less than 21 days ago",<3,5,,,,
All causes,2022,November,70-79,"Second dose, at least 21 days ago",429,9145,4877.8,,4412.6,5343.0
All causes,2022,November,70-79,"Third dose or booster, less than 21 days ago",<3,2,,,,
All causes,2022,November,70-79,"Third dose or booster, at least 21 days ago",2528,43780,6285.2,,6027.6,6542.8
All causes,2022,November,70-79,"Fourth dose or booster, less than 21 days ago",280,24080,1749.2,,1488.2,2010.2
All causes,2022,November,70-79,"Fourth dose or booster, at least 21 days ago",6079,304601,1892.5,,1844.3,1940.7
All causes,2022,November,80-89,Unvaccinated,343,4060,8395.6,,7506.9,9284.3
All causes,2022,November,80-89,"First dose, less than 21 days ago",<3,2,,,,
All causes,2022,November,80-89,"First dose, at least 21 days ago",72,480,14730.6,,11520.4,18557.3
All causes,2022,November,80-89,"Second dose, less than 21 days ago",<3,3,,,,
All causes,2022,November,80-89,"Second dose, at least 21 days ago",393,3606,10761.8,,9696.7,11826.9
All causes,2022,November,80-89,"Third dose or booster, less than 21 days ago",<3,1,,,,
All causes,2022,November,80-89,"Third dose or booster, at least 21 days ago",2014,11955,16726.8,,15995.9,17457.7
All causes,2022,November,80-89,"Fourth dose or booster, less than 21 days ago",166,2544,6436.8,,5454.4,7419.1
All causes,2022,November,80-89,"Fourth dose or booster, at least 21 days ago",10965,162660,6706.2,,6580.7,6831.8
All causes,2022,November,90+,Unvaccinated,195,1006,19381.9,,16756.7,22301.7
All causes,2022,November,90+,"First dose, less than 21 days ago",<3,1,,,,
All causes,2022,November,90+,"First dose, at least 21 days ago",40,136,29445.6,,21033.8,40097.8
All causes,2022,November,90+,"Second dose, less than 21 days ago",<3,1,,,,
All causes,2022,November,90+,"Second dose, at least 21 days ago",238,848,28056.6,,24604.9,31856.9
All causes,2022,November,90+,"Third dose or booster, less than 21 days ago",<3,0,,,,
All causes,2022,November,90+,"Third dose or booster, at least 21 days ago",963,2683,35886.8,,33655.7,38227.0
All causes,2022,November,90+,"Fourth dose or booster, less than 21 days ago",102,660,15450.9,,12598.0,18756.6
All causes,2022,November,90+,"Fourth dose or booster, at least 21 days ago",7483,34661,21589.3,,21102.9,22084.1
All causes,2022,December,18-39,Unvaccinated,81,208586,41.6,,33.0,51.8
All causes,2022,December,18-39,"First dose, less than 21 days ago",<3,85,,,,
All causes,2022,December,18-39,"First dose, at least 21 days ago",19,44417,56.6,u,33.4,89.3
All causes,2022,December,18-39,"Second dose, less than 21 days ago",<3,224,,,,
All causes,2022,December,18-39,"Second dose, at least 21 days ago",100,295439,35.5,,28.5,42.6
All causes,2022,December,18-39,"Third dose or booster, less than 21 days ago",<3,13,,,,
All causes,2022,December,18-39,"Third dose or booster, at least 21 days ago",190,538362,33.7,,28.9,38.6
All causes,2022,December,18-39,"Fourth dose or booster, less than 21 days ago",6,6452,96.1,u,31.6,216.0
All causes,2022,December,18-39,"Fourth dose or booster, at least 21 days ago",93,66527,145.9,,115.2,181.6
All causes,2022,December,40-49,Unvaccinated,105,59269,184.0,,148.4,219.6
All causes,2022,December,40-49,"First dose, less than 21 days ago",<3,11,,,,
All causes,2022,December,40-49,"First dose, at least 21 days ago",32,9583,354.3,,240.9,502.0
All causes,2022,December,40-49,"Second dose, less than 21 days ago",<3,35,,,,
All causes,2022,December,40-49,"Second dose, at least 21 days ago",136,89664,159.8,,132.7,186.9
All causes,2022,December,40-49,"Third dose or booster, less than 21 days ago",<3,3,,,,
All causes,2022,December,40-49,"Third dose or booster, at least 21 days ago",311,320843,97.3,,86.5,108.1
All causes,2022,December,40-49,"Fourth dose or booster, less than 21 days ago",13,6028,217.9,u,114.9,374.2
All causes,2022,December,40-49,"Fourth dose or booster, at least 21 days ago",239,70396,330.2,,287.9,372.5
All causes,2022,December,50-59,Unvaccinated,268,38742,700.4,,616.4,784.4
All causes,2022,December,50-59,"First dose, less than 21 days ago",<3,7,,,,
All causes,2022,December,50-59,"First dose, at least 21 days ago",56,5956,970.3,,732.2,1261.0
All causes,2022,December,50-59,"Second dose, less than 21 days ago",<3,18,,,,
All causes,2022,December,50-59,"Second dose, at least 21 days ago",347,57203,621.1,,555.5,686.7
All causes,2022,December,50-59,"Third dose or booster, less than 21 days ago",<3,4,,,,
All causes,2022,December,50-59,"Third dose or booster, at least 21 days ago",888,198554,451.2,,421.5,480.9
All causes,2022,December,50-59,"Fourth dose or booster, less than 21 days ago",39,27667,141.2,,100.4,193.0
All causes,2022,December,50-59,"Fourth dose or booster, at least 21 days ago",955,285263,321.7,,301.1,342.3
All causes,2022,December,60-69,Unvaccinated,335,21135,1615.6,,1440.3,1790.8
All causes,2022,December,60-69,"First dose, less than 21 days ago",<3,4,,,,
All causes,2022,December,60-69,"First dose, at least 21 days ago",90,2823,3318.3,,2655.4,4093.9
All causes,2022,December,60-69,"Second dose, less than 21 days ago",<3,8,,,,
All causes,2022,December,60-69,"Second dose, at least 21 days ago",519,26258,2116.2,,1929.8,2302.7
All causes,2022,December,60-69,"Third dose or booster, less than 21 days ago",<3,2,,,,
All causes,2022,December,60-69,"Third dose or booster, at least 21 days ago",1759,101452,1915.4,,1823.1,2007.6
All causes,2022,December,60-69,"Fourth dose or booster, less than 21 days ago",107,15049,838.2,,671.0,1005.3
All causes,2022,December,60-69,"Fourth dose or booster, at least 21 days ago",2913,341719,842.9,,812.2,873.5
All causes,2022,December,70-79,Unvaccinated,450,10142,4525.3,,4105.9,4944.6
All causes,2022,December,70-79,"First dose, less than 21 days ago",<3,2,,,,
All causes,2022,December,70-79,"First dose, at least 21 days ago",92,1174,8044.1,,6479.8,9871.0
All causes,2022,December,70-79,"Second dose, less than 21 days ago",<3,4,,,,
All causes,2022,December,70-79,"Second dose, at least 21 days ago",549,9485,6007.7,,5501.3,6514.2
All causes,2022,December,70-79,"Third dose or booster, less than 21 days ago",<3,1,,,,
All causes,2022,December,70-79,"Third dose or booster, at least 21 days ago",2347,36376,6878.1,,6591.6,7164.5
All causes,2022,December,70-79,"Fourth dose or booster, less than 21 days ago",118,4274,3807.6,,3007.3,4607.9
All causes,2022,December,70-79,"Fourth dose or booster, at least 21 days ago",9110,344204,2564.8,,2511.8,2617.7
All causes,2022,December,80-89,Unvaccinated,449,4188,10674.5,,9686.9,11662.0
All causes,2022,December,80-89,"First dose, less than 21 days ago",<3,1,,,,
All causes,2022,December,80-89,"First dose, at least 21 days ago",99,493,20171.7,,16387.6,24566.2
All causes,2022,December,80-89,"Second dose, less than 21 days ago",<3,1,,,,
All causes,2022,December,80-89,"Second dose, at least 21 days ago",613,3715,16338.3,,15043.7,17632.9
All causes,2022,December,80-89,"Third dose or booster, less than 21 days ago",<3,0,,,,
All causes,2022,December,80-89,"Third dose or booster, at least 21 days ago",2003,10938,18233.1,,17434.5,19031.7
All causes,2022,December,80-89,"Fourth dose or booster, less than 21 days ago",98,702,13442.8,,10896.4,16402.3
All causes,2022,December,80-89,"Fourth dose or booster, at least 21 days ago",15887,171664,9208.9,,9065.7,9352.1
All causes,2022,December,90+,Unvaccinated,335,1029,32568.0,,29173.3,36249.3
All causes,2022,December,90+,"First dose, less than 21 days ago",<3,1,,,,
All causes,2022,December,90+,"First dose, at least 21 days ago",47,138,34151.1,,25090.7,45415.0
All causes,2022,December,90+,"Second dose, less than 21 days ago",<3,1,,,,
All causes,2022,December,90+,"Second dose, at least 21 days ago",357,868,41118.9,,36963.5,45613.6
All causes,2022,December,90+,"Third dose or booster, less than 21 days ago",<3,0,,,,
All causes,2022,December,90+,"Third dose or booster, at least 21 days ago",1048,2335,44885.9,,42209.1,47688.0
All causes,2022,December,90+,"Fourth dose or booster, less than 21 days ago",57,220,25944.6,,19648.9,33615.0
All causes,2022,December,90+,"Fourth dose or booster, at least 21 days ago",11268,36598,30788.5,,30222.6,31362.3
All causes,2023,January,18-39,Unvaccinated,61,208947,31.1,,23.8,40.1
All causes,2023,January,18-39,"First dose, less than 21 days ago",<3,90,,,,
All causes,2023,January,18-39,"First dose, at least 21 days ago",18,44678,53.3,u,31.3,84.7
All causes,2023,January,18-39,"Second dose, less than 21 days ago",<3,184,,,,
All causes,2023,January,18-39,"Second dose, at least 21 days ago",78,296418,27.9,,22.0,34.9
All causes,2023,January,18-39,"Third dose or booster, less than 21 days ago",<3,10,,,,
All causes,2023,January,18-39,"Third dose or booster, at least 21 days ago",135,533222,24.4,,20.3,28.6
All causes,2023,January,18-39,"Fourth dose or booster, less than 21 days ago",<3,2005,,,,
All causes,2023,January,18-39,"Fourth dose or booster, at least 21 days ago",91,74124,106.9,,85.0,132.6
All causes,2023,January,40-49,Unvaccinated,84,59492,144.5,,114.9,179.2
All causes,2023,January,40-49,"First dose, less than 21 days ago",<3,13,,,,
All causes,2023,January,40-49,"First dose, at least 21 days ago",36,9601,411.3,,286.8,571.1
All causes,2023,January,40-49,"Second dose, less than 21 days ago",<3,25,,,,
All causes,2023,January,40-49,"Second dose, at least 21 days ago",126,90025,147.1,,121.2,173.0
All causes,2023,January,40-49,"Third dose or booster, less than 21 days ago",<3,2,,,,
All causes,2023,January,40-49,"Third dose or booster, at least 21 days ago",275,317681,87.0,,76.7,97.2
All causes,2023,January,40-49,"Fourth dose or booster, less than 21 days ago",3,1763,165.5,u,32.9,486.7
All causes,2023,January,40-49,"Fourth dose or booster, at least 21 days ago",202,77143,258.5,,222.5,294.5
All causes,2023,January,50-59,Unvaccinated,233,38847,613.2,,534.3,692.0
All causes,2023,January,50-59,"First dose, less than 21 days ago",<3,7,,,,
All causes,2023,January,50-59,"First dose, at least 21 days ago",62,5969,1063.6,,814.7,1364.5
All causes,2023,January,50-59,"Second dose, less than 21 days ago",<3,13,,,,
All causes,2023,January,50-59,"Second dose, at least 21 days ago",309,57455,551.8,,490.0,613.6
All causes,2023,January,50-59,"Third dose or booster, less than 21 days ago",<3,2,,,,
All causes,2023,January,50-59,"Third dose or booster, at least 21 days ago",710,188710,380.0,,352.0,408.0
All causes,2023,January,50-59,"Fourth dose or booster, less than 21 days ago",9,5886,160.0,u,72.8,304.3
All causes,2023,January,50-59,"Fourth dose or booster, at least 21 days ago",979,316149,301.2,,282.2,320.2
All causes,2023,January,60-69,Unvaccinated,289,21236,1421.8,,1255.8,1587.8
All causes,2023,January,60-69,"First dose, less than 21 days ago",<3,3,,,,
All causes,2023,January,60-69,"First dose, at least 21 days ago",74,2831,2759.6,,2155.5,3478.0
All causes,2023,January,60-69,"Second dose, less than 21 days ago",<3,6,,,,
All causes,2023,January,60-69,"Second dose, at least 21 days ago",379,26459,1538.5,,1379.9,1697.0
All causes,2023,January,60-69,"Third dose or booster, less than 21 days ago",<3,1,,,,
All causes,2023,January,60-69,"Third dose or booster, at least 21 days ago",1354,97026,1546.9,,1462.1,1631.6
All causes,2023,January,60-69,"Fourth dose or booster, less than 21 days ago",18,2613,857.6,u,491.3,1379.6
All causes,2023,January,60-69,"Fourth dose or booster, at least 21 days ago",2887,359166,796.4,,767.3,825.4
All causes,2023,January,70-79,Unvaccinated,365,10163,3656.7,,3280.5,4032.9
All causes,2023,January,70-79,"First dose, less than 21 days ago",<3,1,,,,
All causes,2023,January,70-79,"First dose, at least 21 days ago",66,1174,5781.2,,4467.1,7360.1
All causes,2023,January,70-79,"Second dose, less than 21 days ago",<3,2,,,,
All causes,2023,January,70-79,"Second dose, at least 21 days ago",484,9513,5260.8,,4788.5,5733.1
All causes,2023,January,70-79,"Third dose or booster, less than 21 days ago",<3,1,,,,
All causes,2023,January,70-79,"Third dose or booster, at least 21 days ago",1789,35171,5392.5,,5136.1,5648.9
All causes,2023,January,70-79,"Fourth dose or booster, less than 21 days ago",26,695,4894.9,,3003.8,7431.9
All causes,2023,January,70-79,"Fourth dose or booster, at least 21 days ago",8303,348867,2313.7,,2263.7,2363.7
All causes,2023,January,80-89,Unvaccinated,423,4174,10084.7,,9123.5,11045.9
All causes,2023,January,80-89,"First dose, less than 21 days ago",<3,1,,,,
All causes,2023,January,80-89,"First dose, at least 21 days ago",89,489,17971.9,,14425.4,22124.9
All causes,2023,January,80-89,"Second dose, less than 21 days ago",<3,1,,,,
All causes,2023,January,80-89,"Second dose, at least 21 days ago",537,3693,14401.2,,13182.2,15620.3
All causes,2023,January,80-89,"Third dose or booster, less than 21 days ago",<3,0,,,,
All causes,2023,January,80-89,"Third dose or booster, at least 21 days ago",1599,10604,15025.3,,14288.8,15761.9
All causes,2023,January,80-89,"Fourth dose or booster, less than 21 days ago",27,136,19507.8,,12829.8,28417.6
All causes,2023,January,80-89,"Fourth dose or booster, at least 21 days ago",14931,172568,8607.7,,8469.6,8745.8
All causes,2023,January,90+,Unvaccinated,282,1014,27809.8,,24658.2,31252.5
All causes,2023,January,90+,"First dose, less than 21 days ago",<3,0,,,,
All causes,2023,January,90+,"First dose, at least 21 days ago",49,136,36003.3,,26633.2,47599.5
All causes,2023,January,90+,"Second dose, less than 21 days ago",<3,0,,,,
All causes,2023,January,90+,"Second dose, at least 21 days ago",281,857,32770.0,,29049.9,36834.3
All causes,2023,January,90+,"Third dose or booster, less than 21 days ago",<3,0,,,,
All causes,2023,January,90+,"Third dose or booster, at least 21 days ago",813,2214,36716.5,,34235.6,39329.6
All causes,2023,January,90+,"Fourth dose or booster, less than 21 days ago",7,42,16566.8,u,6637.1,34135.6
All causes,2023,January,90+,"Fourth dose or booster, at least 21 days ago",10514,36597,28729.3,,28182.7,29283.8
All causes,2023,February,18-39,Unvaccinated,46,189010,25.8,,18.8,34.4
All causes,2023,February,18-39,"First dose, less than 21 days ago",<3,82,,,,
All causes,2023,February,18-39,"First dose, at least 21 days ago",7,40618,17.0,u,5.4,37.4
All causes,2023,February,18-39,"Second dose, less than 21 days ago",<3,154,,,,
All causes,2023,February,18-39,"Second dose, at least 21 days ago",73,268473,29.0,,22.7,36.5
All causes,2023,February,18-39,"Third dose or booster, less than 21 days ago",<3,11,,,,
All causes,2023,February,18-39,"Third dose or booster, at least 21 days ago",85,478182,16.8,,13.4,20.8
All causes,2023,February,18-39,"Fourth dose or booster, less than 21 days ago",<3,1267,,,,
All causes,2023,February,18-39,"Fourth dose or booster, at least 21 days ago",76,69009,106.8,,82.0,136.2
All causes,2023,February,40-49,Unvaccinated,79,53954,154.8,,122.2,193.3
All causes,2023,February,40-49,"First dose, less than 21 days ago",<3,12,,,,
All causes,2023,February,40-49,"First dose, at least 21 days ago",19,8699,226.9,u,135.4,356.2
All causes,2023,February,40-49,"Second dose, less than 21 days ago",<3,22,,,,
All causes,2023,February,40-49,"Second dose, at least 21 days ago",94,81638,122.4,,98.7,149.9
All causes,2023,February,40-49,"Third dose or booster, less than 21 days ago",<3,2,,,,
All causes,2023,February,40-49,"Third dose or booster, at least 21 days ago",209,284888,73.7,,63.7,83.7
All causes,2023,February,40-49,"Fourth dose or booster, less than 21 days ago",<3,1363,,,,
All causes,2023,February,40-49,"Fourth dose or booster, at least 21 days ago",162,71292,227.2,,191.9,262.5
All causes,2023,February,50-59,Unvaccinated,145,35190,419.1,,350.8,487.4
All causes,2023,February,50-59,"First dose, less than 21 days ago",<3,6,,,,
All causes,2023,February,50-59,"First dose, at least 21 days ago",33,5405,628.0,,431.7,882.8
All causes,2023,February,50-59,"Second dose, less than 21 days ago",<3,11,,,,
All causes,2023,February,50-59,"Second dose, at least 21 days ago",196,52152,385.1,,331.0,439.3
All causes,2023,February,50-59,"Third dose or booster, less than 21 days ago",<3,1,,,,
All causes,2023,February,50-59,"Third dose or booster, at least 21 days ago",579,167816,348.7,,320.3,377.2
All causes,2023,February,50-59,"Fourth dose or booster, less than 21 days ago",7,2232,330.8,u,132.3,682.8
All causes,2023,February,50-59,"Fourth dose or booster, at least 21 days ago",807,290492,270.2,,251.4,289.0
All causes,2023,February,60-69,Unvaccinated,248,19293,1346.1,,1176.5,1515.7
All causes,2023,February,60-69,"First dose, less than 21 days ago",<3,3,,,,
All causes,2023,February,60-69,"First dose, at least 21 days ago",53,2574,2205.1,,1641.3,2897.3
All causes,2023,February,60-69,"Second dose, less than 21 days ago",<3,6,,,,
All causes,2023,February,60-69,"Second dose, at least 21 days ago",339,24095,1518.1,,1352.7,1683.5
All causes,2023,February,60-69,"Third dose or booster, less than 21 days ago",<3,1,,,,
All causes,2023,February,60-69,"Third dose or booster, at least 21 days ago",1053,86477,1338.4,,1255.2,1421.5
All causes,2023,February,60-69,"Fourth dose or booster, less than 21 days ago",8,1104,798.7,u,326.7,1604.8
All causes,2023,February,60-69,"Fourth dose or booster, at least 21 days ago",2453,327519,742.6,,713.2,772.0
All causes,2023,February,70-79,Unvaccinated,313,9210,3447.3,,3064.3,3830.3
All causes,2023,February,70-79,"First dose, less than 21 days ago",<3,1,,,,
All causes,2023,February,70-79,"First dose, at least 21 days ago",68,1061,6520.6,,5059.1,8271.8
All causes,2023,February,70-79,"Second dose, less than 21 days ago",<3,3,,,,
All causes,2023,February,70-79,"Second dose, at least 21 days ago",352,8654,4187.9,,3747.1,4628.8
All causes,2023,February,70-79,"Third dose or booster, less than 21 days ago",<3,0,,,,
All causes,2023,February,70-79,"Third dose or booster, at least 21 days ago",1293,31374,4391.3,,4146.4,4636.3
All causes,2023,February,70-79,"Fourth dose or booster, less than 21 days ago",12,354,4103.3,u,1909.9,7492.6
All causes,2023,February,70-79,"Fourth dose or booster, at least 21 days ago",6833,315911,2102.1,,2052.0,2152.2
All causes,2023,February,80-89,Unvaccinated,327,3770,8647.9,,7710.4,9585.3
All causes,2023,February,80-89,"First dose, less than 21 days ago",<3,1,,,,
All causes,2023,February,80-89,"First dose, at least 21 days ago",59,439,13200.9,,10042.3,17036.5
All causes,2023,February,80-89,"Second dose, less than 21 days ago",<3,1,,,,
All causes,2023,February,80-89,"Second dose, at least 21 days ago",426,3332,12663.2,,11459.6,13866.9
All causes,2023,February,80-89,"Third dose or booster, less than 21 days ago",<3,0,,,,
All causes,2023,February,80-89,"Third dose or booster, at least 21 days ago",1169,9453,12331.2,,11624.3,13038.2
All causes,2023,February,80-89,"Fourth dose or booster, less than 21 days ago",10,78,12822.2,u,6117.6,23630.6
All causes,2023,February,80-89,"Fourth dose or booster, at least 21 days ago",11617,156478,7387.9,,7253.5,7522.2
All causes,2023,February,90+,Unvaccinated,211,914,23082.2,,20072.4,26415.9
All causes,2023,February,90+,"First dose, less than 21 days ago",<3,0,,,,
All causes,2023,February,90+,"First dose, at least 21 days ago",39,123,31785.0,,22599.4,43452.5
All causes,2023,February,90+,"Second dose, less than 21 days ago",<3,0,,,,
All causes,2023,February,90+,"Second dose, at least 21 days ago",191,779,24530.8,,21174.9,28267.5
All causes,2023,February,90+,"Third dose or booster, less than 21 days ago",<3,0,,,,
All causes,2023,February,90+,"Third dose or booster, at least 21 days ago",600,1956,30676.2,,28270.4,33232.1
All causes,2023,February,90+,"Fourth dose or booster, less than 21 days ago",12,25,48737.9,u,25154.6,85141.2
All causes,2023,February,90+,"Fourth dose or booster, at least 21 days ago",7776,33111,23484.4,,22965.3,24012.3
All causes,2023,March,18-39,Unvaccinated,60,209571,30.3,,23.1,39.1
All causes,2023,March,18-39,"First dose, less than 21 days ago",<3,73,,,,
All causes,2023,March,18-39,"First dose, at least 21 days ago",18,45277,48.3,u,28.4,76.7
All causes,2023,March,18-39,"Second dose, less than 21 days ago",<3,128,,,,
All causes,2023,March,18-39,"Second dose, at least 21 days ago",68,298049,24.9,,19.3,31.6
All causes,2023,March,18-39,"Third dose or booster, less than 21 days ago",<3,3,,,,
All causes,2023,March,18-39,"Third dose or booster, at least 21 days ago",98,527589,17.6,,14.3,21.5
All causes,2023,March,18-39,"Fourth dose or booster, less than 21 days ago",<3,56,,,,
All causes,2023,March,18-39,"Fourth dose or booster, at least 21 days ago",80,77669,101.5,,78.2,129.0
All causes,2023,March,40-49,Unvaccinated,71,59956,122.6,,95.4,155.0
All causes,2023,March,40-49,"First dose, less than 21 days ago",<3,9,,,,
All causes,2023,March,40-49,"First dose, at least 21 days ago",23,9666,246.9,,155.2,372.2
All causes,2023,March,40-49,"Second dose, less than 21 days ago",<3,18,,,,
All causes,2023,March,40-49,"Second dose, at least 21 days ago",102,90719,118.2,,95.1,141.4
All causes,2023,March,40-49,"Third dose or booster, less than 21 days ago",<3,1,,,,
All causes,2023,March,40-49,"Third dose or booster, at least 21 days ago",224,314891,71.5,,62.1,80.9
All causes,2023,March,40-49,"Fourth dose or booster, less than 21 days ago",<3,62,,,,
All causes,2023,March,40-49,"Fourth dose or booster, at least 21 days ago",204,80186,250.5,,215.9,285.2
All causes,2023,March,50-59,Unvaccinated,171,39066,444.3,,377.6,511.0
All causes,2023,March,50-59,"First dose, less than 21 days ago",<3,4,,,,
All causes,2023,March,50-59,"First dose, at least 21 days ago",41,5996,708.5,,507.9,961.9
All causes,2023,March,50-59,"Second dose, less than 21 days ago",<3,8,,,,
All causes,2023,March,50-59,"Second dose, at least 21 days ago",264,57957,467.6,,411.0,524.3
All causes,2023,March,50-59,"Third dose or booster, less than 21 days ago",<3,0,,,,
All causes,2023,March,50-59,"Third dose or booster, at least 21 days ago",569,186574,307.8,,282.5,333.2
All causes,2023,March,50-59,"Fourth dose or booster, less than 21 days ago",<3,80,,,,
All causes,2023,March,50-59,"Fourth dose or booster, at least 21 days ago",940,322428,281.7,,263.5,299.9
All causes,2023,March,60-69,Unvaccinated,245,21459,1202.8,,1050.3,1355.2
All causes,2023,March,60-69,"First dose, less than 21 days ago",<3,2,,,,
All causes,2023,March,60-69,"First dose, at least 21 days ago",78,2864,2860.5,,2249.3,3583.9
