ed,cause,month,age,status,dead,pop,asmr,unreliable,asmrlow,asmrhigh
5,Non-COVID-19 deaths,2021-07,40-49,"Third dose or booster, less than 21 days ago",0,0,,,,
5,Non-COVID-19 deaths,2021-07,40-49,"Third dose or booster, at least 21 days ago",0,0,,,,
5,Non-COVID-19 deaths,2021-07,50-59,Unvaccinated,255,42274,608.8,,534,683.7
5,Non-COVID-19 deaths,2021-07,50-59,"First dose, less than 21 days ago",0,1625,,,,
5,Non-COVID-19 deaths,2021-07,50-59,"First dose, at least 21 days ago",239,13682,1835.2,,1600,2070.3
5,Non-COVID-19 deaths,2021-07,50-59,"Second dose, less than 21 days ago",31,16093,217.4,,146.3,310.3
5,Non-COVID-19 deaths,2021-07,50-59,"Second dose, at least 21 days ago",1255,471529,263.3,,248.7,277.9
5,Non-COVID-19 deaths,2021-07,50-59,"Third dose or booster, less than 21 days ago",0,0,,,,
5,Non-COVID-19 deaths,2021-07,50-59,"Third dose or booster, at least 21 days ago",0,0,,,,
5,Non-COVID-19 deaths,2021-07,60-69,Unvaccinated,331,22856,1492.6,,1330.1,1655.1
5,Non-COVID-19 deaths,2021-07,60-69,"First dose, less than 21 days ago",4,596,719.7,u,181.1,1874.9
5,Non-COVID-19 deaths,2021-07,60-69,"First dose, at least 21 days ago",372,5595,7282.5,,6527.8,8037.1
5,Non-COVID-19 deaths,2021-07,60-69,"Second dose, less than 21 days ago",56,3673,1743.5,,1287.8,2299.6
5,Non-COVID-19 deaths,2021-07,60-69,"Second dose, at least 21 days ago",2980,414503,722.6,,696.6,748.5
5,Non-COVID-19 deaths,2021-07,60-69,"Third dose or booster, less than 21 days ago",0,0,,,,
5,Non-COVID-19 deaths,2021-07,60-69,"Third dose or booster, at least 21 days ago",0,0,,,,
5,Non-COVID-19 deaths,2021-07,70-79,Unvaccinated,344,10728,3334,,2977.7,3690.4
5,Non-COVID-19 deaths,2021-07,70-79,"First dose, less than 21 days ago",3,204,1587.3,u,318.6,4659.9
5,Non-COVID-19 deaths,2021-07,70-79,"First dose, at least 21 days ago",506,2386,21455.8,,19581,23330.7
5,Non-COVID-19 deaths,2021-07,70-79,"Second dose, less than 21 days ago",49,852,5856.1,,4322.7,7754.1
5,Non-COVID-19 deaths,2021-07,70-79,"Second dose, at least 21 days ago",7152,351284,2053,,2005.4,2100.6
5,Non-COVID-19 deaths,2021-07,70-79,"Third dose or booster, less than 21 days ago",0,0,,,,
5,Non-COVID-19 deaths,2021-07,70-79,"Third dose or booster, at least 21 days ago",0,0,,,,
5,Non-COVID-19 deaths,2021-07,80-89,Unvaccinated,445,4467,9852.1,,8935.7,10768.5
5,Non-COVID-19 deaths,2021-07,80-89,"First dose, less than 21 days ago",8,79,10193.5,u,4400.8,20085.3
5,Non-COVID-19 deaths,2021-07,80-89,"First dose, at least 21 days ago",512,1262,39786.7,,36306.3,43267.1
5,Non-COVID-19 deaths,2021-07,80-89,"Second dose, less than 21 days ago",54,387,13792.2,,10339.6,18022.2
5,Non-COVID-19 deaths,2021-07,80-89,"Second dose, at least 21 days ago",10631,167631,6305.5,,6185.6,6425.4
5,Non-COVID-19 deaths,2021-07,80-89,"Third dose or booster, less than 21 days ago",0,0,,,,
5,Non-COVID-19 deaths,2021-07,80-89,"Third dose or booster, at least 21 days ago",0,0,,,,
5,Non-COVID-19 deaths,2021-07,90+,Unvaccinated,282,1302,21658.6,,19204.2,24339.8
5,Non-COVID-19 deaths,2021-07,90+,"First dose, less than 21 days ago",0,23,,,,
5,Non-COVID-19 deaths,2021-07,90+,"First dose, at least 21 days ago",279,463,60294.7,,53426.3,67801.2
5,Non-COVID-19 deaths,2021-07,90+,"Second dose, less than 21 days ago",34,138,24674.1,,17084.8,34480.9
5,Non-COVID-19 deaths,2021-07,90+,"Second dose, at least 21 days ago",6680,36696,18203.7,,17769.8,18645.6
5,Non-COVID-19 deaths,2021-07,90+,"Third dose or booster, less than 21 days ago",0,0,,,,
5,Non-COVID-19 deaths,2021-07,90+,"Third dose or booster, at least 21 days ago",0,0,,,,
5,Non-COVID-19 deaths,2021-08,18-39,Unvaccinated,75,241373,33.7,,26.4,42.4
5,Non-COVID-19 deaths,2021-08,18-39,"First dose, less than 21 days ago",0,20344,,,,
5,Non-COVID-19 deaths,2021-08,18-39,"First dose, at least 21 days ago",60,220888,38.8,,28.6,51
5,Non-COVID-19 deaths,2021-08,18-39,"Second dose, less than 21 days ago",12,127346,9.7,u,5,17
5,Non-COVID-19 deaths,2021-08,18-39,"Second dose, at least 21 days ago",159,338495,45.3,,37.799999999999997,52.7
5,Non-COVID-19 deaths,2021-08,18-39,"Third dose or booster, less than 21 days ago",0,0,,,,
5,Non-COVID-19 deaths,2021-08,18-39,"Third dose or booster, at least 21 days ago",0,0,,,,
5,Non-COVID-19 deaths,2021-08,40-49,Unvaccinated,117,63422,190.8,,155.9,225.7
5,Non-COVID-19 deaths,2021-08,40-49,"First dose, less than 21 days ago",3,2038,160.3,u,31.6,471.9
5,Non-COVID-19 deaths,2021-08,40-49,"First dose, at least 21 days ago",75,21602,374,,293,470.1
5,Non-COVID-19 deaths,2021-08,40-49,"Second dose, less than 21 days ago",10,23861,46.5,u,21.1,87.3
5,Non-COVID-19 deaths,2021-08,40-49,"Second dose, at least 21 days ago",342,355356,94.3,,84.2,104.3
5,Non-COVID-19 deaths,2021-08,40-49,"Third dose or booster, less than 21 days ago",0,0,,,,
5,Non-COVID-19 deaths,2021-08,40-49,"Third dose or booster, at least 21 days ago",0,0,,,,
5,Non-COVID-19 deaths,2021-08,50-59,Unvaccinated,195,40903,482.5,,414.7,550.3
5,Non-COVID-19 deaths,2021-08,50-59,"First dose, less than 21 days ago",0,927,,,,
5,Non-COVID-19 deaths,2021-08,50-59,"First dose, at least 21 days ago",160,9867,1679.5,,1417.7,1941.3
5,Non-COVID-19 deaths,2021-08,50-59,"Second dose, less than 21 days ago",16,3593,396.6,u,224.5,647.1
5,Non-COVID-19 deaths,2021-08,50-59,"Second dose, at least 21 days ago",1316,489938,264.3,,250,278.6
5,Non-COVID-19 deaths,2021-08,50-59,"Third dose or booster, less than 21 days ago",0,0,,,,
5,Non-COVID-19 deaths,2021-08,50-59,"Third dose or booster, at least 21 days ago",0,0,,,,
5,Non-COVID-19 deaths,2021-08,60-69,Unvaccinated,257,22358,1193.7,,1046.3,1341.1
5,Non-COVID-19 deaths,2021-08,60-69,"First dose, less than 21 days ago",3,357,829,u,150.5,2472.2
5,Non-COVID-19 deaths,2021-08,60-69,"First dose, at least 21 days ago",246,4388,5846.8,,5102.4,6591.2
5,Non-COVID-19 deaths,2021-08,60-69,"Second dose, less than 21 days ago",10,1236,920.6,u,428,1714.7
5,Non-COVID-19 deaths,2021-08,60-69,"Second dose, at least 21 days ago",3040,419528,729.3,,703.3,755.2
5,Non-COVID-19 deaths,2021-08,60-69,"Third dose or booster, less than 21 days ago",0,0,,,,
5,Non-COVID-19 deaths,2021-08,60-69,"Third dose or booster, at least 21 days ago",0,0,,,,
5,Non-COVID-19 deaths,2021-08,70-79,Unvaccinated,349,10572,3491.1,,3120.9,3861.3
5,Non-COVID-19 deaths,2021-08,70-79,"First dose, less than 21 days ago",8,117,7204.7,u,3051.1,14297.5
5,Non-COVID-19 deaths,2021-08,70-79,"First dose, at least 21 days ago",275,1988,14116.3,,12443.2,15789.5
5,Non-COVID-19 deaths,2021-08,70-79,"Second dose, less than 21 days ago",23,406,5974.5,,3777.6,8977.9
5,Non-COVID-19 deaths,2021-08,70-79,"Second dose, at least 21 days ago",7140,353067,2035.6,,1988.4,2082.9
5,Non-COVID-19 deaths,2021-08,70-79,"Third dose or booster, less than 21 days ago",0,0,,,,
5,Non-COVID-19 deaths,2021-08,70-79,"Third dose or booster, at least 21 days ago",0,0,,,,
5,Non-COVID-19 deaths,2021-08,80-89,Unvaccinated,402,4371,9122.5,,8229.8,10015.2
5,Non-COVID-19 deaths,2021-08,80-89,"First dose, less than 21 days ago",4,48,8237.1,u,2224.3,21133.2
5,Non-COVID-19 deaths,2021-08,80-89,"First dose, at least 21 days ago",336,1044,31291.5,,27914.3,34668.8
5,Non-COVID-19 deaths,2021-08,80-89,"Second dose, less than 21 days ago",20,179,11054.8,,6741.2,17089.2
5,Non-COVID-19 deaths,2021-08,80-89,"Second dose, at least 21 days ago",10390,168294,6135.7,,6017.7,6253.7
5,Non-COVID-19 deaths,2021-08,80-89,"Third dose or booster, less than 21 days ago",0,0,,,,
5,Non-COVID-19 deaths,2021-08,80-89,"Third dose or booster, at least 21 days ago",0,0,,,,
5,Non-COVID-19 deaths,2021-08,90+,Unvaccinated,276,1278,21589.4,,19117.1,24292.6
5,Non-COVID-19 deaths,2021-08,90+,"First dose, less than 21 days ago",4,11,35010.8,u,9418.9,89635.3
5,Non-COVID-19 deaths,2021-08,90+,"First dose, at least 21 days ago",198,376,52651.5,,45572.3,60518.6
5,Non-COVID-19 deaths,2021-08,90+,"Second dose, less than 21 days ago",6,62,9717.1,u,3548.3,21150.7
5,Non-COVID-19 deaths,2021-08,90+,"Second dose, at least 21 days ago",6769,37034,18278,,17845.1,18718.7
5,Non-COVID-19 deaths,2021-08,90+,"Third dose or booster, less than 21 days ago",0,0,,,,
5,Non-COVID-19 deaths,2021-08,90+,"Third dose or booster, at least 21 days ago",0,0,,,,
5,Non-COVID-19 deaths,2021-09,18-39,Unvaccinated,70,217989,34.6,,26.9,43.8
5,Non-COVID-19 deaths,2021-09,18-39,"First dose, less than 21 days ago",0,10339,,,,
5,Non-COVID-19 deaths,2021-09,18-39,"First dose, at least 21 days ago",37,94187,56.4,,38.5,79.3
5,Non-COVID-19 deaths,2021-09,18-39,"Second dose, less than 21 days ago",7,88734,10.5,u,2.9,24.1
5,Non-COVID-19 deaths,2021-09,18-39,"Second dose, at least 21 days ago",165,505440,31,,26.2,35.799999999999997
5,Non-COVID-19 deaths,2021-09,18-39,"Third dose or booster, less than 21 days ago",0,696,,,,
5,Non-COVID-19 deaths,2021-09,18-39,"Third dose or booster, at least 21 days ago",0,0,,,,
5,Non-COVID-19 deaths,2021-09,40-49,Unvaccinated,80,59640,140.9,,111.5,175.6
5,Non-COVID-19 deaths,2021-09,40-49,"First dose, less than 21 days ago",3,1288,253.4,u,50,746
5,Non-COVID-19 deaths,2021-09,40-49,"First dose, at least 21 days ago",50,14427,368.2,,272.4,486.4
5,Non-COVID-19 deaths,2021-09,40-49,"Second dose, less than 21 days ago",0,5185,,,,
5,Non-COVID-19 deaths,2021-09,40-49,"Second dose, at least 21 days ago",437,369522,116.8,,105.9,127.8
5,Non-COVID-19 deaths,2021-09,40-49,"Third dose or booster, less than 21 days ago",0,803,,,,
5,Non-COVID-19 deaths,2021-09,40-49,"Third dose or booster, at least 21 days ago",0,0,,,,
5,Non-COVID-19 deaths,2021-09,50-59,Unvaccinated,179,38757,465,,396.8,533.2
5,Non-COVID-19 deaths,2021-09,50-59,"First dose, less than 21 days ago",0,602,,,,
5,Non-COVID-19 deaths,2021-09,50-59,"First dose, at least 21 days ago",114,8089,1460.1,,1190.8,1729.4
5,Non-COVID-19 deaths,2021-09,50-59,"Second dose, less than 21 days ago",6,1711,342.7,u,123.3,750.5
5,Non-COVID-19 deaths,2021-09,50-59,"Second dose, at least 21 days ago",1386,476615,287.5,,272.4,302.7
5,Non-COVID-19 deaths,2021-09,50-59,"Third dose or booster, less than 21 days ago",0,1663,,,,
5,Non-COVID-19 deaths,2021-09,50-59,"Third dose or booster, at least 21 days ago",0,0,,,,
5,Non-COVID-19 deaths,2021-09,60-69,Unvaccinated,299,21374,1441.3,,1276.3,1606.3
5,Non-COVID-19 deaths,2021-09,60-69,"First dose, less than 21 days ago",3,229,1560,u,288.3,4639.8
5,Non-COVID-19 deaths,2021-09,60-69,"First dose, at least 21 days ago",178,3716,5243,,4460.5,6025.5
5,Non-COVID-19 deaths,2021-09,60-69,"Second dose, less than 21 days ago",6,645,1142.7,u,411.5,2501.8
5,Non-COVID-19 deaths,2021-09,60-69,"Second dose, at least 21 days ago",3117,406991,771.2,,744.1,798.3
5,Non-COVID-19 deaths,2021-09,60-69,"Third dose or booster, less than 21 days ago",5,1235,404.6,u,128.1,950.6
5,Non-COVID-19 deaths,2021-09,60-69,"Third dose or booster, at least 21 days ago",0,0,,,,
5,Non-COVID-19 deaths,2021-09,70-79,Unvaccinated,355,10148,3651,,3267.2,4034.9
5,Non-COVID-19 deaths,2021-09,70-79,"First dose, less than 21 days ago",0,71,,,,
5,Non-COVID-19 deaths,2021-09,70-79,"First dose, at least 21 days ago",236,1717,14052,,12254.2,15849.8
5,Non-COVID-19 deaths,2021-09,70-79,"Second dose, less than 21 days ago",3,220,1348.7,u,270.2,3960.7
5,Non-COVID-19 deaths,2021-09,70-79,"Second dose, at least 21 days ago",7191,341118,2119.8,,2070.8,2168.8
5,Non-COVID-19 deaths,2021-09,70-79,"Third dose or booster, less than 21 days ago",10,1493,626,u,284.6,1176.4
5,Non-COVID-19 deaths,2021-09,70-79,"Third dose or booster, at least 21 days ago",0,0,,,,
5,Non-COVID-19 deaths,2021-09,80-89,Unvaccinated,366,4169,8678.7,,7788.6,9568.8
5,Non-COVID-19 deaths,2021-09,80-89,"First dose, less than 21 days ago",0,27,,,,
5,Non-COVID-19 deaths,2021-09,80-89,"First dose, at least 21 days ago",259,906,28128.3,,24667.3,31589.4
5,Non-COVID-19 deaths,2021-09,80-89,"Second dose, less than 21 days ago",5,90,5569.6,u,1805,13004.3
5,Non-COVID-19 deaths,2021-09,80-89,"Second dose, at least 21 days ago",10503,159697,6534.2,,6409.2,6659.2
5,Non-COVID-19 deaths,2021-09,80-89,"Third dose or booster, less than 21 days ago",33,3624,912.9,,628.4,1282.1
5,Non-COVID-19 deaths,2021-09,80-89,"Third dose or booster, at least 21 days ago",0,0,,,,
5,Non-COVID-19 deaths,2021-09,90+,Unvaccinated,222,1222,18164.7,,15853.5,20718
5,Non-COVID-19 deaths,2021-09,90+,"First dose, less than 21 days ago",0,7,,,,
5,Non-COVID-19 deaths,2021-09,90+,"First dose, at least 21 days ago",171,327,52319.8,,44771.1,60776.5
5,Non-COVID-19 deaths,2021-09,90+,"Second dose, less than 21 days ago",3,25,11842.1,u,2380.1,34600.6
5,Non-COVID-19 deaths,2021-09,90+,"Second dose, at least 21 days ago",6795,35489,19146.5,,18693.9,19607.3
5,Non-COVID-19 deaths,2021-09,90+,"Third dose or booster, less than 21 days ago",26,573,4540.6,,2965.3,6653.4
5,Non-COVID-19 deaths,2021-09,90+,"Third dose or booster, at least 21 days ago",0,0,,,,
5,Non-COVID-19 deaths,2021-10,18-39,Unvaccinated,62,215875,30.9,,23.6,39.7
5,Non-COVID-19 deaths,2021-10,18-39,"First dose, less than 21 days ago",0,6310,,,,
5,Non-COVID-19 deaths,2021-10,18-39,"First dose, at least 21 days ago",34,67302,65.9,,44.7,93.3
5,Non-COVID-19 deaths,2021-10,18-39,"Second dose, less than 21 days ago",0,24734,,,,
5,Non-COVID-19 deaths,2021-10,18-39,"Second dose, at least 21 days ago",164,614994,26.3,,22.3,30.3
5,Non-COVID-19 deaths,2021-10,18-39,"Third dose or booster, less than 21 days ago",9,14843,53.4,u,23.4,103
5,Non-COVID-19 deaths,2021-10,18-39,"Third dose or booster, at least 21 days ago",3,3513,73.4,u,15.1,214.5
5,Non-COVID-19 deaths,2021-10,40-49,Unvaccinated,80,60366,137.8,,109,171.8
5,Non-COVID-19 deaths,2021-10,40-49,"First dose, less than 21 days ago",0,987,,,,
5,Non-COVID-19 deaths,2021-10,40-49,"First dose, at least 21 days ago",50,12707,411.4,,304.5,543.5
5,Non-COVID-19 deaths,2021-10,40-49,"Second dose, less than 21 days ago",0,2541,,,,
5,Non-COVID-19 deaths,2021-10,40-49,"Second dose, at least 21 days ago",406,370374,108.2,,97.7,118.7
5,Non-COVID-19 deaths,2021-10,40-49,"Third dose or booster, less than 21 days ago",10,14612,66,u,31.4,121.8
5,Non-COVID-19 deaths,2021-10,40-49,"Third dose or booster, at least 21 days ago",5,3826,136.8,u,43.6,320.7
5,Non-COVID-19 deaths,2021-10,50-59,Unvaccinated,198,39445,506.5,,435.9,577.2
5,Non-COVID-19 deaths,2021-10,50-59,"First dose, less than 21 days ago",0,470,,,,
5,Non-COVID-19 deaths,2021-10,50-59,"First dose, at least 21 days ago",110,7578,1465.2,,1190.1,1740.3
5,Non-COVID-19 deaths,2021-10,50-59,"Second dose, less than 21 days ago",4,1087,376.4,u,100.2,968.9
5,Non-COVID-19 deaths,2021-10,50-59,"Second dose, at least 21 days ago",1414,460098,302.6,,286.8,318.4
5,Non-COVID-19 deaths,2021-10,50-59,"Third dose or booster, less than 21 days ago",33,28390,112.3,,77.1,158
5,Non-COVID-19 deaths,2021-10,50-59,"Third dose or booster, at least 21 days ago",11,7836,142.1,u,70.7,254.7
5,Non-COVID-19 deaths,2021-10,60-69,Unvaccinated,276,21913,1294.3,,1140.1,1448.5
5,Non-COVID-19 deaths,2021-10,60-69,"First dose, less than 21 days ago",0,180,,,,
5,Non-COVID-19 deaths,2021-10,60-69,"First dose, at least 21 days ago",151,3508,4516,,3782.4,5249.7
5,Non-COVID-19 deaths,2021-10,60-69,"Second dose, less than 21 days ago",3,441,886.3,u,182.8,2590.1
5,Non-COVID-19 deaths,2021-10,60-69,"Second dose, at least 21 days ago",3254,388686,844.2,,815.2,873.2
5,Non-COVID-19 deaths,2021-10,60-69,"Third dose or booster, less than 21 days ago",107,28686,369.7,,299.5,439.9
5,Non-COVID-19 deaths,2021-10,60-69,"Third dose or booster, at least 21 days ago",24,6020,411.4,,262.5,613.7
5,Non-COVID-19 deaths,2021-10,70-79,Unvaccinated,349,10422,3493.9,,3123.6,3864.3
5,Non-COVID-19 deaths,2021-10,70-79,"First dose, less than 21 days ago",0,68,,,,
5,Non-COVID-19 deaths,2021-10,70-79,"First dose, at least 21 days ago",215,1626,13435.5,,11635.1,15235.9
5,Non-COVID-19 deaths,2021-10,70-79,"Second dose, less than 21 days ago",10,162,6477.2,u,3087.9,11941.2
5,Non-COVID-19 deaths,2021-10,70-79,"Second dose, at least 21 days ago",7162,272343,2718.5,,2655.2,2781.7
5,Non-COVID-19 deaths,2021-10,70-79,"Third dose or booster, less than 21 days ago",577,72293,758.6,,694.6,822.5
5,Non-COVID-19 deaths,2021-10,70-79,"Third dose or booster, at least 21 days ago",117,10040,1059.3,,854.3,1264.3
5,Non-COVID-19 deaths,2021-10,80-89,Unvaccinated,368,4248,8542,,7668.4,9415.6
5,Non-COVID-19 deaths,2021-10,80-89,"First dose, less than 21 days ago",5,32,15555.9,u,5001.1,36400.9
5,Non-COVID-19 deaths,2021-10,80-89,"First dose, at least 21 days ago",243,839,28328.1,,24732.5,31923.6
5,Non-COVID-19 deaths,2021-10,80-89,"Second dose, less than 21 days ago",15,83,16099.2,u,8931,26670.4
5,Non-COVID-19 deaths,2021-10,80-89,"Second dose, at least 21 days ago",9704,87713,10949.9,,10731.9,11167.9
5,Non-COVID-19 deaths,2021-10,80-89,"Third dose or booster, less than 21 days ago",1595,62838,2532.6,,2408.4,2656.9
5,Non-COVID-19 deaths,2021-10,80-89,"Third dose or booster, at least 21 days ago",543,18609,2908.8,,2664.1,3153.4
5,Non-COVID-19 deaths,2021-10,90+,Unvaccinated,259,1245,20802.4,,18345.7,23496.4
5,Non-COVID-19 deaths,2021-10,90+,"First dose, less than 21 days ago",10,12,83965.5,u,40197.5,154426.2
5,Non-COVID-19 deaths,2021-10,90+,"First dose, at least 21 days ago",156,299,52205.3,,44333.9,61071.1
5,Non-COVID-19 deaths,2021-10,90+,"Second dose, less than 21 days ago",8,31,25584.4,u,11016.1,50414.6
5,Non-COVID-19 deaths,2021-10,90+,"Second dose, at least 21 days ago",6175,22428,27532.1,,26849.6,28227.5
5,Non-COVID-19 deaths,2021-10,90+,"Third dose or booster, less than 21 days ago",1100,11834,9295.5,,8754.2,9861.5
5,Non-COVID-19 deaths,2021-10,90+,"Third dose or booster, at least 21 days ago",349,3166,11024.9,,9898.4,12244.5
5,Non-COVID-19 deaths,2021-11,18-39,Unvaccinated,44,201973,24,,17.4,32.3
5,Non-COVID-19 deaths,2021-11,18-39,"First dose, less than 21 days ago",0,4897,,,,
5,Non-COVID-19 deaths,2021-11,18-39,"First dose, at least 21 days ago",21,55029,51.5,,31.2,79.8
5,Non-COVID-19 deaths,2021-11,18-39,"Second dose, less than 21 days ago",0,12630,,,,
5,Non-COVID-19 deaths,2021-11,18-39,"Second dose, at least 21 days ago",136,593884,23,,19.2,26.9
5,Non-COVID-19 deaths,2021-11,18-39,"Third dose or booster, less than 21 days ago",10,22250,47,u,21.8,87.6
5,Non-COVID-19 deaths,2021-11,18-39,"Third dose or booster, at least 21 days ago",16,26023,60.4,u,33.3,100
5,Non-COVID-19 deaths,2021-11,40-49,Unvaccinated,71,57491,130,,101.3,164.3
5,Non-COVID-19 deaths,2021-11,40-49,"First dose, less than 21 days ago",0,777,,,,
5,Non-COVID-19 deaths,2021-11,40-49,"First dose, at least 21 days ago",25,11016,249.7,,161.2,369.2
5,Non-COVID-19 deaths,2021-11,40-49,"Second dose, less than 21 days ago",0,1795,,,,
5,Non-COVID-19 deaths,2021-11,40-49,"Second dose, at least 21 days ago",338,328535,102.2,,91.3,113.1
5,Non-COVID-19 deaths,2021-11,40-49,"Third dose or booster, less than 21 days ago",29,24615,121.1,,80.7,174
5,Non-COVID-19 deaths,2021-11,40-49,"Third dose or booster, at least 21 days ago",44,25678,162.1,,117.5,218
5,Non-COVID-19 deaths,2021-11,50-59,Unvaccinated,164,37708,439.6,,372.3,507
5,Non-COVID-19 deaths,2021-11,50-59,"First dose, less than 21 days ago",3,395,810.6,u,162.7,2379.8
5,Non-COVID-19 deaths,2021-11,50-59,"First dose, at least 21 days ago",92,6717,1401.2,,1128.4,1719.9
5,Non-COVID-19 deaths,2021-11,50-59,"Second dose, less than 21 days ago",0,890,,,,
5,Non-COVID-19 deaths,2021-11,50-59,"Second dose, at least 21 days ago",1164,364464,316.7,,298.5,334.9
5,Non-COVID-19 deaths,2021-11,50-59,"Third dose or booster, less than 21 days ago",113,65808,167,,135.8,198.2
5,Non-COVID-19 deaths,2021-11,50-59,"Third dose or booster, at least 21 days ago",147,51231,278.6,,233.3,323.9
5,Non-COVID-19 deaths,2021-11,60-69,Unvaccinated,241,21058,1201.5,,1048.4,1354.6
5,Non-COVID-19 deaths,2021-11,60-69,"First dose, less than 21 days ago",5,162,2834.7,u,882.1,6691.2
5,Non-COVID-19 deaths,2021-11,60-69,"First dose, at least 21 days ago",131,3139,4394.7,,3629,5160.3
5,Non-COVID-19 deaths,2021-11,60-69,"Second dose, less than 21 days ago",4,352,1504,u,409.8,3850.9
5,Non-COVID-19 deaths,2021-11,60-69,"Second dose, at least 21 days ago",2450,237074,1107.5,,1062.9,1152.2
5,Non-COVID-19 deaths,2021-11,60-69,"Third dose or booster, less than 21 days ago",385,115054,319.8,,287.1,352.6
5,Non-COVID-19 deaths,2021-11,60-69,"Third dose or booster, at least 21 days ago",414,58959,681.3,,615,747.5
5,Non-COVID-19 deaths,2021-11,70-79,Unvaccinated,306,10021,3179.6,,2819.8,3539.3
5,Non-COVID-19 deaths,2021-11,70-79,"First dose, less than 21 days ago",3,63,4978.7,u,1015,14578.1
5,Non-COVID-19 deaths,2021-11,70-79,"First dose, at least 21 days ago",156,1459,10893.5,,9180.3,12606.7
5,Non-COVID-19 deaths,2021-11,70-79,"Second dose, less than 21 days ago",10,137,7164.1,u,3421,13198.3
5,Non-COVID-19 deaths,2021-11,70-79,"Second dose, at least 21 days ago",4740,82481,6199.5,,6020,6379.1
5,Non-COVID-19 deaths,2021-11,70-79,"Third dose or booster, less than 21 days ago",1115,124278,930,,875,984.9
5,Non-COVID-19 deaths,2021-11,70-79,"Third dose or booster, at least 21 days ago",1942,136864,1366.8,,1304.9,1428.8
5,Non-COVID-19 deaths,2021-11,80-89,Unvaccinated,386,4048,9415.3,,8475.1,10355.5
5,Non-COVID-19 deaths,2021-11,80-89,"First dose, less than 21 days ago",5,32,16030,u,5116.7,37583
5,Non-COVID-19 deaths,2021-11,80-89,"First dose, at least 21 days ago",175,736,23221.9,,19754.5,26689.3
5,Non-COVID-19 deaths,2021-11,80-89,"Second dose, less than 21 days ago",9,72,12054.4,u,5443.8,22995.8
5,Non-COVID-19 deaths,2021-11,80-89,"Second dose, at least 21 days ago",5948,27309,21376.8,,20830.4,21923.2
5,Non-COVID-19 deaths,2021-11,80-89,"Third dose or booster, less than 21 days ago",1411,32217,4377.8,,4149.4,4606.3
5,Non-COVID-19 deaths,2021-11,80-89,"Third dose or booster, at least 21 days ago",4411,104413,4212.4,,4088.1,4336.8
5,Non-COVID-19 deaths,2021-11,90+,Unvaccinated,243,1180,20596.1,,18087.6,23355.2
5,Non-COVID-19 deaths,2021-11,90+,"First dose, less than 21 days ago",7,10,67265.2,u,26948.1,138599
5,Non-COVID-19 deaths,2021-11,90+,"First dose, at least 21 days ago",108,257,42066,,34506.8,50788.6
5,Non-COVID-19 deaths,2021-11,90+,"Second dose, less than 21 days ago",11,26,41855.9,u,20865.6,74897
5,Non-COVID-19 deaths,2021-11,90+,"Second dose, at least 21 days ago",3623,8893,40741.8,,39425.8,42090.5
5,Non-COVID-19 deaths,2021-11,90+,"Third dose or booster, less than 21 days ago",1102,7462,14768.6,,13909.4,15667
5,Non-COVID-19 deaths,2021-11,90+,"Third dose or booster, at least 21 days ago",3119,19954,15630.6,,15086.8,16189
5,Non-COVID-19 deaths,2021-12,18-39,Unvaccinated,54,200434,28.7,,21.5,37.5
5,Non-COVID-19 deaths,2021-12,18-39,"First dose, less than 21 days ago",0,6255,,,,
5,Non-COVID-19 deaths,2021-12,18-39,"First dose, at least 21 days ago",16,47552,42.5,u,23.4,70.3
5,Non-COVID-19 deaths,2021-12,18-39,"Second dose, less than 21 days ago",0,12481,,,,
5,Non-COVID-19 deaths,2021-12,18-39,"Second dose, at least 21 days ago",90,489524,19,,15.3,23.4
5,Non-COVID-19 deaths,2021-12,18-39,"Third dose or booster, less than 21 days ago",19,126823,13.6,u,8.1,21.4
5,Non-COVID-19 deaths,2021-12,18-39,"Third dose or booster, at least 21 days ago",37,63819,53.6,,36.2,76
5,Non-COVID-19 deaths,2021-12,40-49,Unvaccinated,56,58301,101.8,,76.7,132.5
5,Non-COVID-19 deaths,2021-12,40-49,"First dose, less than 21 days ago",0,946,,,,
5,Non-COVID-19 deaths,2021-12,40-49,"First dose, at least 21 days ago",30,9952,312.5,,209.9,447.2
5,Non-COVID-19 deaths,2021-12,40-49,"Second dose, less than 21 days ago",0,1881,,,,
5,Non-COVID-19 deaths,2021-12,40-49,"Second dose, at least 21 days ago",225,202850,111.6,,97,126.2
5,Non-COVID-19 deaths,2021-12,40-49,"Third dose or booster, less than 21 days ago",37,117254,30.6,,21.5,42.2
5,Non-COVID-19 deaths,2021-12,40-49,"Third dose or booster, at least 21 days ago",108,73249,143.7,,116.4,171.1
5,Non-COVID-19 deaths,2021-12,50-59,Unvaccinated,184,38397,485.1,,415,555.3
5,Non-COVID-19 deaths,2021-12,50-59,"First dose, less than 21 days ago",3,488,706.4,u,145.7,2064.5
5,Non-COVID-19 deaths,2021-12,50-59,"First dose, at least 21 days ago",75,6282,1227.2,,964.2,1539.5
5,Non-COVID-19 deaths,2021-12,50-59,"Second dose, less than 21 days ago",0,901,,,,
5,Non-COVID-19 deaths,2021-12,50-59,"Second dose, at least 21 days ago",851,150148,575.2,,536.5,613.8
5,Non-COVID-19 deaths,2021-12,50-59,"Third dose or booster, less than 21 days ago",198,168623,114.9,,98.9,131
5,Non-COVID-19 deaths,2021-12,50-59,"Third dose or booster, at least 21 days ago",452,179867,245.1,,222.2,267.9
