cause,year,sex,dead,pop
"All other and unspecified diseases of digestive system (K00-K28,K30-K38,K57-K92)",2020,Female,41,1826869
"All other and unspecified diseases of digestive system (K00-K28,K30-K38,K57-K92)",2020,Male,66,1908141
"All other and unspecified diseases of digestive system (K00-K28,K30-K38,K57-K92)",2021,Female,41,1742991
"All other and unspecified diseases of digestive system (K00-K28,K30-K38,K57-K92)",2021,Male,48,1821502
"All other and unspecified diseases of digestive system (K00-K28,K30-K38,K57-K92)",2022,Female,34,1800246
"All other and unspecified diseases of digestive system (K00-K28,K30-K38,K57-K92)",2022,Male,44,1882867
"All other and unspecified diseases of digestive system (K00-K28,K30-K38,K57-K92)",2023,Female,35,1784146
"All other and unspecified diseases of digestive system (K00-K28,K30-K38,K57-K92)",2023,Male,67,1864508
"All other and unspecified diseases of digestive system (K00-K28,K30-K38,K57-K92)",2024,Female,40,1784146
"All other and unspecified diseases of digestive system (K00-K28,K30-K38,K57-K92)",2024,Male,48,1864508
"All other and unspecified diseases of digestive system (K00-K28,K30-K38,K57-K92)",2025,Female,21,1784146
"All other and unspecified diseases of digestive system (K00-K28,K30-K38,K57-K92)",2025,Male,25,1864508
Diseases of the genitourinary system (N00-N95),2018,Female,38,1879703
Diseases of the genitourinary system (N00-N95),2018,Male,57,1968505
Diseases of the genitourinary system (N00-N95),2019,Female,36,1847935
Diseases of the genitourinary system (N00-N95),2019,Male,43,1935117
Diseases of the genitourinary system (N00-N95),2020,Female,23,1826869
Diseases of the genitourinary system (N00-N95),2020,Male,39,1908141
Diseases of the genitourinary system (N00-N95),2021,Female,28,1742991
Diseases of the genitourinary system (N00-N95),2021,Male,47,1821502
Diseases of the genitourinary system (N00-N95),2022,Female,23,1800246
Diseases of the genitourinary system (N00-N95),2022,Male,31,1882867
Diseases of the genitourinary system (N00-N95),2023,Female,11,1784146
Diseases of the genitourinary system (N00-N95),2023,Male,28,1864508
Diseases of the genitourinary system (N00-N95),2024,Female,26,1784146
Diseases of the genitourinary system (N00-N95),2024,Male,32,1864508
Diseases of the genitourinary system (N00-N95),2025,Male,13,1864508
"Other and unspecified diseases of genitourinary system (N00-N15,N20-N23,N26,N28-N95)",2018,Female,12,1879703
"Other and unspecified diseases of genitourinary system (N00-N15,N20-N23,N26,N28-N95)",2018,Male,14,1968505
"Other and unspecified diseases of genitourinary system (N00-N15,N20-N23,N26,N28-N95)",2019,Male,15,1935117
"Other and unspecified diseases of genitourinary system (N00-N15,N20-N23,N26,N28-N95)",2020,Male,15,1908141
"Other and unspecified diseases of genitourinary system (N00-N15,N20-N23,N26,N28-N95)",2021,Female,13,1742991
"Other and unspecified diseases of genitourinary system (N00-N15,N20-N23,N26,N28-N95)",2021,Male,21,1821502
"Other and unspecified diseases of genitourinary system (N00-N15,N20-N23,N26,N28-N95)",2022,Male,10,1882867
"Other and unspecified diseases of genitourinary system (N00-N15,N20-N23,N26,N28-N95)",2024,Male,10,1864508
Certain conditions originating in the perinatal period (P00-P96),2018,Female,4569,1879703
Certain conditions originating in the perinatal period (P00-P96),2018,Male,6002,1968505
Certain conditions originating in the perinatal period (P00-P96),2019,Female,4493,1847935
Certain conditions originating in the perinatal period (P00-P96),2019,Male,5801,1935117
Certain conditions originating in the perinatal period (P00-P96),2020,Female,4233,1826869
Certain conditions originating in the perinatal period (P00-P96),2020,Male,5317,1908141
Certain conditions originating in the perinatal period (P00-P96),2021,Female,4242,1742991
Certain conditions originating in the perinatal period (P00-P96),2021,Male,5192,1821502
Certain conditions originating in the perinatal period (P00-P96),2022,Female,4452,1800246
Certain conditions originating in the perinatal period (P00-P96),2022,Male,5616,1882867
Certain conditions originating in the perinatal period (P00-P96),2023,Female,4361,1784146
Certain conditions originating in the perinatal period (P00-P96),2023,Male,5531,1864508
Certain conditions originating in the perinatal period (P00-P96),2024,Female,4485,1784146
Certain conditions originating in the perinatal period (P00-P96),2024,Male,5417,1864508
Certain conditions originating in the perinatal period (P00-P96),2025,Female,2477,1784146
Certain conditions originating in the perinatal period (P00-P96),2025,Male,2936,1864508
"Newborn affected by maternal factors and by complications of pregnancy, labor and delivery (P00-P04)",2018,Female,1042,1879703
"Newborn affected by maternal factors and by complications of pregnancy, labor and delivery (P00-P04)",2018,Male,1346,1968505
"Newborn affected by maternal factors and by complications of pregnancy, labor and delivery (P00-P04)",2019,Female,999,1847935
"Newborn affected by maternal factors and by complications of pregnancy, labor and delivery (P00-P04)",2019,Male,1242,1935117
"Newborn affected by maternal factors and by complications of pregnancy, labor and delivery (P00-P04)",2020,Female,940,1826869
"Newborn affected by maternal factors and by complications of pregnancy, labor and delivery (P00-P04)",2020,Male,1171,1908141
"Newborn affected by maternal factors and by complications of pregnancy, labor and delivery (P00-P04)",2021,Female,936,1742991
"Newborn affected by maternal factors and by complications of pregnancy, labor and delivery (P00-P04)",2021,Male,1139,1821502
"Newborn affected by maternal factors and by complications of pregnancy, labor and delivery (P00-P04)",2022,Female,976,1800246
"Newborn affected by maternal factors and by complications of pregnancy, labor and delivery (P00-P04)",2022,Male,1248,1882867
"Newborn affected by maternal factors and by complications of pregnancy, labor and delivery (P00-P04)",2023,Female,916,1784146
"Newborn affected by maternal factors and by complications of pregnancy, labor and delivery (P00-P04)",2023,Male,1121,1864508
"Newborn affected by maternal factors and by complications of pregnancy, labor and delivery (P00-P04)",2024,Female,984,1784146
"Newborn affected by maternal factors and by complications of pregnancy, labor and delivery (P00-P04)",2024,Male,1113,1864508
"Newborn affected by maternal factors and by complications of pregnancy, labor and delivery (P00-P04)",2025,Female,502,1784146
"Newborn affected by maternal factors and by complications of pregnancy, labor and delivery (P00-P04)",2025,Male,643,1864508
Newborn affected by incompetent cervix (P01.0),2018,Female,162,1879703
Newborn affected by incompetent cervix (P01.0),2018,Male,227,1968505
Newborn affected by incompetent cervix (P01.0),2019,Female,160,1847935
Newborn affected by incompetent cervix (P01.0),2019,Male,213,1935117
Newborn affected by incompetent cervix (P01.0),2020,Female,140,1826869
Newborn affected by incompetent cervix (P01.0),2020,Male,166,1908141
Newborn affected by incompetent cervix (P01.0),2021,Female,163,1742991
Newborn affected by incompetent cervix (P01.0),2021,Male,174,1821502
Newborn affected by incompetent cervix (P01.0),2022,Female,147,1800246
Newborn affected by incompetent cervix (P01.0),2022,Male,167,1882867
Newborn affected by incompetent cervix (P01.0),2023,Female,142,1784146
Newborn affected by incompetent cervix (P01.0),2023,Male,163,1864508
Newborn affected by incompetent cervix (P01.0),2024,Female,145,1784146
Newborn affected by incompetent cervix (P01.0),2024,Male,166,1864508
Newborn affected by incompetent cervix (P01.0),2025,Female,104,1784146
Newborn affected by incompetent cervix (P01.0),2025,Male,99,1864508
Newborn affected by premature rupture of membranes (P01.1),2018,Female,309,1879703
Newborn affected by premature rupture of membranes (P01.1),2018,Male,402,1968505
Newborn affected by premature rupture of membranes (P01.1),2019,Female,284,1847935
Newborn affected by premature rupture of membranes (P01.1),2019,Male,344,1935117
Newborn affected by premature rupture of membranes (P01.1),2020,Female,255,1826869
Newborn affected by premature rupture of membranes (P01.1),2020,Male,358,1908141
Newborn affected by premature rupture of membranes (P01.1),2021,Female,259,1742991
Newborn affected by premature rupture of membranes (P01.1),2021,Male,310,1821502
Newborn affected by premature rupture of membranes (P01.1),2022,Female,263,1800246
Newborn affected by premature rupture of membranes (P01.1),2022,Male,378,1882867
Newborn affected by premature rupture of membranes (P01.1),2023,Female,275,1784146
Newborn affected by premature rupture of membranes (P01.1),2023,Male,317,1864508
Newborn affected by premature rupture of membranes (P01.1),2024,Female,315,1784146
Newborn affected by premature rupture of membranes (P01.1),2024,Male,349,1864508
Newborn affected by premature rupture of membranes (P01.1),2025,Female,146,1784146
Newborn affected by premature rupture of membranes (P01.1),2025,Male,193,1864508
Newborn affected by multiple pregnancy (P01.5),2018,Female,37,1879703
Newborn affected by multiple pregnancy (P01.5),2018,Male,66,1968505
Newborn affected by multiple pregnancy (P01.5),2019,Female,38,1847935
Newborn affected by multiple pregnancy (P01.5),2019,Male,42,1935117
Newborn affected by multiple pregnancy (P01.5),2020,Female,39,1826869
Newborn affected by multiple pregnancy (P01.5),2020,Male,35,1908141
Newborn affected by multiple pregnancy (P01.5),2021,Female,39,1742991
Newborn affected by multiple pregnancy (P01.5),2021,Male,40,1821502
Newborn affected by multiple pregnancy (P01.5),2022,Female,33,1800246
Newborn affected by multiple pregnancy (P01.5),2022,Male,36,1882867
Newborn affected by multiple pregnancy (P01.5),2023,Female,24,1784146
Newborn affected by multiple pregnancy (P01.5),2023,Male,41,1864508
Newborn affected by multiple pregnancy (P01.5),2024,Female,30,1784146
Newborn affected by multiple pregnancy (P01.5),2024,Male,32,1864508
Newborn affected by multiple pregnancy (P01.5),2025,Female,12,1784146
Newborn affected by multiple pregnancy (P01.5),2025,Male,15,1864508
"Newborn affected by other maternal complications of pregnancy (P01.2-P01.4,P01.6-P01.9)",2018,Female,59,1879703
"Newborn affected by other maternal complications of pregnancy (P01.2-P01.4,P01.6-P01.9)",2018,Male,96,1968505
"Newborn affected by other maternal complications of pregnancy (P01.2-P01.4,P01.6-P01.9)",2019,Female,59,1847935
"Newborn affected by other maternal complications of pregnancy (P01.2-P01.4,P01.6-P01.9)",2019,Male,105,1935117
"Newborn affected by other maternal complications of pregnancy (P01.2-P01.4,P01.6-P01.9)",2020,Female,53,1826869
"Newborn affected by other maternal complications of pregnancy (P01.2-P01.4,P01.6-P01.9)",2020,Male,70,1908141
"Newborn affected by other maternal complications of pregnancy (P01.2-P01.4,P01.6-P01.9)",2021,Female,52,1742991
"Newborn affected by other maternal complications of pregnancy (P01.2-P01.4,P01.6-P01.9)",2021,Male,76,1821502
"Newborn affected by other maternal complications of pregnancy (P01.2-P01.4,P01.6-P01.9)",2022,Female,79,1800246
"Newborn affected by other maternal complications of pregnancy (P01.2-P01.4,P01.6-P01.9)",2022,Male,112,1882867
"Newborn affected by other maternal complications of pregnancy (P01.2-P01.4,P01.6-P01.9)",2023,Female,69,1784146
"Newborn affected by other maternal complications of pregnancy (P01.2-P01.4,P01.6-P01.9)",2023,Male,110,1864508
"Newborn affected by other maternal complications of pregnancy (P01.2-P01.4,P01.6-P01.9)",2024,Female,61,1784146
"Newborn affected by other maternal complications of pregnancy (P01.2-P01.4,P01.6-P01.9)",2024,Male,95,1864508
"Newborn affected by other maternal complications of pregnancy (P01.2-P01.4,P01.6-P01.9)",2025,Female,35,1784146
"Newborn affected by other maternal complications of pregnancy (P01.2-P01.4,P01.6-P01.9)",2025,Male,57,1864508
Newborn affected by complications involving placenta (P02.0-P02.3),2018,Female,188,1879703
Newborn affected by complications involving placenta (P02.0-P02.3),2018,Male,242,1968505
Newborn affected by complications involving placenta (P02.0-P02.3),2019,Female,195,1847935
Newborn affected by complications involving placenta (P02.0-P02.3),2019,Male,217,1935117
Newborn affected by complications involving placenta (P02.0-P02.3),2020,Female,179,1826869
Newborn affected by complications involving placenta (P02.0-P02.3),2020,Male,235,1908141
Newborn affected by complications involving placenta (P02.0-P02.3),2021,Female,177,1742991
Newborn affected by complications involving placenta (P02.0-P02.3),2021,Male,233,1821502
Newborn affected by complications involving placenta (P02.0-P02.3),2022,Female,179,1800246
Newborn affected by complications involving placenta (P02.0-P02.3),2022,Male,215,1882867
Newborn affected by complications involving placenta (P02.0-P02.3),2023,Female,151,1784146
Newborn affected by complications involving placenta (P02.0-P02.3),2023,Male,193,1864508
Newborn affected by complications involving placenta (P02.0-P02.3),2024,Female,170,1784146
Newborn affected by complications involving placenta (P02.0-P02.3),2024,Male,194,1864508
Newborn affected by complications involving placenta (P02.0-P02.3),2025,Female,82,1784146
Newborn affected by complications involving placenta (P02.0-P02.3),2025,Male,120,1864508
Newborn affected by complications involving cord (P02.4-P02.6),2018,Female,22,1879703
Newborn affected by complications involving cord (P02.4-P02.6),2018,Male,24,1968505
Newborn affected by complications involving cord (P02.4-P02.6),2019,Male,26,1935117
Newborn affected by complications involving cord (P02.4-P02.6),2020,Female,16,1826869
Newborn affected by complications involving cord (P02.4-P02.6),2020,Male,22,1908141
Newborn affected by complications involving cord (P02.4-P02.6),2021,Female,20,1742991
Newborn affected by complications involving cord (P02.4-P02.6),2021,Male,25,1821502
Newborn affected by complications involving cord (P02.4-P02.6),2022,Female,27,1800246
Newborn affected by complications involving cord (P02.4-P02.6),2022,Male,17,1882867
Newborn affected by complications involving cord (P02.4-P02.6),2023,Female,17,1784146
Newborn affected by complications involving cord (P02.4-P02.6),2023,Male,25,1864508
Newborn affected by complications involving cord (P02.4-P02.6),2024,Female,16,1784146
Newborn affected by complications involving cord (P02.4-P02.6),2024,Male,28,1864508
Newborn affected by complications involving cord (P02.4-P02.6),2025,Female,12,1784146
Newborn affected by complications involving cord (P02.4-P02.6),2025,Male,21,1864508
Newborn affected by chorioamnionitis (P02.7),2018,Female,128,1879703
Newborn affected by chorioamnionitis (P02.7),2018,Male,117,1968505
Newborn affected by chorioamnionitis (P02.7),2019,Female,133,1847935
Newborn affected by chorioamnionitis (P02.7),2019,Male,160,1935117
Newborn affected by chorioamnionitis (P02.7),2020,Female,125,1826869
Newborn affected by chorioamnionitis (P02.7),2020,Male,122,1908141
Newborn affected by chorioamnionitis (P02.7),2021,Female,101,1742991
Newborn affected by chorioamnionitis (P02.7),2021,Male,114,1821502
Newborn affected by chorioamnionitis (P02.7),2022,Female,99,1800246
Newborn affected by chorioamnionitis (P02.7),2022,Male,111,1882867
Newborn affected by chorioamnionitis (P02.7),2023,Female,82,1784146
Newborn affected by chorioamnionitis (P02.7),2023,Male,98,1864508
Newborn affected by chorioamnionitis (P02.7),2024,Female,96,1784146
Newborn affected by chorioamnionitis (P02.7),2024,Male,86,1864508
Newborn affected by chorioamnionitis (P02.7),2025,Female,40,1784146
Newborn affected by chorioamnionitis (P02.7),2025,Male,55,1864508
Disorders related to length of gestation and fetal malnutrition (P05-P08),2018,Female,1636,1879703
Disorders related to length of gestation and fetal malnutrition (P05-P08),2018,Male,2159,1968505
Disorders related to length of gestation and fetal malnutrition (P05-P08),2019,Female,1532,1847935
Disorders related to length of gestation and fetal malnutrition (P05-P08),2019,Male,2023,1935117
Disorders related to length of gestation and fetal malnutrition (P05-P08),2020,Female,1447,1826869
Disorders related to length of gestation and fetal malnutrition (P05-P08),2020,Male,1788,1908141
Disorders related to length of gestation and fetal malnutrition (P05-P08),2021,Female,1382,1742991
Disorders related to length of gestation and fetal malnutrition (P05-P08),2021,Male,1653,1821502
Disorders related to length of gestation and fetal malnutrition (P05-P08),2022,Female,1353,1800246
Disorders related to length of gestation and fetal malnutrition (P05-P08),2022,Male,1614,1882867
Disorders related to length of gestation and fetal malnutrition (P05-P08),2023,Female,1351,1784146
Disorders related to length of gestation and fetal malnutrition (P05-P08),2023,Male,1677,1864508
Disorders related to length of gestation and fetal malnutrition (P05-P08),2024,Female,1382,1784146
Disorders related to length of gestation and fetal malnutrition (P05-P08),2024,Male,1655,1864508
Disorders related to length of gestation and fetal malnutrition (P05-P08),2025,Female,726,1784146
Disorders related to length of gestation and fetal malnutrition (P05-P08),2025,Male,887,1864508
"Extremely low birth weight or extreme immaturity (P07.0,P07.2)",2018,Female,1249,1879703
"Extremely low birth weight or extreme immaturity (P07.0,P07.2)",2018,Male,1606,1968505
"Extremely low birth weight or extreme immaturity (P07.0,P07.2)",2019,Female,1141,1847935
"Extremely low birth weight or extreme immaturity (P07.0,P07.2)",2019,Male,1525,1935117
"Extremely low birth weight or extreme immaturity (P07.0,P07.2)",2020,Female,1053,1826869
"Extremely low birth weight or extreme immaturity (P07.0,P07.2)",2020,Male,1359,1908141
"Extremely low birth weight or extreme immaturity (P07.0,P07.2)",2021,Female,1034,1742991
"Extremely low birth weight or extreme immaturity (P07.0,P07.2)",2021,Male,1228,1821502
"Extremely low birth weight or extreme immaturity (P07.0,P07.2)",2022,Female,1002,1800246
"Extremely low birth weight or extreme immaturity (P07.0,P07.2)",2022,Male,1211,1882867
"Extremely low birth weight or extreme immaturity (P07.0,P07.2)",2023,Female,975,1784146
"Extremely low birth weight or extreme immaturity (P07.0,P07.2)",2023,Male,1221,1864508
"Extremely low birth weight or extreme immaturity (P07.0,P07.2)",2024,Female,994,1784146
"Extremely low birth weight or extreme immaturity (P07.0,P07.2)",2024,Male,1217,1864508
"Extremely low birth weight or extreme immaturity (P07.0,P07.2)",2025,Female,527,1784146
"Extremely low birth weight or extreme immaturity (P07.0,P07.2)",2025,Male,681,1864508
"Other low birth weight or preterm (P07.1,P07.3)",2018,Female,323,1879703
"Other low birth weight or preterm (P07.1,P07.3)",2018,Male,501,1968505
"Other low birth weight or preterm (P07.1,P07.3)",2019,Female,340,1847935
"Other low birth weight or preterm (P07.1,P07.3)",2019,Male,439,1935117
"Other low birth weight or preterm (P07.1,P07.3)",2020,Female,347,1826869
"Other low birth weight or preterm (P07.1,P07.3)",2020,Male,382,1908141
"Other low birth weight or preterm (P07.1,P07.3)",2021,Female,310,1742991
"Other low birth weight or preterm (P07.1,P07.3)",2021,Male,374,1821502
"Other low birth weight or preterm (P07.1,P07.3)",2022,Female,310,1800246
"Other low birth weight or preterm (P07.1,P07.3)",2022,Male,361,1882867
"Other low birth weight or preterm (P07.1,P07.3)",2023,Female,314,1784146
"Other low birth weight or preterm (P07.1,P07.3)",2023,Male,412,1864508
"Other low birth weight or preterm (P07.1,P07.3)",2024,Female,338,1784146
"Other low birth weight or preterm (P07.1,P07.3)",2024,Male,392,1864508
"Other low birth weight or preterm (P07.1,P07.3)",2025,Female,172,1784146
"Other low birth weight or preterm (P07.1,P07.3)",2025,Male,187,1864508
Intrauterine hypoxia (P20),2018,Female,76,1879703
Intrauterine hypoxia (P20),2018,Male,94,1968505
Intrauterine hypoxia (P20),2019,Female,89,1847935
Intrauterine hypoxia (P20),2019,Male,96,1935117
Intrauterine hypoxia (P20),2020,Female,78,1826869
Intrauterine hypoxia (P20),2020,Male,92,1908141
Intrauterine hypoxia (P20),2021,Female,88,1742991
Intrauterine hypoxia (P20),2021,Male,101,1821502
Intrauterine hypoxia (P20),2022,Female,91,1800246
Intrauterine hypoxia (P20),2022,Male,122,1882867
Intrauterine hypoxia (P20),2023,Female,95,1784146
Intrauterine hypoxia (P20),2023,Male,127,1864508
Intrauterine hypoxia (P20),2024,Female,100,1784146
Intrauterine hypoxia (P20),2024,Male,116,1864508
Intrauterine hypoxia (P20),2025,Female,53,1784146
Intrauterine hypoxia (P20),2025,Male,64,1864508
Birth asphyxia (P21),2018,Female,63,1879703
Birth asphyxia (P21),2018,Male,76,1968505
Birth asphyxia (P21),2019,Female,68,1847935
Birth asphyxia (P21),2019,Male,83,1935117
Birth asphyxia (P21),2020,Female,56,1826869
Birth asphyxia (P21),2020,Male,81,1908141
Birth asphyxia (P21),2021,Female,93,1742991
Birth asphyxia (P21),2021,Male,76,1821502
Birth asphyxia (P21),2022,Female,75,1800246
Birth asphyxia (P21),2022,Male,74,1882867
Birth asphyxia (P21),2023,Female,74,1784146
Birth asphyxia (P21),2023,Male,69,1864508
Birth asphyxia (P21),2024,Female,79,1784146
Birth asphyxia (P21),2024,Male,71,1864508
Birth asphyxia (P21),2025,Female,46,1784146
Birth asphyxia (P21),2025,Male,50,1864508
Other respiratory conditions originating in the perinatal period (P23-P28),2018,Female,316,1879703
Other respiratory conditions originating in the perinatal period (P23-P28),2018,Male,432,1968505
Other respiratory conditions originating in the perinatal period (P23-P28),2019,Female,320,1847935
Other respiratory conditions originating in the perinatal period (P23-P28),2019,Male,467,1935117
Other respiratory conditions originating in the perinatal period (P23-P28),2020,Female,308,1826869
Other respiratory conditions originating in the perinatal period (P23-P28),2020,Male,390,1908141
Other respiratory conditions originating in the perinatal period (P23-P28),2021,Female,281,1742991
Other respiratory conditions originating in the perinatal period (P23-P28),2021,Male,426,1821502
Other respiratory conditions originating in the perinatal period (P23-P28),2022,Female,353,1800246
Other respiratory conditions originating in the perinatal period (P23-P28),2022,Male,491,1882867
Other respiratory conditions originating in the perinatal period (P23-P28),2023,Female,366,1784146
Other respiratory conditions originating in the perinatal period (P23-P28),2023,Male,500,1864508
Other respiratory conditions originating in the perinatal period (P23-P28),2024,Female,344,1784146
Other respiratory conditions originating in the perinatal period (P23-P28),2024,Male,438,1864508
Other respiratory conditions originating in the perinatal period (P23-P28),2025,Female,213,1784146
Other respiratory conditions originating in the perinatal period (P23-P28),2025,Male,233,1864508
All other respiratory conditions originating in the perinatal period (P28.2-P28.9),2018,Female,29,1879703
All other respiratory conditions originating in the perinatal period (P28.2-P28.9),2018,Male,33,1968505
All other respiratory conditions originating in the perinatal period (P28.2-P28.9),2019,Female,30,1847935
All other respiratory conditions originating in the perinatal period (P28.2-P28.9),2019,Male,41,1935117
All other respiratory conditions originating in the perinatal period (P28.2-P28.9),2020,Female,29,1826869
All other respiratory conditions originating in the perinatal period (P28.2-P28.9),2020,Male,46,1908141
All other respiratory conditions originating in the perinatal period (P28.2-P28.9),2021,Female,19,1742991
All other respiratory conditions originating in the perinatal period (P28.2-P28.9),2021,Male,32,1821502
All other respiratory conditions originating in the perinatal period (P28.2-P28.9),2022,Female,30,1800246
All other respiratory conditions originating in the perinatal period (P28.2-P28.9),2022,Male,50,1882867
All other respiratory conditions originating in the perinatal period (P28.2-P28.9),2023,Female,33,1784146
All other respiratory conditions originating in the perinatal period (P28.2-P28.9),2023,Male,39,1864508
All other respiratory conditions originating in the perinatal period (P28.2-P28.9),2024,Female,35,1784146
All other respiratory conditions originating in the perinatal period (P28.2-P28.9),2024,Male,41,1864508
All other respiratory conditions originating in the perinatal period (P28.2-P28.9),2025,Female,23,1784146
All other respiratory conditions originating in the perinatal period (P28.2-P28.9),2025,Male,19,1864508
Infections specific to the perinatal period (P35-P39),2018,Female,314,1879703
Infections specific to the perinatal period (P35-P39),2018,Male,407,1968505
Infections specific to the perinatal period (P35-P39),2019,Female,332,1847935
Infections specific to the perinatal period (P35-P39),2019,Male,428,1935117
Infections specific to the perinatal period (P35-P39),2020,Female,288,1826869
Infections specific to the perinatal period (P35-P39),2020,Male,410,1908141
Infections specific to the perinatal period (P35-P39),2021,Female,312,1742991
Infections specific to the perinatal period (P35-P39),2021,Male,404,1821502
Infections specific to the perinatal period (P35-P39),2022,Female,356,1800246
Infections specific to the perinatal period (P35-P39),2022,Male,452,1882867
Infections specific to the perinatal period (P35-P39),2023,Female,346,1784146
Infections specific to the perinatal period (P35-P39),2023,Male,463,1864508
Infections specific to the perinatal period (P35-P39),2024,Female,340,1784146
Infections specific to the perinatal period (P35-P39),2024,Male,435,1864508
Infections specific to the perinatal period (P35-P39),2025,Female,209,1784146
Infections specific to the perinatal period (P35-P39),2025,Male,216,1864508
"All other infections specific to the perinatal period (P35,P37,P39)",2018,Female,64,1879703
"All other infections specific to the perinatal period (P35,P37,P39)",2018,Male,78,1968505
"All other infections specific to the perinatal period (P35,P37,P39)",2019,Female,72,1847935
"All other infections specific to the perinatal period (P35,P37,P39)",2019,Male,84,1935117
"All other infections specific to the perinatal period (P35,P37,P39)",2020,Female,57,1826869
"All other infections specific to the perinatal period (P35,P37,P39)",2020,Male,96,1908141
"All other infections specific to the perinatal period (P35,P37,P39)",2021,Female,69,1742991
"All other infections specific to the perinatal period (P35,P37,P39)",2021,Male,88,1821502
"All other infections specific to the perinatal period (P35,P37,P39)",2022,Female,86,1800246
"All other infections specific to the perinatal period (P35,P37,P39)",2022,Male,86,1882867
"All other infections specific to the perinatal period (P35,P37,P39)",2023,Female,83,1784146
"All other infections specific to the perinatal period (P35,P37,P39)",2023,Male,104,1864508
"All other infections specific to the perinatal period (P35,P37,P39)",2024,Female,84,1784146
"All other infections specific to the perinatal period (P35,P37,P39)",2024,Male,87,1864508
"All other infections specific to the perinatal period (P35,P37,P39)",2025,Female,61,1784146
"All other infections specific to the perinatal period (P35,P37,P39)",2025,Male,50,1864508
Hemorrhagic and hematological disorders of newborn (P50-P61),2018,Female,216,1879703
Hemorrhagic and hematological disorders of newborn (P50-P61),2018,Male,261,1968505
Hemorrhagic and hematological disorders of newborn (P50-P61),2019,Female,214,1847935
Hemorrhagic and hematological disorders of newborn (P50-P61),2019,Male,246,1935117
Hemorrhagic and hematological disorders of newborn (P50-P61),2020,Female,171,1826869
Hemorrhagic and hematological disorders of newborn (P50-P61),2020,Male,263,1908141
Hemorrhagic and hematological disorders of newborn (P50-P61),2021,Female,196,1742991
Hemorrhagic and hematological disorders of newborn (P50-P61),2021,Male,253,1821502
Hemorrhagic and hematological disorders of newborn (P50-P61),2022,Female,203,1800246
Hemorrhagic and hematological disorders of newborn (P50-P61),2022,Male,270,1882867
Hemorrhagic and hematological disorders of newborn (P50-P61),2023,Female,182,1784146
Hemorrhagic and hematological disorders of newborn (P50-P61),2023,Male,267,1864508
Hemorrhagic and hematological disorders of newborn (P50-P61),2024,Female,198,1784146
Hemorrhagic and hematological disorders of newborn (P50-P61),2024,Male,301,1864508
Hemorrhagic and hematological disorders of newborn (P50-P61),2025,Female,125,1784146
Hemorrhagic and hematological disorders of newborn (P50-P61),2025,Male,135,1864508
"Other perinatal conditions (P29,P70.3-P70.9,P71-P76,P78-P81,P83.0-P83.1,P83.3-P83.9,P90-P96)",2018,Female,527,1879703
"Other perinatal conditions (P29,P70.3-P70.9,P71-P76,P78-P81,P83.0-P83.1,P83.3-P83.9,P90-P96)",2018,Male,714,1968505
"Other perinatal conditions (P29,P70.3-P70.9,P71-P76,P78-P81,P83.0-P83.1,P83.3-P83.9,P90-P96)",2019,Female,496,1847935
"Other perinatal conditions (P29,P70.3-P70.9,P71-P76,P78-P81,P83.0-P83.1,P83.3-P83.9,P90-P96)",2019,Male,682,1935117
"Other perinatal conditions (P29,P70.3-P70.9,P71-P76,P78-P81,P83.0-P83.1,P83.3-P83.9,P90-P96)",2020,Female,553,1826869
"Other perinatal conditions (P29,P70.3-P70.9,P71-P76,P78-P81,P83.0-P83.1,P83.3-P83.9,P90-P96)",2020,Male,636,1908141
"Other perinatal conditions (P29,P70.3-P70.9,P71-P76,P78-P81,P83.0-P83.1,P83.3-P83.9,P90-P96)",2021,Female,541,1742991
"Other perinatal conditions (P29,P70.3-P70.9,P71-P76,P78-P81,P83.0-P83.1,P83.3-P83.9,P90-P96)",2021,Male,630,1821502
"Other perinatal conditions (P29,P70.3-P70.9,P71-P76,P78-P81,P83.0-P83.1,P83.3-P83.9,P90-P96)",2022,Female,598,1800246
"Other perinatal conditions (P29,P70.3-P70.9,P71-P76,P78-P81,P83.0-P83.1,P83.3-P83.9,P90-P96)",2022,Male,779,1882867
"Other perinatal conditions (P29,P70.3-P70.9,P71-P76,P78-P81,P83.0-P83.1,P83.3-P83.9,P90-P96)",2023,Female,598,1784146
"Other perinatal conditions (P29,P70.3-P70.9,P71-P76,P78-P81,P83.0-P83.1,P83.3-P83.9,P90-P96)",2023,Male,740,1864508
"Other perinatal conditions (P29,P70.3-P70.9,P71-P76,P78-P81,P83.0-P83.1,P83.3-P83.9,P90-P96)",2024,Female,646,1784146
"Other perinatal conditions (P29,P70.3-P70.9,P71-P76,P78-P81,P83.0-P83.1,P83.3-P83.9,P90-P96)",2024,Male,726,1864508
"Other perinatal conditions (P29,P70.3-P70.9,P71-P76,P78-P81,P83.0-P83.1,P83.3-P83.9,P90-P96)",2025,Female,349,1784146
"Other perinatal conditions (P29,P70.3-P70.9,P71-P76,P78-P81,P83.0-P83.1,P83.3-P83.9,P90-P96)",2025,Male,413,1864508
Anencephaly and similar malformations (Q00),2018,Female,147,1879703
Anencephaly and similar malformations (Q00),2018,Male,116,1968505
Anencephaly and similar malformations (Q00),2019,Female,153,1847935
Anencephaly and similar malformations (Q00),2019,Male,125,1935117
Anencephaly and similar malformations (Q00),2020,Female,137,1826869
Anencephaly and similar malformations (Q00),2020,Male,126,1908141
